year,des_DET iles_NOUN,des_DET cils_NOUN
1800,3.584347454399506e-07,1.6664071722516383e-07
1801,3.0002900719416914e-07,8.810375362600098e-08
1802,2.7077865638602816e-07,2.103569727296417e-07
1803,4.1542226791868586e-07,3.081535950855141e-07
1804,3.4605912624385837e-07,9.145848522962297e-08
1805,4.4633179796527145e-07,3.9800286799618334e-07
1806,1.6425513926776603e-07,1.325567842158648e-07
1807,2.135216305987342e-07,1.2811298688575334e-07
1808,3.489753863661349e-07,3.852325791697808e-08
1809,2.756017205562955e-07,5.873479480555943e-08
1810,2.363527977777835e-07,3.7442029476864036e-08
1811,3.6854028939714567e-07,1.2284676209617373e-07
1812,4.267533113555544e-07,4.800974684471271e-08
1813,2.4156230171712423e-07,4.888760907206802e-08
1814,1.7621391412703247e-07,1.8880061958270744e-08
1815,3.2096960111971384e-07,2.2386955533804098e-07
1816,4.959672210702593e-07,2.3407798721564177e-07
1817,2.522134935345477e-07,2.958059557300885e-07
1818,2.813397803613782e-07,2.002757826247148e-07
1819,2.546358294219786e-07,9.937008371707634e-08
1820,2.7530236756945214e-07,9.611849538515571e-08
1821,2.0709126091755792e-07,1.3806084098177962e-07
1822,3.398683645627898e-07,8.521773509073682e-08
1823,4.882047340837303e-07,6.720226830569942e-08
1824,3.023179395711395e-07,1.62527475033869e-07
1825,2.888185297589274e-07,1.3472327964336728e-07
1826,3.576041787134443e-07,9.336463335785083e-08
1827,2.5624019173164925e-07,1.3457218894785683e-07
1828,3.4029238227262226e-07,1.7977710342620412e-07
1829,4.2265756683423916e-07,1.2945496052907401e-07
1830,2.974498249930235e-07,2.1812986972236104e-07
1831,2.946737971409874e-07,1.02901957177437e-07
1832,4.383709959476789e-07,1.366526940493884e-07
1833,5.189465461796772e-07,1.3668681653200565e-07
1834,3.4071037724459075e-07,1.6242084210915664e-07
1835,4.0462519734774105e-07,1.7243841199388044e-07
1836,4.509623268145191e-07,2.3522624559291216e-07
1837,5.114049805854393e-07,2.1778198622257605e-07
1838,4.1597145616911746e-07,2.4049336566633883e-07
1839,6.35525085890265e-07,1.6849454675949005e-07
1840,4.4396729736995155e-07,2.496918085626021e-07
1841,4.6741593262566994e-07,4.083468834181758e-07
1842,4.04508388118785e-07,1.9521051797255495e-07
1843,5.079943405927878e-07,2.48680954939573e-07
1844,4.544528633410039e-07,2.387524152824838e-07
1845,4.871539065476327e-07,3.364877363409846e-07
1846,4.1391324367978655e-07,2.9155415859349887e-07
1847,4.185141433410422e-07,2.4970624679099274e-07
1848,4.030656070574956e-07,2.3009334526591374e-07
1849,5.354446133143398e-07,2.907656930783986e-07
1850,4.1684435014843757e-07,1.7244049477227463e-07
1851,3.766472331800941e-07,2.424988991833743e-07
1852,4.186280719853386e-07,2.773492346896944e-07
1853,3.744401331218228e-07,2.597790480507456e-07
1854,3.0134853934438155e-07,2.462744888021007e-07
1855,3.614024244313896e-07,2.5632505895600843e-07
1856,3.085604831087885e-07,1.9414459462296918e-07
1857,3.168099457773188e-07,2.880090441692573e-07
1858,3.205357820279531e-07,3.180889516229968e-07
1859,3.1775161080105363e-07,2.3729527587335042e-07
1860,3.3321898651461623e-07,1.803410425438301e-07
1861,2.749406818880473e-07,2.3674138649454335e-07
1862,2.760489586917103e-07,2.010503914462447e-07
1863,3.2265250871077455e-07,1.3185799208059734e-07
1864,3.0350628155151327e-07,1.630207453473531e-07
1865,3.0688625868302566e-07,1.6097407140591713e-07
1866,3.561628514892057e-07,3.3426760381871645e-07
1867,2.562284500129408e-07,1.9362717118553974e-07
1868,2.5390953117820914e-07,2.1488451507067907e-07
1869,2.3685068195611336e-07,2.412458406375606e-07
1870,2.8899606308030457e-07,2.5459176988817944e-07
1871,2.8252331540912223e-07,2.623430899184598e-07
1872,2.64268726568595e-07,2.9692437131245697e-07
1873,3.3461764692432894e-07,2.73560397445749e-07
