year,sois_VERB au_ADP
1800,5.345079756580162e-08
1801,5.476719877606229e-08
1802,4.0281122437590966e-08
1803,3.315576790896557e-08
1804,5.9324420931261557e-08
1805,4.264316544322355e-08
1806,2.881669125542885e-08
1807,3.701041606518629e-08
1808,4.985362878073829e-08
1809,4.9698672066611493e-08
1810,3.510190227373755e-08
1811,6.518399686683551e-08
1812,4.800974906515876e-08
1813,4.026038169513413e-08
1814,8.181360300341112e-08
1815,6.203614333344376e-08
1816,4.6352077731626196e-09
1817,4.3592454090912724e-08
1818,4.530047448270125e-08
1819,5.4860564091541164e-08
1820,2.966620371580575e-08
1821,8.185035449415068e-08
1822,7.017931125119503e-08
1823,6.81905376609393e-08
1824,5.642145595174952e-08
1825,5.899646704499162e-08
1826,4.844391554570393e-08
1827,5.069500019772022e-08
1828,4.4027046897099353e-08
1829,3.5150023336427694e-08
1830,2.7135772739939057e-08
1831,8.41925122951892e-08
1832,6.223786208625626e-08
1833,3.59092489077284e-08
1834,7.374279564764663e-08
1835,3.932805725526123e-08
1836,2.2178475944656384e-08
1837,4.383471441382625e-08
1838,5.996553698039975e-08
1839,3.49573757718602e-08
1840,3.885510224677091e-08
1841,4.430178668357598e-08
1842,6.238686633963653e-08
1843,6.14318766967159e-08
1844,5.762989419011433e-08
1845,3.0691253538606134e-08
1846,5.444686124178588e-08
1847,2.9662729161827883e-08
1848,5.390298429830409e-08
1849,3.351765798242923e-08
1850,2.851378333446064e-08
1851,3.998652076120379e-08
1852,2.799534470909748e-08
1853,2.2096148688532935e-08
1854,4.883924697995923e-08
1855,4.8823821430232783e-08
1856,4.76301404983559e-08
1857,6.345961889309137e-08
1858,5.431980459880137e-08
1859,3.717286589655089e-08
1860,2.471679313997832e-08
1861,4.857442503780618e-08
1862,3.524029434931464e-08
1863,5.444136574883629e-08
1864,4.5549916172227256e-08
1865,4.518570684286516e-08
1866,4.427707855914065e-08
1867,4.173417877950669e-08
1868,3.853101859796482e-08
1869,8.594993605726131e-08
1870,7.454263739603562e-08
1871,2.3366590440332402e-08
1872,3.7493505078423084e-08
1873,4.0704829895599204e-08
1874,4.6004491549567206e-08
1875,4.8632981530793984e-08
1876,3.869449316518114e-08
1877,6.122967832755677e-08
1878,6.099479676890951e-08
1879,5.498392652292239e-08
1880,8.022307551591723e-08
1881,5.089930482649052e-08
1882,7.05470810657971e-08
1883,6.5721124542506e-08
1884,4.093052297093891e-08
1885,2.127059778311846e-08
