year,aux_ADP eaux_NOUN,aux_ADP sots_NOUN
1800,3.361111790667337e-06,2.641098251210394e-07
1801,2.771696440362348e-06,1.8811342994418112e-07
1802,3.0389869323244056e-06,1.1189200677108602e-07
1803,3.5242629508047685e-06,1.79431206781544e-07
1804,3.8115940714789076e-06,2.2988213288499537e-07
1805,3.5933974196211693e-06,3.269309329922976e-07
1806,3.942123427691513e-06,3.1410193024328237e-07
1807,2.7359237684265736e-06,1.8505208032593146e-07
1808,2.984419516849357e-06,1.9714843846330155e-07
1809,3.535382673724996e-06,3.2078234113441795e-07
1810,3.3908437382379475e-06,2.199719202344852e-07
1811,2.9458152894790146e-06,3.7104734751380875e-07
1812,3.7740995573187774e-06,3.9741402702020423e-07
1813,3.3847480125359652e-06,5.463909360514663e-07
1814,3.2379308390062533e-06,2.5173416240420465e-07
1815,3.1935125974769107e-06,1.9150287755564932e-07
1816,2.6374332460221694e-06,1.8077310315334216e-07
1817,2.7930308359458422e-06,2.5688412608193545e-07
1818,3.6979491540023446e-06,3.2902450364247215e-07
1819,2.961435393800116e-06,2.287582030469082e-07
1820,2.535867004382908e-06,2.2783643416346422e-07
1821,3.0827011983092234e-06,3.7177811540445305e-07
1822,3.5129758657603816e-06,2.686865059331467e-07
1823,2.967770878825604e-06,1.6405260849783332e-07
1824,2.752019703677888e-06,2.324227139638424e-07
1825,3.0484444017986334e-06,2.3510533164738945e-07
1826,2.805343047640463e-06,1.9377565507738836e-07
1827,3.2039241801840035e-06,1.769716488908557e-07
1828,3.0020940897657056e-06,9.722639515707954e-08
1829,3.2749532152820393e-06,3.5407217557903437e-07
1830,3.222894797261233e-06,1.8786304023521438e-07
1831,4.0007034911582195e-06,2.0424479885150504e-07
1832,3.7302125157623323e-06,3.179542800157975e-07
1833,4.814155886379012e-06,1.7027933818525298e-07
1834,3.110265744510343e-06,1.2788307302002977e-07
1835,3.806502121506128e-06,8.168134968400409e-08
1836,2.7373615081316416e-06,9.073012297022842e-08
1837,3.3655317466241286e-06,1.377662333101881e-07
1838,3.2791682169630576e-06,9.531364675297027e-08
1839,2.9154452469981607e-06,1.2374911095847096e-07
1840,2.9867470612288116e-06,1.1338045857733903e-07
1841,3.1569836771438986e-06,1.1364371221844749e-07
1842,2.960357287307147e-06,1.361777743902337e-07
1843,2.984171503683797e-06,1.080964737720791e-07
1844,3.0132201809252024e-06,9.989181759539889e-08
1845,3.1840780287950565e-06,9.597991806886697e-08
1846,3.3522874929303725e-06,1.1943182931517526e-07
1847,2.8972396854953786e-06,7.820174019457227e-08
1848,2.8616852807417104e-06,7.160247561532884e-08
1849,3.248699144364764e-06,7.37388541338646e-08
1850,2.825580084575563e-06,8.214684843466102e-08
1851,3.3221058104437873e-06,7.481349006965843e-08
