year,aux_ADP ailes_NOUN,aux_ADP selles_NOUN
1800,1.0155650898013846e-06,2.829747991484055e-08
1801,5.738650088460417e-07,1.2382149350287364e-07
1802,6.646384917985415e-07,2.6854081625060644e-08
1803,1.7045964568751515e-06,1.1702034896643454e-08
1804,8.280700711793543e-07,2.7190360185613827e-08
1805,7.192480744322438e-07,1.7057265822018053e-08
1806,7.146539608982039e-07,2.0171682990621775e-08
1807,3.843389322355506e-07,1.4234776024579787e-08
1808,5.121327149026911e-07,9.064295980465431e-09
1809,1.549694939484425e-06,9.036122072814123e-09
1810,4.844062466702326e-07,4.680253518074551e-09
1811,8.950263961082783e-07,7.270522672797597e-08
1812,8.001624749454095e-07,3.200649700829672e-08
1813,5.521424046861512e-07,2.5881675469463516e-08
1814,4.940283133691992e-07,1.0384034254684593e-07
1815,3.803085348863533e-07,1.0788894222457657e-08
1816,1.3627510337954618e-06,4.6352077731626196e-09
1817,1.782620030699178e-06,3.113746815941454e-09
1818,9.715759921036238e-07,2.026600220972341e-08
1819,6.29343835711893e-07,1.449147024601416e-08
1820,7.440283944504245e-07,4.746592452420373e-09
1821,5.828139575392299e-07,6.903041693817613e-09
1822,6.456496350892849e-07,1.4035862250239006e-08
1823,8.726412743520484e-07,9.882686669016039e-09
1824,5.81056774251465e-07,3.536867421161105e-08
1825,9.210493430167332e-07,2.0252519883356968e-08
1826,7.980033958077115e-07,3.699353356978463e-08
1827,5.428974076404636e-07,2.2121454890111636e-08
1828,7.007637954359325e-07,3.8523666034961934e-08
1829,7.398650723189348e-07,9.430493719264632e-09
1830,6.71088552950394e-07,1.982998831806526e-08
1831,8.107427404979717e-07,9.354723218280014e-09
1832,1.148694348973578e-06,4.464889968858188e-08
1833,8.988895814354692e-07,3.590924946283991e-08
1834,1.3255034332360083e-06,3.173740470430175e-08
1835,9.332850510190838e-07,6.126101226300307e-08
1836,1.0786803619211582e-06,4.099657502365517e-08
1837,8.913058202608681e-07,4.0355768504696243e-08
1838,9.878533031582037e-07,6.059675428105038e-08
1839,9.669210536689121e-07,3.6355670585130895e-08
1840,9.242418399502128e-07,3.630722672509634e-08
1841,1.0221512800612231e-06,3.467096165721273e-08
1842,8.821368764344584e-07,3.7566284305512454e-08
1843,8.358279046660755e-07,2.2446261960240577e-08
1844,8.123070762700024e-07,3.512679214168202e-08
1845,8.102491011463542e-07,2.17628883802945e-08
1846,8.969095937061411e-07,5.561776195150969e-08
1847,6.768495559583698e-07,3.937053261182655e-08
1848,7.667096042496269e-07,5.1489420505035355e-08
1849,7.524714522588738e-07,7.625267373079225e-08
1850,1.1079642057154615e-06,3.733947906425783e-08
1851,8.132742395083881e-07,3.611685772675344e-08
1852,1.2532799686937324e-06,4.427170807730363e-08
1853,1.0701701667059638e-06,4.658106922406091e-08
1854,1.049524215090969e-06,3.740878540270387e-08
1855,1.1240093016340325e-06,1.300199592435547e-07
1856,9.173979309551328e-07,2.6403665032148638e-08
1857,1.3243533629747617e-06,2.0990489346672803e-08
1858,9.694372007373886e-07,4.99154946265179e-08
1859,1.0606997644657667e-06,3.8700516569178944e-08
1860,1.265133627192938e-06,2.2885919909176877e-08
1861,1.0422279688171443e-06,4.998921659948863e-08
1862,1.0788951039231165e-06,3.34330998441601e-08
1863,9.864376591117718e-07,6.89257646513397e-08
1864,1.0543606840940356e-06,2.9727312500504866e-08
1865,1.0053820034272576e-06,2.9653119071326728e-08
1866,1.016426519839797e-06,2.6274310116480848e-08
1867,1.2685249561883438e-06,3.639608614491863e-08
1868,9.701912162540793e-07,4.594082725351001e-08
1869,1.2760635605957305e-06,2.68593545182938e-08
1870,1.0040319584625479e-06,2.9243649279919737e-08
1871,1.4572255366829268e-06,4.460894276192562e-08
1872,8.94401498641173e-07,4.2331375516013736e-08
1873,1.0738892459727367e-06,2.2746816874530396e-08
1874,1.160269141209369e-06,5.018671700440791e-08
1875,1.1088319098462307e-06,1.4303817685856757e-08
1876,1.2382237954966513e-06,1.6324239737741664e-08
1877,1.3829248892704982e-06,4.0201304951636985e-08
1878,1.1794340579740492e-06,1.3889904282304855e-08
1879,1.169935790912291e-06,1.710611108318716e-08
1880,1.0127361917966482e-06,1.6044615636090498e-08
1881,1.2187943490005182e-06,2.370652651961791e-08
1882,9.630341977207024e-07,3.1945848633085916e-08
1883,1.2689232455898036e-06,4.3603439081607576e-08
1884,1.24508009236024e-06,6.139578001551627e-08
1885,1.1569915621123528e-06,3.4806431681300154e-08
1886,1.3558727545159854e-06,4.388355584472592e-08
1887,1.1458263173835803e-06,6.7900813083277e-08
1888,1.2243727454119835e-06,7.101488419536395e-08
1889,1.1114352993502052e-06,2.944614330147033e-08
1890,1.2505769717563453e-06,2.7528423984790606e-08
1891,1.4431234234280055e-06,2.103492668936724e-08
1892,1.1095266465588338e-06,4.2625885043889866e-08
1893,9.896575656753726e-07,5.788911394688512e-08
1894,1.2577871864039025e-06,5.6713853391343605e-08
1895,1.135712562216895e-06,4.814891507720631e-08
1896,1.078566633339051e-06,5.071444852955409e-08
1897,1.3092624939758934e-06,6.176316702521945e-08
1898,1.1328026392476431e-06,2.0370077180587032e-08
1899,1.0513454231642072e-06,4.200959757838518e-08
1900,1.0740289475563713e-06,4.2047531678690575e-08
1901,1.0657724880402952e-06,3.576792917403537e-08
1902,1.5948601408410923e-06,4.713872536754593e-08
1903,1.1178455689986322e-06,1.7280704867062013e-08
1904,1.1157722035193274e-06,2.6335663427801137e-08
1905,9.738352204635703e-07,4.025391930895239e-08
1906,1.1898498719631334e-06,4.012463905578301e-08
1907,1.202396827437724e-06,5.451413898072133e-08
1908,1.1600700560165933e-06,3.58531409005991e-08
1909,1.246522870701483e-06,3.2455801324271505e-08
1910,1.3563454785980866e-06,2.3514262537105424e-08
1911,1.4545903219698175e-06,2.606983251496331e-08
1912,1.423734850902747e-06,3.5945006970905524e-08
1913,1.3596865429121863e-06,3.818152549683873e-08
1914,1.275729729854902e-06,3.8171439342704616e-08
1915,1.212240440473522e-06,2.8273829055791566e-08
