year,moindres_ADJ herbes_NOUN
1800,0.0
1801,1.6668277424969347e-08
1802,2.2378401354217203e-09
1803,3.900678446910888e-09
1804,7.4155526164076946e-09
1805,2.55858996212055e-08
1806,5.76333825108577e-09
1807,0.0
1808,2.2660739951163578e-09
1809,3.840352036377226e-08
1810,4.680253518074551e-09
1811,0.0
1812,5.3344164641089264e-09
1813,1.1502966579257645e-08
1814,0.0
1815,2.697223555614414e-09
1816,9.270415546325239e-09
1817,9.341240669868967e-09
1818,3.5763532135746345e-09
1819,2.070210003424222e-09
1820,2.3732962262101864e-09
1821,3.94459531705138e-09
1822,5.012807946513931e-09
1823,2.9648061783404955e-09
1824,8.421112696055388e-10
1825,1.7610886082763955e-09
1826,2.642395191543301e-09
1827,1.8434546111834038e-09
1828,1.8344602503717056e-09
1829,5.143905745796928e-09
1830,3.1310507520032616e-09
1831,3.1182412207897414e-09
1832,2.705993873419743e-09
1833,5.791814139399776e-09
1834,5.600718555598405e-09
1835,3.025235173481633e-09
1836,2.688300027031687e-09
1837,1.3219993100221927e-08
1838,6.312161904276081e-09
1839,4.894032734625853e-09
1840,2.5478754661634184e-09
1841,1.219904177673925e-08
1842,2.0124795163667386e-09
1843,1.7720733769266417e-09
1844,4.9397050894128824e-09
1845,1.1160455670733427e-08
1846,7.610851504580296e-09
1847,5.9325460100012606e-09
1848,8.84974404868899e-09
1849,3.3517659758786067e-09
1850,2.7155984128057753e-09
1851,1.6123596680017727e-08
1852,9.114764054629632e-09
1853,1.2541057081705276e-08
1854,5.7152309551611324e-09
1855,3.1841622671890946e-09
1856,8.28350277259915e-09
1857,2.4407544874094356e-09
1858,1.9574704079872163e-09
1859,1.018434669930457e-09
1860,2.288591982591015e-09
1861,3.3011746669586728e-09
1862,4.9697850279528666e-09
1863,2.9967726078439227e-09
1864,7.1920918109924514e-09
1865,8.47231973466478e-09
1866,2.919367858567057e-09
1867,6.308654931785895e-09
1868,6.915823469455518e-09
1869,7.813630631403612e-09
1870,6.307453670473251e-09
1871,0.0
1872,4.23313739617015e-09
1873,0.0
1874,1.1949218281515073e-09
1875,2.2886108563824337e-09
1876,4.836811839936672e-09
1877,0.0
1878,1.8117265465633636e-09
1879,0.0
1880,0.0
1881,0.0
1882,6.655385131892899e-10
1883,1.2638677882037541e-09
1884,6.601696966868076e-09
1885,2.5782542767416317e-09
1886,3.872078213618124e-09
1887,8.48760173255414e-09
1888,0.0
1889,1.2530273485467092e-09
1890,6.554386478008212e-10
1891,1.9122659011827636e-09
1892,6.268512375839919e-10
1893,1.2316833108982905e-09
1894,0.0
1895,0.0
1896,1.179405795248556e-09
1897,1.7480140668268973e-09
1898,1.13167097914868e-09
1899,2.2110313580014918e-09
1900,2.07642125715779e-09
1901,5.588738916095792e-10
1902,0.0
1903,1.0800440541913758e-09
1904,1.0749250378694342e-09
1905,0.0
1906,1.0288369045596824e-09
1907,4.114274698707732e-09
1908,9.822778146428846e-10
1909,1.1001967115120692e-09
1910,3.740905363258662e-09
1911,0.0
1912,1.0418842455450772e-09
1913,1.590896969716482e-09
1914,4.68772043404897e-09
1915,0.0
1916,1.0987462051303964e-09
1917,0.0
1918,2.2972752589112133e-09
1919,0.0
1920,9.843901693784574e-09
1921,7.572747429129834e-10
1922,7.377935484775833e-10
1923,0.0
1924,1.289162443462999e-09
1925,2.1996355847875293e-09
1926,1.1146138456652466e-09
1927,1.1149224876660924e-09
1928,3.4278122562625413e-09
1929,0.0
1930,1.0503603542488804e-09
1931,1.1405356659111021e-09
1932,0.0
1933,0.0
1934,2.3963160344919743e-09
1935,0.0
1936,3.6374143697059935e-09
1937,1.2591118148108649e-09
1938,2.5930428915188486e-09
1939,0.0
1940,0.0
1941,2.9515025978810172e-09
1942,0.0
1943,0.0
1944,3.2131861615880553e-09
1945,0.0
1946,0.0
1947,0.0
1948,6.523132700664291e-09
1949,9.817008317369869e-10
1950,1.0635361480382244e-09
1951,0.0
1952,0.0
1953,1.0773827385790469e-09
1954,9.772536113672459e-10
1955,9.385607846468247e-10
1956,1.744228317335228e-09
1957,0.0
1958,3.3088973783179654e-09
1959,7.750747821333448e-10
1960,2.076250060767393e-09
1961,0.0
1962,6.341956404476434e-10
1963,0.0
1964,1.2167936658258327e-09
1965,0.0
1966,1.6617224263271169e-09
1967,1.9721342336964653e-09
1968,1.7965663401398047e-09
1969,0.0
1970,4.5987250119061684e-10
1971,2.0553589941130213e-09
1972,1.0260293725750103e-09
1973,5.513203782392395e-10
1974,0.0
1975,0.0
1976,5.713526873840635e-10
1977,0.0
1978,0.0
1979,2.3407893401383717e-09
1980,0.0
1981,6.325549528618524e-10
1982,1.2415004579935385e-09
1983,6.315316047889041e-10
1984,1.1598016991243298e-09
1985,1.2031116103372597e-09
1986,5.994485463567401e-10
1987,0.0
1988,0.0
1989,1.0976244357863152e-09
1990,5.44865097484859e-10
1991,5.861465202094962e-10
1992,3.856960972825618e-09
1993,5.539207426075166e-10
1994,1.0549853213248639e-09
1995,1.0844901643380922e-09
1996,0.0
1997,1.917957792585412e-09
1998,0.0
1999,1.3710603763428253e-09
2000,1.7672125984802278e-09
2001,4.3812117822561447e-10
2002,0.0
2003,1.2500769308587678e-09
2004,4.404791253964646e-10
2005,9.007499190971657e-10
2006,4.1178899179428186e-10
2007,7.988958938831558e-10
2008,8.514879357157668e-10
2009,4.76819250749827e-10
2010,1.4171379625338432e-09
2011,3.82397197240536e-10
2012,3.744677901096338e-09
2013,5.578250084070646e-10
2014,6.496335691608124e-10
2015,3.32486305154589e-09
2016,2.278474076078396e-09
2017,2.515611330355938e-10
2018,1.0325866828253538e-09
2019,7.65296326310505e-10
