year,les_DET eaux_NOUN,les_DET seaux_NOUN
1800,6.798626600357238e-05,1.5720821977538435e-07
1801,5.570538405663683e-05,1.3572740620304558e-07
1802,6.57835489619174e-05,2.506380951672327e-07
1803,6.877285841255798e-05,1.384740837551135e-07
1804,6.552382501467946e-05,1.0628958868608152e-07
1805,6.032870669514523e-05,1.7910129113118956e-07
1806,5.051277844358992e-05,9.797674849210125e-08
1807,5.490352896231343e-05,9.964342950752325e-08
1808,5.092548053653445e-05,1.2690014106198078e-07
1809,5.907139029659447e-05,2.484933574464776e-07
1810,5.2238649459468434e-05,1.0530570371258818e-07
1811,5.3568709972751094e-05,1.9555199060050654e-07
1812,5.794242997581023e-05,1.9470619960770819e-07
1813,4.849650667893002e-05,1.6104153388596387e-07
1814,4.401571959533612e-05,2.2656075771010364e-07
1815,5.169229098100914e-05,5.1247248222807684e-08
1816,5.242188080956112e-05,8.575134025079478e-08
1817,4.4865978225061554e-05,6.850243305933645e-08
1818,5.1160924613213865e-05,2.932609675099229e-07
1819,4.7381931381096365e-05,4.616568212156835e-07
1820,3.839281180262333e-05,1.7918386774340433e-07
1821,3.80860542463779e-05,1.0255947735515747e-07
1822,4.8787653213366866e-05,1.2431763707354548e-07
1823,3.7892198633926455e-05,3.0339848322569196e-07
1824,4.0812080214891466e-05,2.172647022291585e-07
1825,4.547130765786278e-05,1.9283920593693438e-07
1826,4.5599815848618164e-05,1.9289485009288398e-07
1827,4.266859968993231e-05,1.5945881770562664e-07
1828,4.227238491694152e-05,1.5592911495332373e-07
1829,4.606024685926968e-05,1.1573787750407405e-07
1830,4.466026530280942e-05,2.4526564512683535e-07
1831,4.8145645450858865e-05,9.97837181770933e-08
1832,4.258693161318661e-05,1.84007578063472e-07
1833,5.670186237693997e-05,1.3321172964708694e-07
1834,4.441183205017296e-05,2.1002693983973586e-07
1835,5.218606474954868e-05,1.8529565437575002e-07
1836,4.175064509581716e-05,2.896643263028409e-07
1837,4.713414455181919e-05,2.0108305420762917e-07
1838,4.5350988330028486e-05,1.8620877995090268e-07
1839,4.228024772601202e-05,1.5940563713456868e-07
1840,4.3711350599551224e-05,2.528766440690333e-07
1841,4.367578185338061e-05,1.2841097252191958e-07
1842,3.850678172057087e-05,1.0263645755514972e-07
1843,4.213517991047411e-05,1.0750577983387188e-07
1844,4.2020973978651455e-05,1.3172546609041547e-07
1845,4.3623432247841265e-05,1.8414752034345838e-07
1846,4.385255556371703e-05,1.5631518301972847e-07
1847,3.948055450564425e-05,1.1865092108820363e-07
1848,4.3825539705721894e-05,1.4964113148607794e-07
1849,4.31640432907443e-05,9.301150516449752e-08
1850,3.981474583270028e-05,1.7515610295504302e-07
1851,4.472298724067514e-05,1.2253933689976293e-07
1852,4.753544521918229e-05,1.412788428467593e-07
1853,4.7953417379176244e-05,1.7258883033832717e-07
1854,4.652613529287919e-05,1.724960609905679e-07
1855,4.722218659480859e-05,1.4487939026253116e-07
1856,4.4654809698840836e-05,1.0043746900834094e-07
1857,4.9362308800482424e-05,1.5572014611109353e-07
1858,4.278541041458084e-05,1.4387407309968125e-07
1859,4.789290733242524e-05,1.2730433596175317e-07
1860,4.40297640125209e-05,1.501316395646768e-07
1861,4.351419875092688e-05,1.296890004276463e-07
1862,4.55652457276301e-05,1.567741216845775e-07
1863,4.365847894405306e-05,1.3485476557661968e-07
1864,4.697203030445962e-05,1.635002178090872e-07
1865,4.387814396977774e-05,1.1484700568331618e-07
1866,4.269624105290859e-05,1.6640396438560856e-07
1867,4.248054256095202e-05,1.3490815753414154e-07
1868,4.514106421993347e-05,1.4325635167011797e-07
1869,4.1994847379100975e-05,1.4015699667524473e-07
1870,4.5666539335798007e-05,1.1640119446099106e-07
1871,3.967434554397187e-05,1.3913742069604496e-07
1872,4.122652535443194e-05,1.7295390897231755e-07
1873,5.254634288576199e-05,2.30461168371221e-07
1874,4.5013302042207215e-05,1.8401796797462566e-07
1875,4.4648510083789006e-05,1.9739269063734355e-07
1876,4.7088783503568266e-05,1.523595791752541e-07
1877,4.5572196768262074e-05,1.6080521092476374e-07
1878,4.281834753783187e-05,1.328599479322179e-07
1879,4.3463571500979015e-05,1.2707396912503555e-07
1880,4.3280670297463075e-05,1.6878935227282454e-07
1881,4.544889452517964e-05,1.464226579983574e-07
1882,4.390091635286808e-05,1.8302309712225906e-07
1883,4.515736327448394e-05,1.801011588753454e-07
1884,4.18494773839484e-05,1.5315937673676672e-07
1885,4.54339970019646e-05,1.6629740606788346e-07
1886,4.119181630812818e-05,1.529470896599605e-07
1887,4.354466136646806e-05,1.527768347386882e-07
1888,4.3317812469467754e-05,2.05435922495667e-07
1889,4.0451482846037834e-05,1.4096557876541738e-07
1890,3.9446917980967555e-05,1.7631300153198026e-07
1891,3.9439210240743705e-05,1.4150768734566554e-07
1892,4.236260747347842e-05,1.9056277622553353e-07
1893,3.896676594195014e-05,1.5088120708384167e-07
1894,4.26444084951072e-05,1.4682586169101342e-07
1895,3.66443339316902e-05,1.8296587889210514e-07
1896,3.8180903629836394e-05,1.232479034385392e-07
1897,3.748616313714592e-05,1.6664400614985198e-07
1898,3.740908141480759e-05,1.8333069728981854e-07
1899,3.880802159983432e-05,1.763297525769758e-07
1900,3.731225183400966e-05,1.5936533870331004e-07
1901,3.640392628767586e-05,1.341297282131393e-07
1902,3.319499182907748e-05,2.71538699081475e-07
1903,4.051623409395688e-05,2.0034816827774193e-07
1904,3.729345053216093e-05,2.0369829911714987e-07
1905,3.7917643567197956e-05,1.713372022038584e-07
1906,3.8181166473805206e-05,1.8004646307190342e-07
1907,3.486436298771878e-05,2.0468516126470604e-07
1908,3.541946421137254e-05,1.748454536709687e-07
1909,3.316763081784302e-05,1.8153245306962162e-07
1910,3.7492958654183894e-05,1.8330436901692337e-07
1911,3.4798970318661304e-05,1.5482289406065775e-07
1912,3.2226522080236464e-05,1.7451561795667203e-07
1913,3.2867930485736e-05,1.5590790347630445e-07
1914,3.4012092100965674e-05,1.727759926239969e-07
1915,3.099282935181691e-05,2.1205370970278636e-07
1916,2.7767514666265924e-05,2.2084798967370034e-07
1917,2.699824017327046e-05,2.5222776045552564e-07
1918,2.5906372229655972e-05,2.435111774445886e-07
1919,2.6458752699909382e-05,1.4732557929164614e-07
1920,2.6571718080958817e-05,1.6128852919905512e-07
1921,2.8126698907726677e-05,1.4918312274403434e-07
1922,2.753593116722186e-05,1.7264369667202573e-07
1923,2.7326511826686328e-05,1.656087853518784e-07
1924,2.9176324687796296e-05,2.488083481466674e-07
1925,3.1013762281872914e-05,1.9466775036391937e-07
1926,2.7692580943039502e-05,1.8168206317170643e-07
1927,2.8461742203944596e-05,2.3190387388183353e-07
1928,2.8264598768146243e-05,1.8852968519667002e-07
1929,2.93516281999473e-05,1.7267629548456398e-07
1930,2.7889168450201396e-05,1.9326630606997242e-07
1931,2.7529109047463862e-05,1.6993982043800315e-07
1932,2.97343190140964e-05,1.5781732543018734e-07
1933,2.7928768531637616e-05,1.8467766338403635e-07
1934,2.6996897076969617e-05,1.5815686538189766e-07
1935,2.5725827072164975e-05,1.8072109142508452e-07
1936,2.6657397938834038e-05,1.0427254348854831e-07
1937,2.650808050930209e-05,2.3041746644025807e-07
1938,2.7645727413982968e-05,1.8151300817947913e-07
1939,2.8066112690794398e-05,1.605875299404147e-07
1940,3.060943595301069e-05,2.865434716170512e-07
1941,2.800090442178771e-05,1.8889616271167142e-07
1942,2.8175689749332378e-05,2.3363430656786477e-07
1943,3.047816267098824e-05,2.496782300909217e-07
