year,ses_DET yeux_NOUN,ses_DET cieux_NOUN
1800,3.450406188676425e-05,0.0
1801,3.3608010426178225e-05,7.143547753329926e-09
1802,2.996467912907974e-05,6.713520406265161e-09
1803,3.191730081653077e-05,0.0
1804,3.6257108490644896e-05,0.0
1805,3.653950864190847e-05,2.842877711017877e-09
1806,2.7900320105800347e-05,2.881669125542885e-09
1807,2.5616901552893978e-05,1.1387820464392462e-08
1808,2.9701432595174992e-05,3.852325747288887e-08
1809,2.538472597279906e-05,6.7770917766551975e-09
1810,3.952474207835621e-05,2.3401267590372754e-09
1811,2.8826368634327082e-05,0.0
1812,2.6912131033896003e-05,0.0
1813,3.0379334930330515e-05,0.0
1814,2.5497525143691746e-05,0.0
1815,2.351709167669469e-05,0.0
1816,2.675673772500886e-05,2.3176038865813098e-09
1817,2.7477259322949976e-05,4.670620223912181e-09
1818,3.165191753851104e-05,1.7881766289917778e-08
1819,3.0402068318835518e-05,4.140420006848444e-09
1820,3.261027802636818e-05,8.306536791735653e-09
1821,2.9223534284028574e-05,2.9584463767662328e-09
1822,3.093103043738665e-05,1.0025615893027862e-08
1823,2.8087584837521717e-05,9.882686891060644e-10
1824,3.0324426234074053e-05,1.0947446504872005e-08
1825,2.9271052994772617e-05,7.044354655150187e-09
1826,2.7310917516842892e-05,2.642395191543301e-09
1827,2.4136350816661434e-05,1.6591091167583727e-08
1828,2.6153899625569466e-05,1.7427371545863934e-08
1829,2.669258390142204e-05,4.286587973467704e-09
1830,3.08471114749409e-05,2.0873671680021744e-09
1831,2.804078428653156e-05,1.4032085715598441e-08
1832,3.4198352295788936e-05,1.352996914505411e-08
1833,3.1413643000632874e-05,3.8225973497674204e-08
1834,2.9645537324540783e-05,1.4001796166951408e-08
1835,3.165833015827957e-05,3.781543966852041e-09
1836,3.0483977525364025e-05,1.680187500241459e-08
1837,2.8849502314187703e-05,1.4611570398059825e-08
1838,2.710189926347084e-05,4.418513332993257e-09
1839,2.691787892672437e-05,1.6080392573059044e-08
1840,2.7604320052887488e-05,1.0191501864653674e-08
1841,2.719680185236939e-05,2.439808488574613e-08
1842,2.9066241268083104e-05,4.024959032733477e-09
1843,2.808913404805935e-05,1.2404512972352677e-08
1844,3.03308877391828e-05,1.591682796675542e-08
1845,3.0301753554340394e-05,1.1718478631905782e-08
1846,2.741311720910744e-05,1.7563503540429792e-08
1847,2.5968371005546942e-05,1.941560601181891e-08
1848,2.4697221988390083e-05,1.850401076808339e-08
1849,2.4393314902226848e-05,2.513824526317876e-08
1850,2.5292405553045683e-05,1.5614690873633208e-08
1851,2.3733934881420282e-05,1.096404567135778e-08
1852,2.6593624511406233e-05,3.2552727180501506e-09
1853,2.850403097909293e-05,2.209614846648833e-08
1854,2.9359140512497106e-05,6.754363734984281e-09
1855,3.1411229883815395e-05,7.429711956774554e-09
