year,vous_PRON avez_VERB,vous_PRON savez_VERB
1800,7.903486039140262e-05,1.1193225418537622e-05
1801,9.975011926144361e-05,2.0087656594114378e-05
1802,8.137905388139188e-05,1.3263678738439921e-05
1803,8.51284057716839e-05,1.545838904348784e-05
1804,0.00012464308201742824,2.1571842808043584e-05
1805,9.390878221893217e-05,1.926049662870355e-05
1806,0.00011218337749596685,2.2174443984113168e-05
1807,7.531619849032722e-05,1.2176427389931632e-05
1808,6.651153671555221e-05,1.2574444554047659e-05
1809,7.863911378080957e-05,1.3305690117704216e-05
1810,0.00010680338164092973,1.993788009713171e-05
1811,6.633975863223895e-05,1.2891388450952945e-05
1812,7.471650496881921e-05,1.4096195172896842e-05
1813,6.913857941981405e-05,1.4603016552428016e-05
1814,8.360721039935015e-05,1.19510796139366e-05
1815,7.941705189296044e-05,1.1379586339899106e-05
1816,8.300266927108169e-05,1.4065537470742129e-05
1817,9.777009472600184e-05,1.9602593056333717e-05
1818,9.555181350151543e-05,1.9370721020095516e-05
1819,9.990523358283099e-05,1.6279096598736942e-05
1820,0.00011303061000944581,1.9662759768834803e-05
1821,0.00015650182467652485,2.99138391710585e-05
1822,0.00012206688370497432,2.19480780287995e-05
1823,0.0001056261589837959,1.9582544155127835e-05
1824,9.924954792950302e-05,1.805570809665369e-05
1825,9.701132512418553e-05,1.811631864256924e-05
1826,8.585670730099082e-05,1.5426303434651345e-05
1827,8.520631308783777e-05,1.5932056612655288e-05
1828,0.00010263254807796329,1.8851830645871814e-05
1829,8.16260690044146e-05,1.6980889995465986e-05
1830,9.39315214054659e-05,2.008464616665151e-05
1831,9.909770778904203e-05,2.1342802028812002e-05
1832,0.0001076282023859676,2.5041267690539826e-05
1833,9.063030847755726e-05,2.0315367692091968e-05
1834,0.0001032604486681521,1.690670251264237e-05
1835,0.00011619399083429016,2.0543615391943604e-05
1836,0.00010199545067735016,1.9367857930774335e-05
1837,9.154218605544884e-05,1.795205434973468e-05
1838,8.836711094772909e-05,1.669945595494937e-05
1839,9.056197632162366e-05,1.751714125930448e-05
1840,9.788300849322695e-05,1.618792657609447e-05
1841,9.394482185598463e-05,1.6181066257558996e-05
1842,9.614218470233027e-05,1.6348712506442098e-05
1843,8.860898378770798e-05,1.7056205706467154e-05
1844,8.897452062228695e-05,1.714955851639388e-05
1845,8.8171511379187e-05,1.630709994060453e-05
1846,9.154273539024871e-05,1.8109143638866954e-05
1847,8.498210445395671e-05,1.3039736131759128e-05
1848,9.59272038016934e-05,1.5890922441030852e-05
1849,9.351678272651043e-05,1.6620569113001693e-05
1850,8.950001392804552e-05,1.5170690858212765e-05
1851,8.306425297632813e-05,1.4516396731778514e-05
1852,8.381285988434684e-05,1.5422831438627327e-05
1853,8.658644401293714e-05,1.505524005551706e-05
1854,9.419375601282809e-05,1.5153155345615232e-05
1855,8.655773672217038e-05,1.5559409348497866e-05
1856,9.124330244958401e-05,1.6330408016074216e-05
1857,8.495143447362352e-05,1.6501453046657844e-05
