year,avons_VERB eu_VERB,avons_VERB su_VERB
1800,5.4959996305115055e-06,4.7162467353700777e-07
1801,5.162403795111459e-06,3.667021246656077e-07
1802,4.486869329412002e-06,1.7455153056289419e-07
1803,4.0976628952194005e-06,2.457427399349399e-07
1804,4.130462912144139e-06,2.743754521361552e-07
1805,5.134237198944902e-06,3.7810272601745964e-07
1806,5.795036486233585e-06,2.420601958874613e-07
1807,4.939467089570826e-06,2.2490945639219717e-07
1808,4.4551015889737755e-06,3.1271821399059263e-07
1809,4.897578037343919e-06,1.7394535234416253e-07
1810,5.06169408254209e-06,2.620942041176022e-07
1811,5.011646408092929e-06,2.3315813280078146e-07
1812,5.035689355281647e-06,1.893717893608482e-07
1813,5.521424100152217e-06,3.134558426154399e-07
1814,5.893726211070316e-06,4.0906803633333766e-07
1815,4.8711858653405216e-06,4.045835453325708e-07
1816,5.242419774731388e-06,2.9665329748240765e-07
1817,5.352530934032984e-06,3.3939841159735806e-07
1818,5.480165327753639e-06,3.159111940931325e-07
1819,5.4943375289440155e-06,4.419898402829858e-07
1820,5.676924502040492e-06,3.2514157055629767e-07
1821,6.042133918526815e-06,5.167419772078574e-07
1822,6.078530986997066e-06,5.624370373880083e-07
1823,5.089583737571957e-06,4.2693207547017664e-07
1824,5.3575117817672435e-06,2.778967314043257e-07
1825,5.124767994857393e-06,3.0642942761005543e-07
1826,5.075160515843891e-06,4.298296403248969e-07
1827,5.169046744413208e-06,3.3827393508545356e-07
1828,5.734522801503772e-06,2.880102556446218e-07
1829,5.930923180130776e-06,3.2663800197951787e-07
1830,6.597123956453288e-06,2.2543565592059167e-07
1831,6.5701342464308254e-06,2.7908259880859987e-07
1832,7.41171743356972e-06,3.747801429199171e-07
1833,6.281801688601263e-06,3.4055867104143545e-07
1834,6.373617907229345e-06,3.0710606324646506e-07
1835,5.749459432990989e-06,3.138681563541468e-07
1836,5.705916919396259e-06,2.990733776186971e-07
1837,6.503540589619661e-06,4.320850166550372e-07
1838,5.803401563753141e-06,4.3301429286657367e-07
1839,6.423068043659441e-06,3.3209508387699316e-07
1840,6.347394901240477e-06,3.0319716870508273e-07
1841,6.819264399382519e-06,3.4799373338501027e-07
1842,6.369497896230314e-06,2.495474689112598e-07
1843,6.5123695094371215e-06,2.575413304839458e-07
1844,6.516568646475207e-06,2.2667758514671732e-07
1845,6.528308858833043e-06,2.0256227628578927e-07
1846,7.029499556665542e-06,2.40034552234647e-07
1847,6.615327947656624e-06,2.588747349818732e-07
1848,7.989709956746083e-06,3.2663601245985774e-07
1849,8.30986573419068e-06,3.44393953355393e-07
1850,7.4468498496571556e-06,2.756332264652883e-07
1851,6.396553544618655e-06,2.373393499510712e-07
1852,7.048316547297873e-06,2.5716653340168705e-07
1853,7.184831247286638e-06,2.3051656228290085e-07
1854,6.976218628551578e-06,3.4083558375641587e-07
1855,6.713275524816709e-06,2.4836464262989466e-07
1856,6.865470822958741e-06,2.0294581304369785e-07
1857,7.502391326852376e-06,2.5725552177391364e-07
1858,7.304790415219031e-06,2.853013256753911e-07
1859,7.523176918766694e-06,2.8668935669884377e-07
1860,7.990847734618e-06,3.208605789950525e-07
1861,7.5530874710239004e-06,3.4803812809514056e-07
1862,7.894277587183751e-06,3.0948206131142797e-07
1863,7.718686902080663e-06,2.8719068723148666e-07
1864,7.666770216019358e-06,2.996704893121205e-07
1865,8.00728321337374e-06,3.05474202377809e-07
1866,7.5081275099364575e-06,2.4765969897089235e-07
1867,7.640266630914994e-06,2.8000721385978977e-07
1868,8.38148389448179e-06,2.0154686808382394e-07
1869,8.08808454166865e-06,2.9105774501658743e-07
1870,7.797732905601151e-06,2.826886031925824e-07
1871,1.017190152197145e-05,4.598969667313213e-07
1872,9.682395102572627e-06,4.2694216517702444e-07
1873,8.807806807453744e-06,3.0229321623664873e-07
1874,8.930248441174626e-06,3.178492136157729e-07
1875,8.498756869812496e-06,3.8219801012928656e-07
1876,8.36284743854776e-06,2.5272342440985085e-07
1877,7.844820174796041e-06,2.851200235909346e-07
1878,8.082112799456809e-06,2.017055606984286e-07
1879,8.615370461484417e-06,2.46816739490896e-07
1880,8.675002391100861e-06,2.4901243023123243e-07
1881,9.539784514345229e-06,2.544965127526666e-07
1882,9.057313945959322e-06,2.881781711039366e-07
1883,9.285005035053473e-06,2.1422559370876115e-07
1884,9.052247150975745e-06,2.957560241156898e-07
1885,9.241108273272403e-06,2.2624180928687565e-07
1886,8.748960681259632e-06,2.8330705958978797e-07
1887,8.925039765017573e-06,3.0228920877561904e-07
1888,9.266173947253264e-06,2.9420451141959347e-07
1889,9.845035492617171e-06,3.2704014074624865e-07
1890,9.277078788727522e-06,2.3857967335061403e-07
1891,9.458704880671576e-06,2.7664114554681873e-07
1892,9.592704373062588e-06,3.102913694874587e-07
1893,9.629916348785628e-06,2.8821389719269064e-07
1894,9.303592378273606e-06,2.6529480123826943e-07
1895,9.76760929916054e-06,2.3352224332029436e-07
1896,9.598003998689819e-06,2.4236788931375486e-07
1897,9.611746463633608e-06,2.1267504735078546e-07
1898,1.005206740956055e-05,3.219603854631714e-07
1899,9.461003173782956e-06,2.819064945924765e-07
1900,9.29458110476844e-06,2.756449077878642e-07
1901,9.912187124427874e-06,2.3416815508880973e-07
1902,8.936716767493635e-06,1.9886650193257083e-07
1903,9.595651135896333e-06,2.3598963139193074e-07
1904,9.91457091004122e-06,2.4615783900117094e-07
1905,9.450897778151557e-06,2.678434043446032e-07
1906,9.348012099508196e-06,3.1893944196781376e-07
1907,9.272032002627384e-06,2.633135807172948e-07
1908,9.519745617581066e-06,2.6767071403810405e-07
1909,9.59426506597083e-06,2.1948923745185311e-07
1910,9.857820259639993e-06,2.8644646477005153e-07
1911,9.111672625294887e-06,2.87300196077922e-07
1912,9.582729944668245e-06,2.8651817274294444e-07
1913,9.410155143996235e-06,2.7628576049210096e-07
1914,9.80738150246907e-06,3.53588063717325e-07
1915,1.1864405678352341e-05,5.112850658406387e-07
1916,1.1368727427907288e-05,6.394702722900547e-07
1917,1.0969713912345469e-05,4.189174092061876e-07
1918,1.0075848877022509e-05,4.904682668893656e-07
1919,9.44356906984467e-06,4.244818114784721e-07
1920,8.917059858504217e-06,2.877447968785418e-07
1921,9.314479029853828e-06,3.0896808311808854e-07
1922,9.147164746536873e-06,3.1946461831466877e-07
1923,9.23693642107537e-06,2.420436260308634e-07
