year,fausses_ADJ sorties_NOUN
1800,0.0
1801,9.524730337773235e-09
1802,0.0
1803,2.3404069793286908e-08
1804,0.0
1805,0.0
1806,0.0
1807,0.0
1808,0.0
1809,0.0
1810,2.3401267590372754e-09
1811,1.2535384286138651e-08
1812,1.8670457180292033e-08
1813,0.0
1814,0.0
1815,2.697223555614414e-09
1816,0.0
1817,0.0
1818,0.0
1819,3.8298885840504227e-08
1820,8.306536791735653e-09
1821,0.0
1822,0.0
1823,0.0
1824,0.0
1825,0.0
1826,0.0
1827,0.0
1828,0.0
1829,2.571952872898464e-09
1830,2.0873671680021744e-09
1831,3.1182412207897414e-09
1832,0.0
1833,1.1583628500844156e-09
1834,1.8669061851994684e-09
1835,0.0
1836,0.0
1837,6.957891152126194e-09
1838,6.312161904276081e-09
1839,4.894032734625853e-09
1840,0.0
1841,2.5682194149112547e-09
1842,1.341653010911159e-09
1843,7.678984559333912e-09
1844,6.586273748609983e-09
1845,4.464182357111213e-09
1846,0.0
1847,5.393223645455691e-10
1848,1.528592186161859e-08
1849,7.54147322368226e-09
1850,3.394498016007219e-09
1851,1.2898877521649865e-09
1852,1.3021090872200602e-09
1853,4.777545470346922e-09
1854,3.117398783558656e-09
1855,1.4328730202350926e-08
1856,2.5885946719483854e-09
1857,4.881509085841174e-10
1858,6.361778659424999e-09
1859,6.110608019582742e-09
1860,9.154367819341758e-10
1861,3.3011745559363703e-09
1862,4.517986429419807e-09
1863,7.491931519609807e-09
1864,9.589455896019672e-10
1865,0.0
1866,2.432806400776144e-09
1867,6.308654931785895e-09
1868,3.457911734727759e-09
1869,4.883519144627257e-10
1870,4.013834153937523e-09
1871,2.3366590440332402e-08
1872,1.269941263259966e-08
1873,5.986004469882289e-10
1874,2.9873046258899194e-09
1875,1.1443054281912168e-09
1876,4.232210137899983e-09
1877,7.421779191219002e-09
1878,0.0
1879,6.109325489944695e-09
1880,1.4761046829292468e-08
1881,1.2550513517339823e-08
1882,1.3310770263785798e-09
1883,6.951272890631799e-09
1884,3.9610181801208455e-09
1885,1.0957580842685388e-08
1886,1.1616235084943582e-08
1887,0.0
1888,1.268122939990235e-08
1889,4.385595886446936e-09
1890,1.2453334363726754e-08
1891,5.099376032546843e-09
1892,7.522214851007902e-09
1893,9.853466709230929e-09
1894,5.671385139294216e-09
1895,1.5046536461227333e-08
1896,1.3563166589847242e-08
1897,1.3401440845939305e-08
1898,1.5277558773618694e-08
1899,1.9899282222013426e-08
1900,9.34389543516545e-09
1901,1.0618603774048552e-08
1902,4.910283735171106e-09
1903,5.940242076007962e-09
1904,1.666133897515465e-08
1905,3.6125313851442797e-09
1906,8.7451136887573e-09
1907,6.685696440911215e-09
1908,7.367083831866239e-09
1909,6.60118004702781e-09
1910,9.085056262847502e-09
1911,9.576673676292558e-09
1912,9.897900277167082e-09
1913,1.5378670781274195e-08
1914,5.357394972094198e-09
1915,8.246533234057551e-09
1916,0.0
1917,8.773139548168274e-09
1918,3.44591288836682e-09
1919,1.012863304339362e-08
1920,1.2872794385998532e-08
1921,1.5145495135815423e-08
1922,5.902348387820666e-09
