year,deux_DET honnêtes_ADJ,deux_DET sonnettes_NOUN
1800,2.829748035892976e-08,3.144164484325529e-09
1801,3.5717737434382e-08,2.3811825844433088e-09
1802,1.5664880947952042e-08,0.0
1803,3.705644502360883e-08,0.0
1804,3.213406074564773e-08,0.0
1805,2.842877755426798e-08,0.0
1806,8.645007376628655e-09,0.0
1807,2.8469551160981155e-09,0.0
1808,9.064295980465431e-09,4.5321479902327155e-09
1809,2.0331274441787173e-08,0.0
1810,6.084329839950442e-08,0.0
1811,1.0028307073639553e-08,0.0
1812,3.467370746079723e-08,0.0
1813,7.189353823378042e-08,0.0
1814,0.0,4.090680150170556e-08
1815,2.157778822287071e-08,0.0
1816,4.6352077731626196e-08,9.270415546325239e-09
1817,4.3592454090912724e-08,6.227493631882908e-09
1818,2.8610825708597076e-08,1.4305412854298538e-08
1819,5.589566853814176e-08,4.140420006848444e-09
1820,5.3399165977907614e-08,1.1866481131050932e-08
1821,5.226588806195309e-08,1.1833785507064931e-08
1822,5.6143449000956025e-08,2.2056354964661296e-08
1823,3.261286707356703e-08,2.9648061783404955e-09
1824,6.315834610859383e-08,0.0
1825,2.289415235168235e-08,7.924898959288385e-09
1826,2.9947145208097936e-08,8.807984341885344e-10
1827,1.7512819638909605e-08,2.7651818612639545e-09
1828,2.2013523448549677e-08,2.109629271274116e-08
1829,3.086343269842473e-08,1.2002446703185399e-08
1830,4.383470919577803e-08,9.393152256009785e-09
1831,4.5214498811674275e-08,3.1182412207897414e-09
1832,9.470978667991403e-09,5.411987746839486e-09
1833,3.0117434435261714e-08,0.0
1834,3.173740381612333e-08,1.8669061851994684e-09
1835,4.386591001548368e-08,1.5126175867408165e-08
1836,3.427582484505365e-08,2.6882999715205358e-09
1837,4.03557665062948e-08,6.262101948095733e-09
1838,4.1660268568222136e-08,5.680945491803868e-09
1839,2.586845759822154e-08,4.194885327990505e-09
1840,1.910906560764758e-08,2.5478754661634184e-09
1841,2.0545754875200828e-08,1.2841097074556274e-08
1842,3.8237111255057243e-08,2.683306021822318e-09
1843,2.7762481258353233e-08,3.5441465873198297e-09
1844,1.9209963619815085e-08,2.7442806360689076e-09
1845,1.1160455670733427e-08,2.2320912340667576e-09
1846,3.688335681317767e-08,7.025401593807601e-09
1847,2.2651539310913904e-08,1.4022381478184798e-08
1848,1.126331028444838e-08,1.367687652020777e-08
1849,1.1731181359664333e-08,0.0
1850,2.647708452485631e-08,4.073397619208663e-09
1851,1.2898877521649865e-08,7.094382858952031e-09
1852,1.6276364034339963e-08,4.557382027314816e-09
1853,2.0304567582840605e-08,9.555090940693844e-09
1854,1.7145692421394187e-08,4.676098175337984e-09
1855,3.078023524949458e-08,4.776243400783642e-09
1856,2.7956822079566734e-08,2.277963306873687e-08
1857,2.684830069377142e-08,1.0251168802710708e-08
1858,1.2723557263338847e-08,1.1744822003834088e-08
1859,2.953460587207246e-08,4.073738679721828e-09
1860,2.6547666065468434e-08,4.577184048448757e-09
1861,4.527325359049428e-08,1.886385558869108e-08
1862,4.066187786477826e-08,1.0843167252971853e-08
1863,2.347471755870245e-08,7.491931297565202e-09
1864,3.835782313998948e-08,1.3904710716161617e-08
1865,4.1420231466915425e-08,1.1296426238871504e-08
1866,2.4814626131686168e-08,1.119090975443271e-08
1867,4.319002222530344e-08,5.82337378318698e-09
1868,3.408513071789798e-08,1.185569808992426e-08
1869,4.0044858540255746e-08,1.1232094143664995e-08
1870,1.6055335727571673e-08,1.2614907340946502e-08
1871,3.0801414974135355e-08,2.6552942955504477e-08
1872,3.870297082819718e-08,7.861541084785983e-09
1873,1.496501056408306e-08,8.380405869257146e-09
1874,7.766991494406739e-09,8.364453130127458e-09
