year,veux_VERB avoir_VERB,veux_VERB savoir_VERB
1800,2.578214832738013e-07,2.8297480980654655e-07
1801,5.476720161823323e-07,4.690929813477851e-07
1802,3.1329761895904085e-07,3.60292261802897e-07
1803,2.4184205926758295e-07,2.8865019885415677e-07
1804,5.709975425816083e-07,6.67399774556543e-07
1805,2.956592766167887e-07,4.34960298889564e-07
1806,4.1496036828903016e-07,4.985287773706659e-07
1807,2.3345032218458073e-07,2.2206249639111775e-07
1808,1.8581806671136292e-07,2.2887347483901976e-07
1809,3.591858614981902e-07,4.2469773120501486e-07
1810,4.1888267787726363e-07,6.107730996518512e-07
1811,2.63243066456198e-07,4.0113229715643683e-07
1812,2.667208320872305e-07,3.0939614248381986e-07
1813,2.473137783454149e-07,4.6299439304675616e-07
1814,2.8320093292677484e-07,1.9194730782601255e-07
1815,2.454473531088297e-07,2.1038343334112142e-07
1816,1.9467873357825738e-07,3.7545183317888586e-07
1817,5.651450578625372e-07,5.059838485976798e-07
1818,3.945909838876105e-07,5.75792853396706e-07
1819,3.333038023356494e-07,5.092716719445889e-07
1820,3.868472902013309e-07,4.7109929823818675e-07
1821,7.080548698468192e-07,5.966200546936307e-07
1822,4.44134798271989e-07,5.82488269174064e-07
1823,4.2792035515049065e-07,5.168645316189213e-07
1824,4.1937141759262886e-07,3.9916074001666857e-07
1825,3.8039513583498774e-07,4.5259977810019336e-07
1826,3.311802174721379e-07,3.00352269277937e-07
1827,2.0923209831380518e-07,2.903441043144994e-07
1828,3.467129943146574e-07,3.3845790881059656e-07
1829,2.4519283670088043e-07,3.1720750826025323e-07
1830,3.8407554825425905e-07,4.320850166550372e-07
1831,3.648342215001321e-07,4.7397267621818173e-07
1832,4.491949709972687e-07,4.51900973530428e-07
1833,3.5561740219236526e-07,3.7299284372238617e-07
1834,2.8937046181454207e-07,4.293884217076993e-07
1835,4.1067568190555903e-07,5.437860295387509e-07
1836,3.340212799685105e-07,4.2004688793895184e-07
1837,3.2354193990613567e-07,3.889460913342191e-07
1838,3.610556689181976e-07,3.345445804825431e-07
1839,3.0552746466128156e-07,3.153155319068901e-07
1840,2.579724025508767e-07,3.72626800526632e-07
1841,2.670948333616252e-07,3.5826661815008265e-07
1842,3.2602167721051956e-07,5.091573029858409e-07
1843,2.8057826284566545e-07,3.272428727996157e-07
1844,2.876006135466014e-07,2.727815058278793e-07
1845,2.9296197112671507e-07,3.627148146279069e-07
1846,3.10874014530782e-07,3.8522620116054895e-07
1847,2.335265776309825e-07,2.6264999064551375e-07
1848,3.210043360013515e-07,3.1135007816374127e-07
1849,2.538962746712059e-07,2.647895200880157e-07
1850,2.885323340251489e-07,2.4168826939785504e-07
1851,2.2637530605607026e-07,3.57943861217791e-07
1852,3.4505890766922676e-07,3.37246262915869e-07
1853,2.9143026836209174e-07,2.723200793752767e-07
1854,2.9771157983304875e-07,2.8576155841619766e-07
1855,3.422974543809687e-07,3.576875542421476e-07
1856,2.9820608915542834e-07,3.101136485383904e-07
1857,3.050943178095622e-07,4.032126525999047e-07
