year,leurs_DET ailes_NOUN,leurs_DET selles_NOUN
1800,3.4522926029012524e-06,1.0061326349841693e-07
1801,1.7620751542324342e-06,9.286612012715523e-08
1802,2.1975589561407105e-06,7.161088433349505e-08
1803,4.489680804908858e-06,5.460949736857401e-08
1804,2.5385909694364273e-06,5.438072037122765e-08
1805,2.385174301622328e-06,4.264316633140197e-08
1806,1.9566533921988594e-06,6.051505074822217e-08
1807,1.6341522410812104e-06,3.98573707371952e-08
1808,1.7539412908718077e-06,3.3991110370834576e-08
1809,1.7010500101832804e-06,1.1295152368973049e-07
1810,2.8877163060769817e-06,1.357273529123404e-07
1811,1.4215125077043922e-06,6.267692054251484e-08
1812,1.1015570251515783e-06,6.401299756930712e-08
1813,8.569710274741738e-07,2.8757416004054903e-08
1814,1.0635769132072426e-06,1.5104050454795015e-07
1815,1.1409255260552698e-06,4.8550024445148665e-08
1816,2.825159100439123e-06,6.489290882427667e-08
1817,4.413736178321415e-06,2.1796227045456362e-08
1818,2.4569545473696053e-06,6.199012148044858e-08
1819,1.7420817108870779e-06,7.763287612760905e-08
1820,1.5556956753925988e-06,1.0086508694939766e-07
1821,1.3687746118762334e-06,7.79057547362072e-08
1822,1.7073624434260637e-06,3.909990198280866e-08
1823,1.2106290903091121e-06,9.783859944434425e-08
1824,1.1831662796168985e-06,1.692643598616428e-07
1825,1.563846630858734e-06,1.3824545952445533e-07
1826,1.3423367697384947e-06,1.3828535472271142e-07
1827,1.0046827334520003e-06,8.940754758768321e-08
1828,1.5776358353036812e-06,1.2290883422139132e-07
1829,1.7403547758476634e-06,8.573176107917746e-08
1830,1.8368831220527682e-06,1.2732939946857869e-07
1831,1.4297136132768173e-06,1.200522898869849e-07
1832,2.076850371679484e-06,4.8707888389287746e-08
1833,1.8858147647904389e-06,1.8417968838946308e-07
1834,2.2188179116255924e-06,9.521221877584196e-08
1835,2.1380850228069903e-06,1.4521128832711838e-07
1836,2.1338382509838993e-06,1.2030142748642447e-07
1837,1.6497159265327355e-06,9.532310496496166e-08
1838,1.690396977949149e-06,1.136189116124342e-07
1839,1.6248188430267874e-06,9.718150639770329e-08
1840,1.2720268749433217e-06,1.3057861814047556e-07
1841,1.935153328247452e-06,9.245589849271596e-08
1842,1.292682714648663e-06,8.452414235193828e-08
