year,êtes_VERB sans_ADP,etes_VERB sans_ADP
1800,3.018398047061055e-07,0.0
1801,2.6669243879950955e-07,0.0
1802,2.998705781465105e-07,2.2378401354217203e-09
1803,3.588624224448722e-07,0.0
1804,4.3998946352985513e-07,0.0
1805,3.2693094453861704e-07,0.0
1806,3.169836020333605e-07,0.0
1807,1.4804166426074516e-07,0.0
1808,3.331128652916959e-07,0.0
1809,2.620475356707175e-07,0.0
1810,5.452495202007412e-07,2.3401267590372754e-09
1811,2.3315813280078146e-07,0.0
1812,2.2671270016871858e-07,0.0
1813,2.9620139230246423e-07,0.0
1814,3.555745138328348e-07,0.0
1815,3.749140660147532e-07,0.0
1816,2.201723674488676e-07,0.0
1817,3.191590565165825e-07,0.0
1818,2.8491612624748086e-07,0.0
1819,2.836187604771112e-07,0.0
1820,4.0346034779759066e-07,0.0
1821,4.230578554142994e-07,0.0
1822,4.932603019369708e-07,0.0
1823,3.883895942635718e-07,9.882686891060644e-10
1824,3.8989750805740186e-07,0.0
1825,4.2354182028248033e-07,0.0
1826,2.9066347906336887e-07,0.0
1827,3.1430900548912177e-07,9.217273055917019e-10
1828,4.659528940464952e-07,9.172301251858528e-10
1829,2.9577458349194785e-07,0.0
1830,4.2269184064025467e-07,0.0
1831,3.1650148457629257e-07,0.0
1832,4.126640646973101e-07,0.0
1833,2.814821584706806e-07,0.0
1834,3.6964743799217104e-07,0.0
1835,3.7966702848279965e-07,1.5126175867408165e-09
1836,2.688300071440608e-07,6.720750067579218e-10
1837,3.1936718869474134e-07,6.957890930081589e-10
1838,2.8278486752242316e-07,0.0
1839,2.8315474764895043e-07,2.7965900706306e-09
1840,3.051080739169265e-07,2.5478754661634184e-09
1841,2.6837892619369086e-07,2.5682194149112547e-09
1842,2.944928496617649e-07,2.683306021822318e-09
1843,3.065686939862644e-07,2.3627644285539873e-09
1844,3.4687707284319913e-07,0.0
1845,3.487642459276685e-07,5.580227946389016e-10
1846,2.458890548950876e-07,5.854501328173001e-10
1847,2.5132422365459206e-07,5.393223645455691e-10
1848,2.622742272251344e-07,0.0
1849,2.2540626787304063e-07,0.0
1850,2.3422036576903338e-07,6.788996032014438e-10
1851,2.8506519811344333e-07,6.449438760824933e-10
1852,2.649792065767542e-07,0.0
1853,2.532099188101711e-07,0.0
1854,2.7537021196621936e-07,1.0391328908454511e-09
1855,3.13109296712355e-07,0.0
1856,2.712847049224365e-07,5.177189232874468e-10
1857,3.055824606690294e-07,0.0
1858,3.1808895073481835e-07,9.787352039936081e-10
1859,2.69885191528374e-07,0.0
1860,3.780753843329876e-07,4.577183909670879e-10
1861,3.296458714885375e-07,9.431927461278633e-10
1862,2.5662163238848734e-07,9.035972525772706e-10
1863,2.1277084272242064e-07,0.0
1864,2.502847848973033e-07,0.0
1865,2.7158492343914986e-07,0.0
1866,2.739340061452822e-07,1.4596839292835284e-09
1867,2.3584664177178638e-07,4.85281148598915e-10
1868,1.709196482124753e-07,1.975949626142892e-09
1869,3.027781758646597e-07,3.4184632902167778e-09
1870,2.528715583594021e-07,2.2936195165357276e-09
1871,2.3154166228778195e-07,2.1242354542039266e-09
1872,2.1649474035712046e-07,1.2094678591978436e-09
1873,2.1190456322983664e-07,5.986004469882289e-10
1874,1.9536972217792936e-07,5.974609140757536e-10
1875,2.5003072323670494e-07,0.0
1876,2.1826113538736536e-07,1.209202959984168e-09
1877,2.078098191304889e-07,0.0
1878,1.8781565813696943e-07,6.039088673581716e-10
1879,2.1321545773389516e-07,6.10932526790009e-10
1880,2.4259458086817176e-07,0.0
1881,2.3497349843637494e-07,6.972507571312292e-10
1882,2.402593963779509e-07,1.3310770263785798e-09
1883,2.098020530638678e-07,6.319338941018771e-10
1884,2.0333226302682306e-07,0.0
1885,1.5598438096731115e-07,0.0
1886,1.54883139202866e-07,0.0
1887,1.5669418473862606e-07,6.528924623161458e-10
1888,1.5217474924611452e-07,0.0
1889,1.7103823779507366e-07,0.0
1890,1.6582598050263186e-07,6.554386478008212e-10
