year,certaines_DET herbes_NOUN
1800,1.0061326349841693e-07
1801,1.1429676516350185e-07
1802,6.713520406265161e-08
1803,2.5354410126965377e-08
1804,6.426812149129546e-08
1805,1.2224374756897305e-07
1806,6.627838899930794e-08
1807,1.6512339584551228e-07
1808,1.8128591250388126e-07
1809,1.6942729530455836e-07
1810,2.457133234656794e-07
1811,1.4290337224664995e-07
1812,3.7340914360584065e-08
1813,4.888760685162197e-08
1814,5.034683425719777e-08
1815,8.90083740046066e-08
1816,1.1819779643928996e-07
1817,7.472992535895173e-08
1818,7.74876554032744e-08
1819,9.315944993204539e-08
1820,1.4002448267547152e-07
1821,1.4299158124231326e-07
1822,8.521773509073682e-08
1823,1.0673301886754416e-07
1824,4.6316120716483056e-08
1825,7.836844417852262e-08
1826,9.336463591136379e-08
1827,6.82078233893435e-08
1828,6.604057034564903e-08
1829,6.3441500608441e-08
1830,7.305785354461136e-08
1831,3.741889287312006e-08
1832,1.2176973029909277e-07
1833,9.614411367042663e-08
1834,7.28093425550469e-08
1835,1.0739584865859797e-07
1836,5.981467515736583e-08
1837,7.166627824517491e-08
1838,8.647662030902836e-08
1839,5.733009666997191e-08
1840,6.178597677930497e-08
1841,8.731946365969634e-08
1842,7.446174032921249e-08
1843,5.6706346396318e-08
1844,8.177956467569913e-08
1845,8.147132746216812e-08
1846,7.962121628679597e-08
1847,9.546005852456574e-08
1848,1.247009322469239e-07
1849,9.971503645012092e-08
1850,8.350464941742075e-08
1851,8.255281613855914e-08
1852,5.403752667554329e-08
1853,1.009256465067665e-07
1854,8.001323203998822e-08
1855,5.200798369742188e-08
1856,5.643136091748602e-08
1857,7.273448782152414e-08
1858,5.431980554249094e-08
1859,4.939408171367177e-08
1860,5.3095331770114385e-08
1861,4.715963797252698e-08
1862,6.822159548391937e-08
1863,6.892576492889546e-08
1864,5.274200631788517e-08
1865,4.565639205589278e-08
1866,5.303517980337347e-08
1867,3.1543276435286316e-08
1868,5.730253993529999e-08
1869,6.983432332408057e-08
1870,3.7844721134661086e-08
1871,6.372706451429622e-08
1872,3.7493505078423084e-08
1873,4.2500631902697705e-08
1874,6.57207003262883e-08
1875,3.032409523484603e-08
1876,3.808989390563511e-08
1877,7.483627229021295e-08
1878,1.1776222663684166e-07
1879,5.742765785132775e-08
1880,5.262634061864446e-08
1881,5.2293806618308736e-08
1882,6.056400292386854e-08
1883,6.572112304370492e-08
1884,4.687205024112018e-08
1885,5.9299846810745294e-08
1886,4.646493934057361e-08
1887,6.398345991920351e-08
1888,3.9311810695608074e-08
1889,3.8843846972280716e-08
1890,4.391439034634459e-08
1891,6.629188931128738e-08
1892,2.8835156484774416e-08
1893,8.37544647525057e-08
1894,4.915200690902566e-08
1895,3.1296796265678495e-08
1896,4.00997970384509e-08
1897,5.5936450138460714e-08
1898,5.205686381959396e-08
1899,3.7034777022881826e-08
1900,5.398695313019175e-08
1901,3.465018150183852e-08
1902,3.338993082024899e-08
1903,3.0241231741001684e-08
1904,3.439760121182189e-08
1905,3.664139019976531e-08
1906,3.2922780945909835e-08
1907,6.428553867010578e-08
1908,4.027338906809064e-08
1909,2.7504918342913243e-08
1910,7.909343180401152e-08
1911,4.309502932287046e-08
1912,3.3340294747219446e-08
1913,3.128763936821599e-08
1914,3.415339178136634e-08
1915,4.00545903112004e-08
1916,2.4172417179002537e-08
1917,4.3865699073109e-08
1918,2.756730221875614e-08
1919,2.6702760114183377e-08
1920,4.619061400035207e-08
1921,3.256281289054641e-08
1922,5.6810101511928224e-08
1923,3.6094222277682775e-08
1924,4.2542360745301266e-08
1925,5.609070607981437e-08
1926,3.566764272822098e-08
1927,5.4631200896437804e-08
1928,6.055801549109674e-08
1929,5.013182757807044e-08
1930,3.6762614286089956e-08
1931,5.5886248517822423e-08
1932,3.287860839140677e-08
1933,3.555905392360614e-08
1934,4.313368862085554e-08
1935,3.590485064819404e-08
1936,3.152425742669607e-08
1937,4.784624774156754e-08
1938,4.537825049055755e-08
1939,3.5176317858542916e-08
1940,3.0429394115571995e-08
1941,5.017554416397729e-08
1942,6.978686961645053e-08
1943,5.2258233296242906e-08
1944,8.354284375400312e-08
1945,4.7927088075994106e-08
1946,3.7586979750869887e-08
1947,4.4107223651224103e-08
1948,3.913879709216417e-08
1949,6.577395739171266e-08
1950,4.041437340340792e-08
1951,6.183612955013018e-08
1952,3.690681538159879e-08
1953,5.171437067463813e-08
1954,4.397641273357067e-08
1955,2.815682398349395e-08
1956,6.19201054874452e-08
1957,5.47772351922049e-08
1958,5.1287909030861556e-08
1959,3.7978666100890734e-08
1960,4.152500099330325e-08
1961,5.21111931384155e-08
1962,4.375950057866618e-08
1963,4.202934611452491e-08
1964,3.102823753486916e-08
1965,3.8851506900527966e-08
1966,3.9881337343672385e-08
1967,4.5852121655087785e-08
1968,5.210042464121045e-08
1969,3.088395339467809e-08
1970,3.6789800372805104e-08
1971,2.671966659040237e-08
1972,3.5911028817281476e-08
1973,2.4809416743210022e-08
1974,3.544110205311313e-08
1975,2.627280926148501e-08
1976,3.370981005446083e-08
1977,3.290997740990065e-08
1978,4.27722592899471e-08
1979,3.3356248985150216e-08
1980,5.0029325793232715e-08
1981,3.6688186322297867e-08
1982,3.848651508597811e-08
1983,4.4838744939212916e-08
1984,3.5373951434714e-08
1985,3.849957019852468e-08
1986,2.697518408645294e-08
1987,2.9943002743948455e-08
1988,4.497415412307859e-08
1989,2.634298579273775e-08
1990,2.3429199913493903e-08
1991,3.57549367890897e-08
1992,3.250867131043833e-08
1993,3.60048471037544e-08
1994,3.534200820887179e-08
1995,3.3619194983458556e-08
1996,3.3629979245830555e-08
1997,4.1715582321799616e-08
1998,3.3853718495180374e-08
1999,3.290544692280406e-08
2000,3.490244937509601e-08
2001,2.847787658466494e-08
2002,3.5049771751616277e-08
2003,2.5418230409357534e-08
2004,2.77501850942663e-08
2005,2.2518747977429143e-08
2006,3.582564311876979e-08
2007,2.5564669325905953e-08
2008,3.2782284664634176e-08
2009,2.5271420955874646e-08
2010,2.692561995587539e-08
2011,3.3268557464438686e-08
2012,3.948933113839814e-08
2013,5.1598811445785486e-08
2014,4.1360001645784905e-08
2015,4.920797458396464e-08
2016,5.0126427897367876e-08
2017,3.471543807975763e-08
2018,4.336864067866486e-08
2019,3.596892694801568e-08
