year,autres_ADJ orties_NOUN,autres_ADJ sorties_NOUN
1800,6.288328968651058e-09,3.144164484325529e-09
1801,0.0,4.7623651688866175e-09
1802,2.2378401354217203e-09,4.4756802708434407e-08
1803,7.801356893821776e-09,1.950339223455444e-09
1804,0.0,3.213406074564773e-08
1805,0.0,5.685755422035754e-09
1806,0.0,1.152667650217154e-08
1807,0.0,2.8469550272802735e-08
1808,0.0,1.1330369531492579e-08
1809,0.0,2.259030518203531e-09
1810,4.680253518074551e-09,3.510190182964834e-08
1811,0.0,0.0
1812,0.0,2.6672082320544632e-09
1813,0.0,2.8757416448144113e-09
1814,0.0,9.440030979135372e-09
1815,0.0,8.091670444798638e-09
1816,0.0,2.7811246638975717e-08
1817,0.0,3.269434145636296e-08
1818,0.0,1.3113295338484932e-08
1819,0.0,1.1386155129855524e-08
1820,0.0,9.493184904840746e-09
1821,0.0,2.070912508145284e-08
1822,0.0,2.90742860897808e-08
1823,0.0,1.581229902569703e-08
1824,8.421112696055388e-10,1.6842225392110777e-08
1825,4.4027217427355936e-09,8.805443485471187e-09
1826,8.807984341885344e-10,1.9377566218281572e-08
1827,0.0,6.452091305675367e-09
1828,0.0,1.2841221419535032e-08
1829,0.0,7.715858174606183e-09
1830,1.0436835840010872e-09,2.2961039292113128e-08
1831,0.0,7.795603274018958e-09
1832,0.0,1.2176972319366541e-08
1833,0.0,1.2741991461950875e-08
1834,0.0,1.8669061851994684e-09
1835,0.0,3.025235173481633e-08
1836,0.0,2.2178475944656384e-08
1837,0.0,2.7831563720326358e-09
1838,0.0,2.0830134062066463e-08
1839,6.9914751765765e-10,1.2584655095793096e-08
1840,6.369688665408546e-10,6.3696887764308485e-09
1841,0.0,1.9903700909651434e-08
1842,3.3541325272778977e-09,6.708265054555795e-10
1843,0.0,1.2404512972352677e-08
1844,1.097712254427563e-09,1.5916826967554698e-08
1845,0.0,2.2320911785556063e-09
1846,0.0,9.952652035849496e-09
1847,0.0,8.629157832729106e-09
1848,0.0,0.0
1849,2.513824481908955e-09,8.379414939696517e-10
1850,1.3577992064028876e-09,1.425689166723032e-08
1851,0.0,3.1602251482354404e-08
1852,0.0,3.906327261660181e-09
1853,5.971931837933653e-10,9.555090940693844e-09
1854,5.195664454227256e-10,1.3508727469968562e-08
1855,9.021793090369101e-09,3.874064091746732e-08
1856,0.0,8.28350277259915e-09
1857,5.857811125054013e-09,6.8341128311999455e-09
1858,2.936205500958522e-09,1.0766087576996597e-08
1859,5.092173349652285e-10,1.4258085379026397e-08
1860,0.0,9.612086238064421e-09
1861,1.8863854922557266e-09,1.9807048445841247e-08
1862,9.035972525772706e-10,1.8975542914745347e-08
1863,4.994620828036034e-10,2.8968800691586694e-08
1864,3.3563094525845827e-09,8.151037178549814e-09
1865,9.41368871743009e-10,8.943004559114343e-09
1866,9.731225825149181e-10,7.784980660119345e-09
1867,1.455843445796745e-09,6.79393608038481e-09
1868,0.0,9.87974857480367e-09
1869,4.883519144627257e-10,9.767038733343725e-09
1870,3.4404292748035914e-09,2.064257564882155e-08
1871,2.1242354542039266e-09,1.6993883633631413e-08
1872,3.628403577593531e-09,9.675742873582749e-09
1873,1.1972008939764578e-09,1.7359413462259e-08
1874,3.5847653734322193e-09,8.961913877669758e-09
1875,5.721527140956084e-10,4.005069165202713e-09
1876,0.0,1.3301232115736639e-08
1877,6.184815992682502e-10,3.0924081073635534e-09
1878,0.0,1.509772218355465e-08
1879,1.221865053580018e-09,1.588424503040642e-08
1880,6.417846254436199e-10,9.626769603698904e-09
1881,0.0,5.5780060570498335e-09
1882,0.0,6.655385131892899e-09
1883,6.319338941018771e-10,1.516641390253426e-08
1884,0.0,1.5844072720483382e-08
1885,2.5782542767416317e-09,1.740321664556177e-08
1886,0.0,9.680196200179125e-09
1887,1.3057849246322917e-09,3.9173548849191775e-09
1888,6.340614699951175e-10,1.1413106904001324e-08
1889,6.265136742733546e-10,6.891650361495749e-09
1890,9.176140736144589e-09,3.2771931834929546e-09
1891,6.374220040683554e-10,5.736798147637501e-09
1892,1.2537024751679837e-09,1.3163876211308434e-08
1893,6.158416554491453e-10,1.7859408174558666e-08
1894,6.301539290376468e-10,1.3863386882917439e-08
1895,0.0,1.1435367319734269e-08
1896,1.179405795248556e-09,1.592197840238896e-08
1897,5.826713556089658e-10,1.5149455023788505e-08
1898,0.0,1.4711722506888236e-08
1899,5.527578395003729e-10,1.4371703827009696e-08
1900,0.0,1.142031713641245e-08
