year,des_DET ombres_NOUN,des_DET sombres_ADJ
1800,1.1884941386597347e-06,1.2576657937302116e-08
1801,1.2763138137472652e-06,9.524730337773235e-09
1802,1.085352437257825e-06,2.0140561218795483e-08
1803,1.2638198114700572e-06,1.950339223455444e-09
1804,1.3298558343421973e-06,1.4831105232815389e-08
1805,1.0291216803182124e-06,0.0
1806,2.1209084195561445e-06,0.0
1807,1.1103124961664435e-06,5.693910232196231e-09
1808,1.3415158406360206e-06,9.064295980465431e-09
1809,1.1566236821636267e-06,2.259030518203531e-09
1810,1.3853549845066482e-06,0.0
1811,1.0655075755039434e-06,0.0
1812,8.508394131467867e-07,5.3344164641089264e-09
1813,9.72000684384966e-07,2.8757416448144113e-09
1814,1.2334974357486317e-06,0.0
1815,1.0573116284717798e-06,1.8880564667256294e-08
1816,1.1402611672650664e-06,9.270415546325239e-09
1817,1.1925650689192935e-06,0.0
1818,9.954183610716427e-07,1.668964877410417e-08
1819,1.2804249109876764e-06,3.1053151161586356e-09
1820,1.37413857004276e-06,4.746592452420373e-09
1821,1.4032897723836868e-06,5.916893086599373e-09
1822,1.0867767485933655e-06,7.017931125119503e-09
1823,1.109825749523452e-06,9.882686891060644e-10
1824,1.018112513406777e-06,1.6842225392110777e-09
1825,9.950150996473894e-07,8.805443041381977e-10
1826,1.1344683343850193e-06,2.642395191543301e-09
1827,9.171186867718006e-07,9.217273055917019e-10
1828,1.236426179218597e-06,4.586150625929264e-09
1829,1.1282300018677915e-06,8.57317605795771e-10
1830,1.208585615586344e-06,2.0873671680021744e-09
1831,1.0711158786591568e-06,3.1182412207897414e-09
1832,1.4017048108883046e-06,2.705993873419743e-09
1833,1.3031581538314185e-06,9.266902800675325e-09
1834,1.2741634733970386e-06,9.334531370086552e-09
1835,1.0679080162390164e-06,3.781543966852041e-09
1836,1.3428059144615645e-06,5.376600054063374e-09
1837,1.0701236075050247e-06,1.043683617307778e-08
1838,1.1633313903303133e-06,9.468243300503332e-09
1839,1.1032548101752582e-06,4.194885327990505e-09
1840,1.2822183030891665e-06,5.732719632334238e-09
1841,1.1235960073463502e-06,4.494383976094696e-09
1842,1.1363800975772165e-06,6.037438549100216e-09
1843,1.216233007639289e-06,4.1348376944583265e-09
1844,1.316156996722384e-06,6.037417232818143e-09
1845,1.309679445782308e-06,5.022205318283568e-09
1846,1.1228933587403844e-06,1.5807152919933287e-08
1847,1.096981641524053e-06,2.6966118227278457e-09
1848,1.0450743275214336e-06,7.24069959545659e-09
1849,1.2208807902425178e-06,2.513824481908955e-09
1850,1.2050467752544591e-06,7.467895635215882e-09
1851,8.706742526953803e-07,8.384270611117017e-09
1852,1.196638208078582e-06,1.0416873141849692e-08
1853,1.1973723346159204e-06,8.360704795151719e-09
1854,1.3384032122587541e-06,3.1173986725363534e-09
1855,1.3426550751205468e-06,1.963566731433275e-08
1856,1.3564235885610287e-06,3.1063134287023786e-08
1857,1.5186374326958685e-06,2.7336450492132514e-08
1858,1.3521227106849665e-06,2.4468380654951716e-09
1859,1.7114794452766091e-06,8.14747713739905e-09
1860,1.4816344240387025e-06,4.119465601970518e-09
1861,1.5180686787630293e-06,1.0846716413936974e-08
1862,1.4746706717971847e-06,8.132375273195436e-09
1863,1.5508297295241391e-06,5.494082799817335e-09
1864,1.4417747067341224e-06,1.2945765348604255e-08
1865,1.4803025969456485e-06,1.1296426905005319e-08
1866,1.511259394959552e-06,1.556996132023869e-08
1867,1.3990655922668793e-06,6.79393608038481e-09
1868,1.2986928918934382e-06,1.975949626142892e-09
1869,1.320503582036281e-06,8.790334238284458e-09
1870,1.272385372175222e-06,2.8670243956696595e-09
1871,1.0812358652856346e-06,1.911811864374613e-08
1872,1.2270051286122907e-06,1.0280476914203973e-08
1873,1.2169546828033617e-06,1.5563610844537834e-08
1874,1.2134431699450943e-06,3.584765539965673e-09
1875,1.2793334658312006e-06,5.149374426860476e-09
1876,1.2279456385044796e-06,1.0882826861902117e-08
1877,1.1565605504415544e-06,9.277223766979148e-09
1878,1.1154197068208305e-06,6.6429977074733415e-09
1879,1.1137300148789109e-06,3.665595160740054e-09
1880,1.1879433792216787e-06,8.343200130767059e-09
1881,1.1797482599718023e-06,6.2752567586699115e-09
1882,1.1726789104216095e-06,8.652000893505374e-09
1883,1.1924592406842294e-06,9.479008078461248e-09
1884,1.2701664999781315e-06,5.941527270181268e-09
1885,1.122829765165534e-06,1.9336907075562237e-09
1886,1.1145131573186973e-06,1.2906927748801422e-09
1887,1.0700907324689979e-06,7.834709381260296e-09
1888,1.2275430343322569e-06,1.0144983741966485e-08
1889,1.1308571821189162e-06,8.144677543509005e-09
1890,1.1529165995227686e-06,1.704140528691056e-08
1891,1.0944535411283596e-06,3.1871099093194744e-09
1892,1.1233174497249365e-06,9.402768563759878e-09
1893,1.152239754276252e-06,6.774258154429447e-09
1894,1.1475102823510497e-06,1.8904617871129403e-09
1895,1.1946949207697344e-06,3.611168697403855e-09
1896,1.4082105117552146e-06,2.358811590497112e-09
1897,1.2037989911561908e-06,6.992056267307589e-09
1898,1.1684502929654172e-06,5.658354784721098e-09
1899,1.3172219652801687e-06,2.2110313580014918e-09
1900,1.189789351485615e-06,4.671947717582725e-09
