year,nos_DET airs_NOUN,nos_DET cerfs_NOUN
1800,3.772997558826319e-08,3.772997558826319e-08
1801,6.191074786165984e-08,2.3811825400343878e-08
1802,4.475680270843441e-09,2.4616241489638924e-08
1803,7.021221204439598e-08,4.095712213825209e-08
1804,8.404293261321527e-08,1.9774807569206132e-08
1805,1.8762992382015398e-07,2.842877711017877e-09
1806,1.2391177506287931e-07,1.729001475325731e-08
1807,3.131650672116848e-08,5.693910232196231e-09
1808,7.478043961839376e-08,4.305540457494317e-08
1809,1.8072244145628247e-08,1.3554183553310395e-08
1810,6.786367467981336e-08,9.360507036149102e-09
1811,4.763445815569867e-08,7.521229861140455e-09
1812,2.9339290108509886e-08,2.6672083208723052e-08
1813,5.463909147351842e-08,2.5881675469463516e-08
1814,3.461344899591268e-08,2.5173417128598885e-08
1815,8.091670444798638e-09,1.3486118000116676e-08
1816,9.270415546325239e-09,2.3176038865813098e-09
1817,8.095742032310227e-08,6.383181272440197e-08
1818,3.099506074022429e-08,3.695565098382758e-08
1819,1.0040518816367694e-07,1.035105001712111e-09
1820,5.93324074316115e-08,8.306536791735653e-09
1821,5.719663320746804e-08,9.861488514673056e-09
1822,5.413832582235045e-08,1.604098542884458e-08
1823,2.8659792761231984e-08,3.063632902922109e-08
1824,3.621078548121659e-08,1.2631669044083083e-08
1825,6.95629991387392e-08,2.729687298419492e-08
1826,4.4039921931471326e-08,1.76159691278599e-08
1827,3.3182182335167454e-08,4.608636583469661e-09
1828,4.769596628761974e-08,2.109629315683037e-08
1829,3.172075158097698e-08,3.257806824308318e-08
1830,9.706257486641334e-08,2.5048406016026092e-08
1831,5.1450980143030733e-08,9.354723218280014e-09
1832,3.111892965534935e-08,4.058990921151917e-09
1833,3.8225973497674204e-08,1.3900354645102198e-08
1834,8.681113605746305e-08,1.0267983796552471e-08
1835,5.52105419160398e-08,4.310960122211327e-08
1836,3.1587525484155776e-08,6.048674894287842e-09
1837,1.8090515530033713e-08,3.270208681627196e-08
1838,4.86036455527028e-08,1.830527018853445e-08
1839,5.593180230079042e-08,6.292327547896548e-09
1840,4.58617570586739e-08,1.52872523528913e-08
1841,5.3290552415319326e-08,7.704658244733764e-09
1842,1.8783141708667017e-08,1.7441489141845068e-08
1843,3.839492035417891e-08,1.063243981747064e-08
1844,4.390849023261367e-08,1.2074834576658589e-08
1845,1.7298706467272496e-08,6.138250796539069e-09
1846,4.5665111247927825e-08,9.952652035849496e-09
1847,2.6426796750911308e-08,1.6179670936367074e-08
1848,2.172209789819135e-08,8.045221711050488e-10
1849,2.1786478399121734e-08,1.5920888607467987e-08
1850,2.308258650884909e-08,8.146795238417326e-09
1851,1.1608989325395669e-08,4.514607132577453e-09
1852,3.8412219849348617e-08,4.557381672043448e-08
1853,3.1054046445433414e-08,2.5082113719321342e-08
1854,3.273268500691984e-08,5.7152309551611324e-09
1855,3.980202833986368e-08,1.4328730202350926e-08
1856,5.539592606851329e-08,9.836659264905734e-09
1857,3.954022459451423e-08,1.4644527590590428e-08
1858,4.9426128856389084e-08,8.31924928945682e-09
1859,4.277425569298998e-08,1.782260738991681e-08
1860,1.51047069019139e-08,2.0139609258063018e-08
1861,5.470517772110384e-08,7.545541969022906e-09
1862,3.343309987191567e-08,1.7620146453012353e-08
1863,1.9978482868054925e-08,2.9967726078439227e-09
1864,2.4453112201783256e-08,1.4384183844029508e-09
1865,2.8241066374334878e-08,6.118897832863013e-09
1866,3.2113044667880786e-08,4.865612912574591e-10
1867,1.8925964795357686e-08,1.067618526917613e-08
1868,2.7663294210888978e-08,1.136171035032163e-08
1869,4.102156014873515e-08,1.4650557100814865e-08
1870,1.3188312220080434e-08,6.307453670473251e-09
1871,1.6993883855676017e-08,5.3105884134652115e-09
1872,3.4469832321804006e-08,1.2094678591978436e-09
1873,2.7535620894525437e-08,1.855661402316855e-08
1874,2.509335778055899e-08,7.169531079931346e-09
1875,1.94531928343622e-08,1.716458086775674e-09
1876,3.0834675479596285e-08,1.0278224937820823e-08
1877,3.834585893258691e-08,2.2883819617014467e-08
1878,5.4955707762260886e-08,1.509772218355465e-08
1879,4.4598075343849075e-08,4.27652757650776e-09
1880,2.3104245627791897e-08,6.417846254436199e-10
1881,4.671580100534811e-08,4.183504542787375e-09
1882,1.3976308999019693e-08,5.324308105514319e-09
1883,3.6652167523243406e-08,3.159669414998234e-09
1884,2.772712726084592e-08,1.1883054540362536e-08
1885,2.707166935067562e-08,1.6114089174124047e-08
1886,2.774989482645651e-08,3.2267319927115068e-09
1887,2.3504128421336645e-08,3.9173548849191775e-09
1888,2.346027505595316e-08,8.242799331981132e-09
1889,4.322944491264025e-08,6.265136742733546e-10
1890,1.7696843102044113e-08,5.898947663673937e-09
1891,1.9122660899206778e-08,2.1672348360368687e-08
1892,1.817868566789116e-08,8.775917104131281e-09
1893,2.894455697344256e-08,5.542575065575761e-09
1894,4.2220313245522334e-08,1.2603078580752936e-08
1895,2.8889349357186234e-08,3.0093072478365457e-09
1896,2.8895442705234586e-08,5.897029031753931e-09
1897,2.097616802476665e-08,2.330685422435863e-09
1898,1.2448381103702388e-08,3.960848538042683e-09
1899,8.844125432005967e-09,8.291367592505594e-09
1900,1.5573159761750333e-08,4.15284251431558e-09
