year,aux_ADP herbes_NOUN
1800,5.659496302712341e-07
1801,3.786080231549249e-07
1802,3.8043282302169246e-07
1803,4.037202110396265e-07
1804,4.498768806371345e-07
1805,4.832892130934852e-07
1806,3.91906993968405e-07
1807,3.1031809299975066e-07
1808,3.081860646680923e-07
1809,6.076791851938879e-07
1810,2.3401267101874623e-07
1811,4.7383751322627177e-07
1812,2.6405361097658897e-07
1813,4.083553051259514e-07
1814,3.996280066864699e-07
1815,1.095072740042724e-06
1816,6.118474260574658e-07
1817,3.845477198893832e-07
1818,3.826697980713334e-07
1819,3.995505366560792e-07
1820,4.177001313721007e-07
1821,2.7612168196355924e-07
1822,2.456275893791826e-07
1823,3.7356555149248294e-07
1824,3.023179431238532e-07
1825,4.0416984425917235e-07
1826,4.298296454319228e-07
1827,3.8343856040290447e-07
1828,3.723954382639505e-07
1829,3.6778926038039117e-07
1830,5.771570208423782e-07
1831,3.8198453822246847e-07
1832,5.817886616910073e-07
1833,4.367027912621779e-07
1834,4.209873569749334e-07
1835,4.1975138742600393e-07
1836,3.763619961238973e-07
1837,3.6320190921479423e-07
1838,3.3643823016404895e-07
1839,4.027089635094683e-07
1840,3.477849922495224e-07
1841,4.012842893530433e-07
1842,3.7901696714470745e-07
1843,3.638657339877227e-07
1844,3.682824650241834e-07
1845,4.921760951015486e-07
1846,3.694190329195379e-07
1847,2.69121859908239e-07
1848,3.34681219404942e-07
1849,3.49421604539657e-07
1850,4.0190856598343316e-07
1851,2.6120226381820544e-07
1852,3.0143826279527275e-07
1853,2.8844430821628464e-07
1854,3.06544204964343e-07
1855,3.417667429062021e-07
1856,2.428101752438572e-07
1857,2.860564300988244e-07
1858,3.185783112313878e-07
1859,2.719220615343687e-07
1860,3.634284062581372e-07
1861,2.560768255222001e-07
1862,2.9547630481241427e-07
1863,2.777009200372049e-07
1864,3.562482759900121e-07
1865,2.5793507418825357e-07
1866,2.179794643675237e-07
1867,2.3778776991889572e-07
1868,2.919465522666087e-07
1869,2.744537771492972e-07
1870,2.6147262888187583e-07
1871,2.793369471287832e-07
1872,3.0841431031269906e-07
1873,2.933142084771134e-07
1874,2.497386567545945e-07
1875,2.488864285221659e-07
1876,2.2793475551452502e-07
1877,3.2099196289880894e-07
1878,3.6596878416617074e-07
1879,2.8897107640091235e-07
1880,2.579974243133165e-07
1881,2.6007453257648194e-07
1882,2.622221728643126e-07
1883,2.906895885113059e-07
1884,3.327255209129021e-07
1885,3.197035240987134e-07
1886,2.710454793941608e-07
1887,2.474462444390646e-07
1888,3.1576261960708507e-07
1889,2.2679795108615508e-07
1890,3.3296281953809626e-07
1891,3.3018458722722244e-07
1892,2.8835158238926795e-07
1893,3.066891522962578e-07
1894,3.043643437283805e-07
1895,2.527818128150727e-07
1896,3.013381779104485e-07
1897,3.012410900726792e-07
1898,2.4217758110012255e-07
1899,2.6311272449675016e-07
1900,3.1509692144382484e-07
1901,2.962031545594712e-07
1902,2.563168102764912e-07
1903,3.072725365260709e-07
1904,2.6496901384120974e-07
1905,2.3016984940227303e-07
1906,2.8395898254984786e-07
1907,2.684564250898802e-07
1908,2.8240487859321206e-07
1909,2.54695535772953e-07
1910,3.083574924289678e-07
1911,2.755953817379364e-07
1912,2.802668545021092e-07
1913,3.446943392937385e-07
1914,2.631820263943041e-07
1915,2.0734140782074917e-07
1916,1.8019437320049292e-07
1917,2.2481169925647748e-07
1918,2.3547071048568569e-07
1919,2.54136611810285e-07
1920,2.8017257891477243e-07
1921,2.771625509101483e-07
1922,2.9733080175731175e-07
1923,2.558443483735573e-07
1924,3.24868938417211e-07
1925,2.826531755317774e-07
1926,2.7530961332900006e-07
1927,3.077186107036667e-07
1928,2.8679363217598564e-07
1929,3.1304542802423896e-07
1930,2.2267639876449863e-07
1931,2.885555270282225e-07
1932,2.6741268488450487e-07
1933,2.3858976927471076e-07
1934,2.79170818018315e-07
1935,2.8125467110839963e-07
1936,2.667437204451062e-07
1937,2.707090436260273e-07
1938,2.787521093949863e-07
1939,2.8446933431069965e-07
1940,2.8907924942700447e-07
1941,2.7744124508899404e-07
1942,3.1555803658989134e-07
1943,2.874202849056928e-07
1944,3.213186197115192e-07
1945,2.3309993357756298e-07
1946,3.1044064208174404e-07
1947,2.76564215084818e-07
1948,3.3702851709449533e-07
1949,3.514488895461909e-07
1950,3.3607742877528324e-07
1951,2.95320823018308e-07
1952,2.7416489700726743e-07
1953,2.391789674094369e-07
1954,2.687447380189667e-07
1955,2.186846699281375e-07
1956,2.564015582073864e-07
1957,2.429635316270051e-07
1958,2.771201614848451e-07
1959,2.1624586676871616e-07
1960,2.526104201927559e-07
1961,2.68198943220721e-07
1962,3.132926458815355e-07
1963,3.187764379131153e-07
1964,3.108907813409445e-07
1965,2.9713196036951217e-07
1966,2.8083109560039787e-07
1967,3.2195092036779727e-07
1968,3.759314938234226e-07
1969,3.678823835562284e-07
1970,3.0305598963664693e-07
1971,3.1292841062846577e-07
1972,3.2832939778071335e-07
1973,3.032262014812659e-07
1974,3.200950216553089e-07
1975,2.57016605331728e-07
1976,2.7596334806201384e-07
1977,2.8208552427244626e-07
1978,4.639601822731265e-07
1979,3.031322215463206e-07
1980,3.365609269057046e-07
1981,3.0931937500255913e-07
1982,3.8486514775115666e-07
1983,4.629126570954156e-07
1984,3.8853357109402964e-07
1985,3.753708304188308e-07
1986,3.4468291731926115e-07
1987,3.6237143352657597e-07
