year,aurez_VERB eu_VERB,aurez_VERB su_VERB
1800,1.4148740490327327e-07,6.288328791015374e-08
1801,2.524053570596152e-07,1.0953439755212457e-07
1802,6.937304419807333e-08,2.6854081625060644e-08
1803,9.361627917314763e-08,5.851017803593095e-08
1804,1.0134588990240445e-07,4.943701981119375e-08
1805,2.388017321663938e-07,5.685755422035754e-09
1806,2.564685530614952e-07,1.8442682403474464e-07
1807,1.0249038240317532e-07,3.4163463169534225e-08
1808,9.064295625194063e-08,2.7192887941396293e-08
1809,9.93973401364201e-08,2.25903047379461e-08
1810,1.3338723192646285e-07,3.7442028144596406e-08
1811,6.016983888912364e-08,2.5070768572277302e-08
1812,1.893717893608482e-07,1.0668832928217853e-08
1813,5.463909147351842e-08,4.3136125782439194e-08
1814,1.5733385794192145e-07,7.866692897096073e-08
1815,1.0788894400093341e-07,2.4275012222574333e-08
1816,8.57513455798653e-08,4.6352077731626196e-09
1817,1.3856173097792635e-07,9.029865566390072e-08
1818,1.5259107044585107e-07,7.27191817873063e-08
1819,1.604412744882211e-07,1.2731791798614722e-07
1820,1.9105034709809843e-07,9.255855104584043e-08
1821,1.4299158124231326e-07,8.678109963966563e-08
1822,2.0151487944986002e-07,1.6341753905635414e-07
1823,1.363810753218786e-07,8.400284201570685e-08
1824,7.494790565942822e-08,5.810567671460376e-08
1825,7.57268097117958e-08,5.6354835464844655e-08
1826,7.48678701256722e-08,1.4268934478423034e-07
1827,1.1429418833586169e-07,6.452091128039683e-08
1828,1.1098484264948638e-07,6.787502826455238e-08
1829,1.0202079181453882e-07,2.4004892296147773e-08
1830,8.34946831673733e-08,5.114049628218709e-08
1831,1.153749238369528e-07,3.741889287312006e-08
1832,9.335678896604804e-08,1.2176972319366541e-08
1833,4.749287541017111e-08,4.054269808762001e-08
1834,5.787409307345115e-08,2.0535967593104942e-08
1835,7.260564416355919e-08,5.142899794918776e-08
1836,1.1895727425326186e-07,1.3777537333226064e-07
1837,1.4124518088465265e-07,1.0575994480177542e-07
1838,9.405120948713375e-08,7.953323688525415e-08
1839,1.7408773089755414e-07,1.6290137239138858e-07
1840,1.0892167523479657e-07,2.1019973317493168e-08
1841,5.521671653241356e-08,4.4301785351308354e-08
1842,8.519496930148307e-08,2.817471411731276e-08
1843,1.0396163219184018e-07,7.797122947295065e-08
1844,8.562155784375136e-08,1.975882035765153e-08
1845,9.374782905524626e-08,1.785672942844485e-08
1846,1.0186832355429942e-07,3.3956109035671034e-08
1847,1.1595430748911895e-07,2.1033571329098777e-08
1848,1.0861049304367043e-07,8.045221711050488e-10
1849,8.882179969305071e-08,3.1841775438579134e-08
1850,1.0726613908218496e-07,6.245876704724651e-08
1851,9.803147094089582e-08,7.416854685970975e-08
1852,8.203286938623933e-08,2.8646400807019745e-08
1853,8.659301187208257e-08,1.1943863675867306e-08
1854,9.248282850649048e-08,2.6497888327980945e-08
1855,1.2365163115646283e-07,3.290301009428731e-08
1856,8.490590630572115e-08,3.520488789376941e-08
1857,6.345961622855611e-08,6.004255936886693e-08
1858,1.3604419280000002e-07,8.955426977763636e-08
1859,9.726051075631403e-08,9.52236405282747e-08
1860,1.3456920555654506e-07,7.23195086038686e-08
1861,1.4760966848825774e-07,7.451222927556955e-08
1862,1.5451513490916113e-07,1.7936405072305206e-07
1863,1.2536497706605587e-07,7.791608425122831e-08
1864,1.0356612278883404e-07,8.486668434670719e-08
1865,1.162590521630591e-07,9.97850975181791e-08
1866,9.293320601955202e-08,8.466166434573097e-08
1867,9.365925990323376e-08,6.454239098729886e-08
1868,1.0818324369665788e-07,4.100095551962113e-08
1869,1.0548401263577034e-07,4.0533208789383934e-08
1870,9.919904186972417e-08,2.9243649279919737e-08
1871,8.284518315804235e-08,1.5931766128574054e-08
1872,9.191955996357137e-08,7.317280648067026e-08
1873,1.472557045190115e-07,6.045864608950069e-08
1874,7.946230340394322e-08,4.958925714504403e-08
1875,1.3788880437459738e-07,3.3757011408397375e-08
1876,1.3422152278508293e-07,3.869449471949338e-08
1877,1.1874846705950404e-07,7.236234722540758e-08
1878,6.34104324603868e-08,7.428079129567777e-08
1879,1.3807074594751612e-07,4.459807456669296e-08
1880,1.01401973040538e-07,2.5671385017744797e-08
1881,8.506459181489845e-08,2.3009274485730202e-08
1882,9.051323957010027e-08,4.725323421439498e-08
1883,8.278333751832179e-08,3.4124429504345244e-08
1884,7.988053596363898e-08,3.895001299270007e-08
1885,6.767917426486747e-08,3.93183761104865e-08
1886,7.873225627008651e-08,3.226731948302586e-08
1887,7.377684596576728e-08,9.075205298358924e-08
1888,7.481925479169149e-08,4.818867083145051e-08
1889,9.523007804546069e-08,6.327788071303075e-08
1890,7.603088647556433e-08,5.046877760150892e-08
1891,1.0644947678883909e-07,2.8046567734918426e-08
1892,9.528138633640992e-08,3.0715710863660206e-08
1893,8.683367269668452e-08,3.510297474917934e-08
1894,1.2035940244459198e-07,1.7014155417882648e-08
1895,6.921406736637437e-08,4.092657945875544e-08
1896,9.49421661289307e-08,1.8870492723976895e-08
1897,6.23458333848248e-08,2.4472196713531957e-08
1898,7.355861697533328e-08,2.8857609635224435e-08
1899,9.286331703606265e-08,2.7085134135518274e-08
1900,6.644548022904928e-08,3.7894686499839736e-08
1901,5.7005138387467014e-08,3.017919070202879e-08
1902,6.236060556830125e-08,3.4863013809172116e-08
1903,5.994244389739833e-08,3.94216073118514e-08
1904,6.557042553367864e-08,5.750849041419315e-08
1905,5.883265430384199e-08,3.096455358786443e-08
1906,6.481672443214848e-08,2.36632491379396e-08
1907,5.657127744029822e-08,4.988558188756542e-08
1908,7.072399910157401e-08,3.1432890068572306e-08
1909,7.206288188399412e-08,3.795678793494517e-08
1910,8.390316708073442e-08,2.8858414324872683e-08
1911,5.4267815130515373e-08,5.69280018680729e-08
1912,6.824341625133457e-08,8.803922213473925e-08
1913,4.2423916823963737e-08,2.2802856491921375e-08
1914,6.227971738326232e-08,5.6252648761301316e-08
1915,3.2986132936230206e-08,4.830112487752558e-08
1916,7.1418504887788e-08,5.383856560570166e-08
1917,4.605898240583883e-08,4.8252267959014716e-08
1918,6.891825421462272e-08,9.189101035644853e-09
1919,4.880159565345821e-08,1.6574126959767455e-08
1920,6.512119199442168e-08,1.2872794385998532e-08
1921,3.937828552125211e-08,1.817459427400081e-08
1922,4.795657915224183e-08,1.8444838545406128e-08
1923,5.944930947521243e-08,3.1847843473542525e-08
1924,4.383152329978657e-08,3.867487308184536e-08
1925,6.378942885021388e-08,8.798542339150117e-09
1926,5.795991953050361e-08,3.566764306128789e-08
1927,7.358488574027433e-08,2.3413372574054847e-08
1928,6.055801549109674e-08,1.9424270192303084e-08
1929,9.580749349424877e-08,2.6736975300423182e-08
1930,3.676261073337628e-08,3.466189113510154e-08
1931,5.816731984964463e-08,2.737285598186645e-08
1932,6.13734059129456e-08,2.7398842306070037e-08
1933,7.570636739728798e-08,3.4411986149507356e-08
1934,4.553000465534751e-08,3.2350264689284813e-08
1935,6.223507398317452e-08,3.8298509252854274e-08
1936,4.243650053581405e-08,2.7886843056990074e-08
1937,5.288269733227935e-08,2.392312481447334e-08
1938,4.537825049055755e-08,2.9819993585533666e-08
1939,5.8117393564316444e-08,2.9058696782158222e-08
1940,6.085878823114399e-08,2.5357829169792012e-09
1941,3.246652724442356e-08,4.132103725851266e-08
1942,3.6410540360520827e-08,6.068423630267716e-08
1943,3.774205836748479e-08,1.7419411690866582e-08
1944,3.855823393905666e-08,2.5705489292704442e-08
1945,3.485606470121638e-08,1.089252066321933e-08
1946,4.037120149291695e-08,2.5057987684817817e-08
1947,6.198852986472048e-08,1.907339353124371e-08
1948,5.870819563824625e-08,1.195907639583993e-08
1949,5.104844191805569e-08,1.47255123650325e-08
1950,6.38121662177582e-08,2.6588404367089424e-08
1951,7.782823274737893e-08,2.5587365115598004e-08
1952,6.85412260281737e-08,3.057992969957013e-08
1953,8.295847209183194e-08,8.188109035245361e-08
1954,2.443134050622575e-08,2.7363100230104465e-08
1955,3.472674947602172e-08,5.255940394022218e-08
1956,4.883839466174322e-08,1.3953826538681824e-08
1957,4.8592706747285774e-08,2.03205861026845e-08
1958,6.4523497655955e-08,2.9780077070995503e-08
1959,5.968075811324525e-08,3.5653439312000046e-08
1960,5.9519166484278685e-08,8.997083078554624e-09
1961,4.794229724325305e-08,4.238377115939329e-08
1962,7.673767044025226e-08,3.868593267952747e-08
1963,3.879631904624148e-08,7.1126584622049904e-09
1964,6.996563683969725e-08,2.7377858202726202e-08
1965,7.551420111440166e-08,4.54179591713455e-08
1966,3.7665706997813686e-08,1.4401594583546284e-08
1967,5.768492528090974e-08,1.5777073869571723e-08
1968,5.1202139417227954e-08,3.233819256820425e-08
1969,5.313856732414024e-08,1.7712855182594467e-08
1970,5.5184699476740207e-08,2.575285940054073e-08
1971,6.782684636164049e-08,3.7510300643361916e-08
1972,5.4379555081141007e-08,2.8215808356435446e-08
1973,5.402939606824475e-08,1.268036875501366e-08
1974,3.09406438248061e-08,1.7439271360331077e-08
1975,5.197447094928975e-08,1.8847885030481848e-08
1976,4.056603941648973e-08,2.5710871653927825e-08
1977,3.349765620441758e-08,1.3516598507123945e-08
1978,4.158414057542359e-08,1.4257419245211622e-08
1979,5.559374827157626e-08,1.6970723493159312e-08
1980,4.0933084477501325e-08,1.1370301145063877e-08
1981,4.1748627666038374e-08,2.1506869174459098e-08
1982,3.662426451001011e-08,2.110550845202397e-08
1983,3.978649232294629e-08,5.052252838311233e-09
1984,4.1752862500743504e-08,1.1598016769198694e-08
1985,4.571824163690508e-08,1.5038894574104233e-08
1986,4.375974427262008e-08,2.577628777089558e-08
1987,3.0554083707556856e-08,3.238733015109574e-08
1988,3.897759981441595e-08,1.798966131616453e-08
1989,3.1831110192115375e-08,1.0976243913773942e-08
1990,2.942271493111548e-08,4.90378582185258e-09
1991,2.5790447111262438e-08,1.2309077312977479e-08
1992,4.1324582866764104e-08,1.1019888113139586e-08
1993,4.2097976660215863e-08,1.661762283333701e-08
1994,3.006708126918056e-08,1.5297286992677073e-08
1995,3.849940100053573e-08,2.3858783393393423e-08
1996,3.3629980578098184e-08,1.8149513891785318e-08
1997,3.068732468136659e-08,1.2466725429760572e-08
1998,3.9575471788566574e-08,1.382757464085671e-08
1999,2.8792268125243936e-08,1.3253583119876566e-08
2000,3.004261373007466e-08,1.678851901942835e-08
2001,3.680217730561708e-08,2.1029816110740285e-08
2002,2.234422957769766e-08,9.63868718173444e-09
2003,2.4584844382502524e-08,1.3750845795357236e-08
2004,2.5107310008820605e-08,1.2773894830786503e-08
2005,4.1434496722558833e-08,1.5312748402607212e-08
2006,4.323784352777693e-08,1.6059770402421236e-08
2007,2.915970043204652e-08,1.757570977645173e-08
2008,3.661398295662366e-08,1.3623806971452268e-08
2009,4.339055337254649e-08,1.907277002999308e-08
2010,4.487603533220863e-08,1.5116137674908714e-08
2011,5.162362270993981e-08,1.7972668686638826e-08
2012,7.251058065094185e-08,1.6680838044180746e-08
2013,7.056486595047318e-08,2.2034088331679413e-08
2014,6.691225706845216e-08,2.03551842048455e-08
2015,8.799804618320195e-08,1.8619234154471087e-08
2016,9.46602369822358e-08,2.092053463798038e-08
2017,6.112935579949408e-08,1.4590545660553289e-08
2018,6.556925313816464e-08,1.2649186587054828e-08
2019,9.438655013127573e-08,1.3775333762566788e-08
