year,les_DET iles_NOUN,les_DET cils_NOUN
1800,1.3016840654245243e-06,3.1756061424914606e-07
1801,1.776362196892478e-06,1.1905912700171939e-07
1802,1.4322177150916104e-06,6.109303285484202e-07
1803,1.2930749153650112e-06,6.085058608107374e-07
1804,1.5696252999575222e-06,4.844827792283013e-07
1805,9.324638874375069e-07,1.3731099208769137e-06
1806,9.653591570568665e-07,4.120786734063131e-07
1807,1.5601314018454104e-06,4.61206742130571e-07
1808,1.2259460362429309e-06,5.121327149026911e-07
1809,1.2447258184167254e-06,2.100898353063485e-07
1810,1.2355869429825361e-06,1.9891076696865184e-07
1811,1.7975740078668423e-06,4.437525955580668e-07
1812,9.415245187938126e-07,5.601137047506199e-07
1813,1.4234921295042113e-06,3.5084048022326897e-07
1814,1.0446967912969285e-06,4.248014100483033e-07
1815,1.1544116735873189e-06,4.0458353467442976e-07
1816,9.919344758912985e-07,7.81032525765113e-07
1817,1.0804701418010154e-06,3.8921833933613925e-07
1818,9.250833867824326e-07,6.497041411535065e-07
1819,7.701181243824351e-07,3.591814299319651e-07
1820,1.1427421213738853e-06,4.497396286495814e-07
1821,8.332957381895767e-07,4.0530715672559836e-07
1822,1.1990636892278417e-06,2.897402993085052e-07
1823,1.305502955517568e-06,2.273017933873689e-07
1824,1.0374810957003433e-06,4.0337129547651784e-07
1825,1.7276279447031584e-06,3.1347378026680417e-07
1826,1.7334113504574589e-06,4.888431277549898e-07
1827,1.2931834527663e-06,5.0141966312367e-07
1828,1.4629820253020398e-06,6.301370731875977e-07
1829,2.082424478189182e-06,4.4237588525675164e-07
1830,1.3463518362399896e-06,4.195608021007047e-07
1831,1.0025145353864673e-06,3.414474107898968e-07
1832,1.5789474296923345e-06,7.522662741621389e-07
1833,3.2874338788957402e-06,5.085212819722074e-07
1834,1.6662138371259516e-06,5.330017245341878e-07
1835,1.8983350216217332e-06,5.188278393575274e-07
1836,1.582064548699691e-06,5.148094572859918e-07
1837,1.9983063177519966e-06,5.155797353495473e-07
1838,2.006636307783083e-06,6.337410809464927e-07
1839,2.2260856979983146e-06,5.292546489954475e-07
1840,2.1440371433811833e-06,7.815608213945779e-07
1841,1.8542543935851086e-06,1.0516858495179804e-06
1842,1.5522925451705305e-06,4.890325229212067e-07
1843,2.031977416550035e-06,7.608101668665768e-07
1844,1.69706311581308e-06,6.169142920953163e-07
1845,1.697505346953676e-06,7.215234489876821e-07
1846,1.7926482769325958e-06,7.02540148722619e-07
1847,2.0273127852021844e-06,6.795462041964129e-07
1848,1.8849954379618339e-06,6.597081991799314e-07
1849,2.047929022808148e-06,9.175459467769542e-07
1850,1.8045151213286204e-06,5.845325645736921e-07
1851,1.46402260980949e-06,5.482023013314574e-07
1852,1.8815476305888978e-06,4.5573819207334054e-07
1853,1.894893941312148e-06,6.581069058597677e-07
1854,1.5638949619756204e-06,6.863472776785784e-07
1855,1.675400088885226e-06,7.190899964371056e-07
1856,1.7731873018789202e-06,7.444798058031665e-07
1857,1.5933246153565506e-06,6.682785951284131e-07
1858,1.379527233780209e-06,7.086042685955363e-07
1859,1.737958751135693e-06,7.164687758631771e-07
1860,1.2376705669225885e-06,4.5771838586006197e-07
1861,1.5661715284664979e-06,6.173196425152128e-07
1862,1.3391311188826194e-06,6.176087268272568e-07
1863,1.584793196229839e-06,4.125556714029699e-07
1864,1.8023382288845369e-06,4.6029389721979896e-07
1865,1.3503936031611374e-06,6.02946734318266e-07
1866,1.5088265854501515e-06,7.53683423226903e-07
1867,1.4306088687021656e-06,6.027192043234209e-07
1868,1.3851406670539745e-06,6.43665607924504e-07
1869,1.1398133601403515e-06,6.773441185714546e-07
1870,1.3733046682062877e-06,5.154909956672782e-07
1871,9.028000729216501e-07,1.160894640861443e-06
1872,1.195558960276344e-06,8.593268887580052e-07
1873,1.5952701986066131e-06,9.936767355611664e-07
1874,1.118446856906985e-06,9.666917506478967e-07
1875,1.1174142482417437e-06,8.502189601244936e-07
1876,1.4177904859025148e-06,1.120931116815882e-06
1877,1.3810694170501847e-06,1.0316273062471737e-06
1878,1.5605004684005053e-06,9.354548211604197e-07
1879,1.467459910031721e-06,6.420901144110758e-07
1880,1.5678798668261607e-06,9.517666228475719e-07
1881,1.9369625974263727e-06,9.231600159864684e-07
1882,1.4442185900520599e-06,1.114111455535749e-06
1883,1.4155319227882046e-06,1.2701871128228959e-06
1884,1.6174157337900397e-06,9.050926337295095e-07
1885,1.6713533455003926e-06,8.031262197505384e-07
1886,2.545246125862377e-06,8.770257409196347e-07
1887,1.4833716974749223e-06,1.0198180149245673e-06
1888,1.6339764279393876e-06,1.0772704115424858e-06
1889,1.6571286636235527e-06,1.0863747235134724e-06
1890,1.6890654102041935e-06,8.428941242755172e-07
1891,1.7503608304991758e-06,1.093816159425387e-06
1892,1.827898174155962e-06,7.942204902633421e-07
1893,1.9509863804501038e-06,9.212991045615126e-07
1894,1.595549704802579e-06,8.355841103480088e-07
1895,2.5470776279234997e-06,8.113092491157659e-07
1896,1.9660694228207376e-06,1.129281045564312e-06
1897,1.6926602910416477e-06,1.0016120484124258e-06
1898,1.8276486102308809e-06,1.1209201460360418e-06
1899,2.0247519501026545e-06,1.2940061111521572e-06
1900,1.9123840111490154e-06,1.0356151278756442e-06
1901,1.8023683487911057e-06,1.9392923604755197e-06
1902,1.8280986537888566e-06,7.802440933346588e-07
1903,1.775592423314265e-06,1.028741934305799e-06
1904,1.6521597743235361e-06,1.0996483297276427e-06
1905,1.8805805694910305e-06,7.596637559004193e-07
1906,1.5854376762547417e-06,8.163820695017421e-07
1907,1.8596521584868242e-06,9.80225948410407e-07
