year,voudrions_VERB avoir_VERB,voudrions_VERB savoir_VERB
1800,6.288328968651058e-09,3.772997558826319e-08
1801,4.524246932646747e-08,4.7623651688866175e-09
1802,1.1189200677108602e-08,1.1189200677108602e-08
1803,3.705644502360883e-08,1.950339223455444e-09
1804,6.426812149129546e-08,0.0
1805,1.1371510844071508e-08,3.4114531644036106e-08
1806,2.5935023018064385e-08,6.339671898558663e-08
1807,5.124519120158766e-08,1.1387820464392462e-08
1808,9.064295980465431e-09,1.5862518409903714e-08
1809,2.4849335034105025e-08,2.25903047379461e-08
1810,1.1700633351097167e-08,6.552355102940055e-08
1811,2.5070768572277302e-08,2.0056614147279106e-08
1812,5.3344166417446104e-08,5.3344164641089264e-09
1813,5.176335093892703e-08,0.0
1814,2.2026739543434815e-08,3.1466771410748606e-09
1815,4.045835311217161e-08,1.0788894222457657e-08
1816,2.5493642752394408e-08,1.1588019432906549e-08
1817,2.3353100786493997e-08,1.2299300067297736e-07
1818,2.6226590676969863e-08,1.7881765401739358e-08
1819,5.796588098405664e-08,8.79839276990424e-08
1820,2.8479554714522237e-08,9.01852530432734e-08
1821,4.7335142028259725e-08,2.1695274909916407e-08
1822,2.2056354964661296e-08,2.4061478143266868e-08
1823,3.063632902922109e-08,1.7195874590925087e-07
1824,5.4737231636181605e-08,1.0105335235266466e-08
1825,2.553578504205234e-08,2.4655239627691117e-08
1826,5.372870504061211e-08,6.34174881497529e-08
1827,2.2121454890111636e-08,4.516463647519231e-08
1828,1.6510142586412258e-08,2.5682442839070063e-08
1829,2.6576845613135447e-08,2.6576845613135447e-08
1830,3.965997663613052e-08,1.49246758951449e-07
1831,3.274153215215847e-08,1.4655734048574232e-07
1832,4.19429042608499e-08,3.788391467196561e-08
1833,5.09679658478035e-08,4.6334513115198206e-08
1834,3.080395316601425e-08,7.187588835222414e-08
1835,3.025235173481633e-08,7.109302657681837e-08
1836,6.25029770162655e-08,5.443807538085821e-08
1837,2.1569462660409044e-08,6.54041727443655e-08
1838,4.039783618736692e-08,6.56464820281144e-08
1839,7.341049013120937e-08,5.5232654005976656e-08
1840,2.6115722917552375e-08,5.159447979963261e-08
1841,3.4028907691663335e-08,3.338685417020315e-08
1842,5.500777433553594e-08,5.836190553054621e-08
1843,4.784597962270709e-08,1.453100111348249e-07
1844,6.476502534269457e-08,8.177956090094085e-08
1845,5.6918324276011845e-08,4.575786860527842e-08
1846,4.156695965207291e-08,1.0011197559833818e-07
1847,3.721324404182269e-08,7.33478415781974e-08
1848,4.505324113779352e-08,1.1102405750307298e-07
1849,6.535943697372204e-08,5.111443002192573e-08
1850,4.616517301769818e-08,2.702020367451041e-07
1851,8.190787070816441e-08,1.9477305102100217e-07
1852,4.362065553209504e-08,1.5755520621496544e-07
1853,6.031650912063924e-08,7.524634071387482e-08
1854,6.546537179019651e-08,6.182840905921694e-08
1855,6.209116065747367e-08,1.0348527723635925e-07
1856,8.387046790403474e-08,6.367942972929086e-08
1857,3.612316845647001e-08,9.47012779306533e-08
1858,3.0830157982109085e-08,6.557525722428181e-08
1859,7.689181558134806e-08,1.0948172501912268e-07
1860,5.446849016266242e-08,6.957319698130959e-08
1861,4.0557289082698844e-08,8.347255686658173e-08
1862,6.00892207103243e-08,5.828202276347838e-08
1863,7.292146619874984e-08,1.1887197359783386e-07
1864,4.794727814783073e-08,6.568777166648943e-08
1865,6.165966226490127e-08,5.554076309977063e-08
1866,5.400830360713371e-08,4.6223323835192787e-08
1867,7.036576477048584e-08,7.085104414272791e-08
1868,6.323038803657255e-08,9.978545278954698e-08
1869,4.395167252368992e-08,6.885761649755295e-08
1870,5.103303379883073e-08,4.529898589566983e-08
1871,4.354682658913589e-08,7.541035529357032e-08
1872,8.163907949665372e-08,1.040142336705685e-07
1873,7.123345113768664e-08,8.79942660958477e-08
1874,4.301718448118663e-08,5.436894312538243e-08
1875,6.923048090357042e-08,7.380769773135398e-08
1876,6.227395488167531e-08,1.0580525611203484e-07
1877,3.3398006138440905e-08,7.607323482261563e-08
1878,4.5293166550663955e-08,5.918306911212312e-08
1879,4.948553566919145e-08,6.536978247595471e-08
1880,5.0059199452334724e-08,7.701415682959123e-08
1881,5.438555916725818e-08,7.321133210780317e-08
1882,3.793569547383413e-08,5.124646662579835e-08
1883,4.676310894069502e-08,8.404720830412771e-08
1884,8.120087358065575e-08,4.8192386969958534e-08
1885,3.480643329112354e-08,1.2246707115082245e-07
1886,5.679048342699389e-08,6.001721430948237e-08
1887,5.3537181798901656e-08,7.116528166761782e-08
1888,6.78445744028977e-08,7.418519487600861e-08
1889,5.7639258699282436e-08,6.641045047217631e-08
1890,8.651790039948537e-08,5.964491833765351e-08
1891,5.290602800300803e-08,9.816298529585765e-08
1892,4.199903358426127e-08,6.769993632360638e-08
1893,5.234653954744317e-08,7.020594949835868e-08
1894,6.175508815431385e-08,4.222031435574536e-08
1895,5.777869915846168e-08,6.018614584490933e-08
1896,6.309821287686646e-08,6.781583294923621e-08
1897,4.603103676004139e-08,8.507002036139966e-08
1898,6.790025963709923e-08,6.959776754911218e-08
1899,4.532614283903058e-08,5.30647525920358e-08
1900,3.2703635355346705e-08,6.073532432537831e-08
1901,5.812288605966387e-08,7.041811045382929e-08
1902,3.0443761289689064e-08,5.4995179965544594e-08
1903,3.294134387488157e-08,6.480264147512571e-08
1904,4.03096898082822e-08,6.879520242364379e-08
1905,5.1091515018697464e-08,6.657379003627284e-08
1906,4.578324208637241e-08,7.459067319359747e-08
1907,5.862841589987511e-08,6.017126708002252e-08
