year,auras_VERB eu_VERB,auras_VERB su_VERB
1800,3.144164395507687e-08,0.0
1801,2.6193008650921e-08,9.524730337773235e-09
1802,4.475680270843441e-09,0.0
1803,5.851017448321727e-09,3.900678446910888e-09
1804,4.943701892301533e-09,0.0
1805,0.0,2.842877711017877e-09
1806,0.0,0.0
1807,0.0,8.540865792383556e-09
1808,9.064295980465431e-09,0.0
1809,2.259030518203531e-09,0.0
1810,4.680253518074551e-09,0.0
1811,5.0141535368197765e-09,0.0
1812,8.00162425207418e-09,0.0
1813,1.1502966579257645e-08,0.0
1814,9.440030979135372e-09,0.0
1815,8.091670444798638e-09,2.697223555614414e-09
1816,0.0,2.3176038865813098e-09
1817,4.670620334934483e-09,0.0
1818,0.0,1.3113295338484932e-08
1819,1.035105001712111e-09,1.035105001712111e-09
1820,9.493184904840746e-09,0.0
1821,9.86148829262845e-10,2.9584463767662328e-09
1822,7.017931125119503e-09,0.0
1823,9.882686891060644e-10,0.0
1824,1.0105335235266466e-08,0.0
1825,1.7610886082763955e-09,8.805443041381977e-10
1826,3.5231937367541377e-09,1.7615968683770689e-09
1827,3.6869092223668076e-09,9.217273055917019e-10
1828,1.8344602503717056e-09,6.420610709767516e-09
1829,5.143905745796928e-09,0.0
1830,4.174734336004349e-09,0.0
1831,3.1182412207897414e-09,4.677361609140007e-09
1832,1.3529969367098715e-09,1.3529969367098715e-09
1833,1.1583628500844156e-09,3.4750886612755494e-09
1834,2.0535967593104942e-08,9.334530925997342e-10
1835,6.050470346963266e-09,2.2689263801112247e-09
1836,6.720750067579218e-10,1.3441500135158435e-09
1837,4.87052354003481e-09,7.653680356156656e-09
1838,2.209256599883247e-08,4.418513555037862e-09
1839,1.2584655095793096e-08,0.0
1840,1.9109065441114126e-09,0.0
1841,3.852329122366882e-09,3.2102742686390684e-09
1842,9.391571076378114e-09,7.379091560011375e-09
1843,9.451057714215949e-09,1.1813822142769936e-09
1844,5.488561161115513e-09,6.586273748609983e-09
1845,9.48638767539478e-09,5.580227946389016e-10
1846,7.025401593807601e-09,1.1709002656346001e-09
1847,8.629157832729106e-09,0.0
1848,1.6090443422100975e-09,0.0
1849,8.379414939696517e-10,0.0
1850,1.3577992064028876e-09,6.788996032014438e-10
1851,6.449438760824933e-09,0.0
1852,3.906327261660181e-09,2.6042181744401205e-09
1853,1.4332636411040767e-08,1.7915795513800958e-09
1854,9.352196350675968e-09,1.1430461910322265e-08
1855,5.837630823180007e-09,2.653468555990912e-09
1856,5.177189343896771e-09,6.73034605824796e-09
1857,4.881508974818871e-09,5.857811125054013e-09
1858,7.829881631948865e-09,2.936205500958522e-09
1859,9.675129142294736e-09,5.092173349652285e-10
1860,7.323494255473406e-09,1.1442959468865865e-08
1861,5.234719679947375e-08,3.772770984511453e-09
1862,1.8071945051545413e-09,9.035972525772706e-10
1863,3.995696662428827e-09,3.995696662428827e-09
1864,9.109982990196386e-09,5.753673537611803e-09
1865,9.413688495385486e-09,0.0
1866,4.379051787850585e-09,1.9462451650298362e-09
1867,1.261730986357179e-08,4.85281148598915e-09
1868,9.87974857480367e-09,4.939874287401835e-09
1869,2.539429999615095e-08,5.860222973552709e-09
1870,6.880858549607183e-09,3.4404292748035914e-09
1871,7.434824311758348e-09,0.0
1872,4.8378714367913744e-09,0.0
1873,3.591602570907071e-09,1.1972008939764578e-09
1874,5.974609251779839e-09,1.1949218281515073e-09
1875,2.8607636259891933e-09,4.005069165202713e-09
1876,5.441413541973361e-09,7.255217759905008e-09
1877,5.566334504436554e-09,4.329371083855449e-09
1878,3.6234530931267273e-09,5.435179861734696e-09
1879,9.774920428640144e-09,4.887460214320072e-09
1880,1.1552122813895949e-08,4.492492600149944e-09
1881,9.064259565150223e-09,4.8807553554297556e-09
1882,1.4641846846075168e-08,6.655385131892899e-10
1883,9.479008689083912e-09,2.5277355764075082e-09
1884,7.922036360241691e-09,9.242375753615306e-09
1885,7.7347630522695e-09,3.86738152613475e-09
1886,1.097088819790315e-08,1.2906927748801422e-09
1887,7.1818169189441505e-09,0.0
1888,1.268122939990235e-08,0.0
1889,1.1277245803853475e-08,8.14467782106476e-09
1890,5.243509182406569e-09,1.9663159989136147e-09
1891,8.92390783491237e-09,1.2748440081367107e-09
1892,1.002961980134387e-08,6.8953633913793055e-09
1893,9.23762488724833e-09,4.926733243593162e-09
1894,2.520615716150587e-09,1.8904617871129403e-09
1895,3.0093072478365457e-09,1.8055843487019274e-09
1896,5.897029087265082e-09,4.717623180994224e-09
1897,3.4960281336537946e-09,7.574727511894253e-09
1898,7.355861253444118e-09,3.3950129374460403e-09
