year,des_DET heures_NOUN,des_DET soeurs_NOUN
1800,2.3549791023924627e-06,3.772997425599556e-08
1801,2.2525988185861934e-06,6.191074897188287e-08
1802,2.4728134633278387e-06,4.0281122437590966e-08
1803,2.6310076215452227e-06,2.5354410126965377e-08
1804,2.6597115940774074e-06,5.1908870757344516e-08
1805,2.623976036453257e-06,3.695740913300938e-08
1806,1.982588401006069e-06,6.62783872229511e-08
1807,2.4284527051499083e-06,1.6227644028532495e-07
1808,1.8219235426997216e-06,2.7192888385485503e-08
1809,2.32228342866847e-06,3.388545621874073e-08
1810,2.5086159176623823e-06,5.148278958699848e-08
1811,1.9881119452946905e-06,2.5070768128188092e-08
1812,1.9950717073946578e-06,3.467370746079723e-08
1813,2.1136700425472554e-06,6.901779880941206e-08
1814,2.0799535551674353e-06,9.440030979135372e-09
1815,1.8071397676067136e-06,5.39444717784221e-08
1816,2.3894497065413134e-06,3.012885052555703e-08
1817,2.397584971447486e-06,3.580808827230442e-08
1818,2.3437034504247833e-06,2.265023701930602e-08
1819,2.0774556901415053e-06,2.898294049202832e-08
1820,2.045781245740841e-06,4.390598196124529e-08
1821,1.944685505073096e-06,1.3806083165590621e-08
1822,1.9429644169122184e-06,2.4061478143266868e-08
1823,2.2848772847083865e-06,1.7788837070042973e-08
1824,1.8913819666011022e-06,3.2000229133188896e-08
1825,2.2718042700375918e-06,1.8491430164857547e-08
1826,2.128009109370055e-06,1.673516958344834e-08
1827,1.8849323497605042e-06,1.3825909916942436e-08
1828,2.1664974845236884e-06,2.3847982366653753e-08
1829,2.183587898052508e-06,3.172075119239892e-08
1830,2.654087417397477e-06,1.9829987651931447e-08
1831,2.6084088347033685e-06,2.9623292263636358e-08
1832,3.0442431562249794e-06,3.247192614797001e-08
1833,2.8623144956441138e-06,1.8533804935216835e-08
1834,2.7200823495832083e-06,3.2670858240990697e-08
1835,2.9957392371215974e-06,1.8151411040889798e-08
1836,2.4927262263219063e-06,1.411357480884945e-08
1837,2.7539332023707175e-06,3.200629672406308e-08
1838,2.414401979677905e-06,1.6411621173162416e-08
1839,2.7050017266105897e-06,1.8177834681942784e-08
1840,2.5784500454761883e-06,1.97460351958334e-08
1841,2.5258439055875215e-06,1.2841096630467064e-08
1842,2.699405934336596e-06,1.408735617047796e-08
1843,2.875484394593286e-06,2.2446262293307484e-08
1844,2.625727660188204e-06,1.6465684204991504e-08
1845,2.6595366673376475e-06,2.7343116437705817e-08
1846,2.6064239122547406e-06,1.5807153141977892e-08
1847,2.4382764065578044e-06,1.1865092020002521e-08
1848,2.588952249027443e-06,2.5744709697406165e-08
1849,3.0442415095421893e-06,2.3462361609105642e-08
1850,2.5214331245138055e-06,3.666057768469955e-08
1851,2.484968650406927e-06,9.029214265154906e-09
1852,2.832738427827053e-06,1.6927418355905388e-08
1853,3.0474769117105893e-06,1.7318602107962988e-08
1854,2.976076665106575e-06,1.558699347370407e-08
1855,3.109334354434168e-06,2.2289135870323662e-08
1856,2.9442674023272275e-06,2.1744194667050465e-08
1857,3.2130092968429835e-06,1.6597130059192722e-08
1858,3.044355846526514e-06,1.663849813482443e-08
1859,3.415320758648477e-06,1.7822607167872206e-08
1860,3.455773875060686e-06,1.4189269925690695e-08
1861,3.1691275950151976e-06,1.6977469707857296e-08
1862,2.979160109717327e-06,1.8975543192301103e-08
1863,3.0921697469210585e-06,1.4983862095530043e-08
1864,3.0556801693393254e-06,2.589153114129772e-08
1865,3.1088706595738813e-06,2.0239431020030452e-08
1866,3.1047475790302315e-06,2.1895258939252926e-08
1867,2.914598486114528e-06,2.814630661873707e-08
1868,3.055312191690973e-06,2.469937065985306e-08
1869,3.3876972995727783e-06,1.6603964647643465e-08
1870,3.2770088651545848e-06,1.3761717099214366e-08
1871,3.3350496453365963e-06,2.442870794538976e-08
1872,3.233512231304303e-06,2.0560953273296434e-08
1873,3.1689908084331364e-06,2.0352414864532875e-08
1874,3.3230775962067582e-06,2.270351434630058e-08
1875,3.2189312584307572e-06,1.7736734192475012e-08
1876,2.9486413737345174e-06,1.9347247137702084e-08
1877,3.1777585363101934e-06,1.4843558826527214e-08
1878,2.9821019609244104e-06,2.5364171873931696e-08
1879,3.0345019546018648e-06,1.771704327691026e-08
1880,2.9515674633273647e-06,1.7328184886977738e-08
1881,3.4625471769800242e-06,1.3945015364669189e-08
