year,plusieurs_DET eaux_NOUN,plusieurs_DET seaux_NOUN
1800,4.4647134433972724e-07,6.288328791015374e-08
1801,4.905236004049129e-07,1.4287095950749062e-08
1802,2.6854081625060644e-07,4.4756802708434407e-08
1803,7.489302760177452e-07,4.290746247193056e-08
1804,2.7190359297435407e-07,3.9549615138412264e-08
1805,3.3261667908845993e-07,5.1171799242411e-08
1806,1.7578181132904547e-07,6.339671898558663e-08
1807,3.1031811431603273e-07,3.9857372513552036e-08
1808,3.0818605356586204e-07,7.251436784372345e-08
1809,3.930713194932878e-07,8.584316191218022e-08
1810,1.825298880930859e-07,4.680253340438867e-08
1811,3.058633719632553e-07,3.259199621297171e-08
1812,1.787029546562735e-07,7.734903562095496e-08
1813,2.013019202440347e-07,3.4508900625951355e-08
1814,2.0138733702879108e-07,1.8880061958270744e-08
1815,2.7781403844073793e-07,3.236668177919455e-08
1816,2.549364239712304e-07,4.4034473845044886e-08
1817,2.5999784725172503e-07,1.401186100480345e-08
1818,2.718028302428621e-07,5.0068944545955674e-08
1819,2.4739009951701973e-07,1.6561680027393777e-08
1820,1.8630375020478596e-07,3.678609061807947e-08
1821,1.3806084253609185e-07,1.676452932031225e-08
1822,1.3233812978796777e-07,1.303330066093622e-08
1823,1.8777105204037525e-07,1.581229902569703e-08
1824,1.6842225214475093e-07,1.431589158329416e-08
1825,1.7698941112698208e-07,3.081905064483692e-08
1826,1.1714619407854343e-07,2.2900759399924198e-08
1827,1.8711064875276406e-07,4.516463647519231e-08
1828,1.6051527507165986e-07,1.8344601671049787e-08
1829,1.294549552000035e-07,2.314757596710848e-08
1830,1.4298465633721946e-07,4.4878394334091354e-08
1831,2.1671776728737768e-07,1.5591206548037917e-08
1832,2.9495332221074477e-07,4.058990654698391e-08
1833,2.281974778028939e-07,2.3167256557599103e-08
1834,2.0162586711336417e-07,2.7070138797213872e-08
1835,8.546289365085613e-08,2.571449897459388e-08
1836,1.592817713280681e-07,1.6129799718100912e-08
1837,1.607272839265761e-07,2.5744196108234974e-08
1838,1.1614377637414464e-07,2.5248647617104325e-08
1839,2.286212446023228e-07,2.7965899818127582e-08
1840,8.216898661483896e-08,2.93005673057678e-08
1841,1.3033714019172749e-07,2.3113974734201292e-08
1842,6.37285153537448e-08,1.6770663080478698e-08
1843,1.4826347272123286e-07,1.3585895075607368e-08
1844,6.696044607679141e-08,2.25031016043431e-08
1845,1.2946129324120648e-07,1.674068350610014e-08
1846,1.0830827568142354e-07,2.0490753982471688e-08
1847,1.0948244177910738e-07,1.1865092020002521e-08
1848,9.010648227558704e-08,2.333114323960217e-08
1849,1.1312210324021521e-07,1.256912263158938e-08
1850,1.1948632838709727e-07,2.4440385715251978e-08
1851,1.199595587308977e-07,1.2253933867611977e-08
1852,1.1653876130779395e-07,2.929745512858517e-08
1853,1.510898699486063e-07,1.791579506971175e-08
1854,1.7041779409865399e-07,2.4939190268469247e-08
1855,1.2630509971245374e-07,1.5920811335945473e-08
1856,1.5169164357953235e-07,5.177189343896771e-09
1857,1.6255425805411505e-07,1.8549734193129552e-08
1858,1.8204475304983703e-07,7.34051397444091e-09
1859,1.7618919923023668e-07,3.5645213447565993e-09
1860,9.612086060428737e-08,1.7393299245327398e-08
1861,1.466664747984403e-07,1.0846716413936974e-08
1862,1.644546971935057e-07,2.2138133104476765e-08
1863,1.573305503654865e-07,9.989241434027463e-09
1864,1.448007906912352e-07,4.315255264231155e-09
1865,1.0543331430135083e-07,2.118079933666195e-08
1866,6.90917041357153e-08,1.3137154475373336e-08
1867,8.73506067478047e-08,9.220341823379385e-09
1868,6.273639874265768e-08,1.9265508632848594e-08
1869,6.788091344578362e-08,4.395167341186834e-09
1870,9.403839706934036e-08,4.013834153937523e-09
1871,5.629224020253787e-08,5.3105884134652115e-09
1872,6.773019978201233e-08,1.874675159552197e-08
