year,nos_DET heures_NOUN,nos_DET soeurs_NOUN
1800,9.432493364158745e-08,6.288328968651058e-09
1801,5.9529563944948904e-08,3.809892001882531e-08
1802,1.096541666356643e-07,4.0281122437590966e-08
1803,8.191424427650418e-08,1.3652374786232713e-08
1804,5.9324422707618396e-08,1.4831105454859994e-08
1805,4.5486043376286034e-08,3.980028706607186e-08
1806,4.8988376022407465e-08,6.339672165012189e-08
1807,5.97860605466849e-08,5.693910232196231e-09
1808,1.0197332755979005e-07,3.6257184365950934e-08
1809,7.68070356205186e-08,6.7770915546105925e-09
1810,9.360507213784786e-08,2.574139390532082e-08
1811,4.512738271955641e-08,1.2535383397960231e-08
1812,4.800974684471271e-08,5.3344164641089264e-09
1813,4.601186631703058e-08,2.5881674803329702e-08
1814,5.664018942752591e-08,1.5733386149463513e-08
1815,3.236668177919455e-08,1.6183340889597275e-08
1816,8.57513455798653e-08,4.6352077731626196e-09
1817,8.718490818182545e-08,2.3353101563650114e-08
1818,5.4837415719433125e-08,1.6689648552059566e-08
1819,9.005413570406517e-08,4.140420006848444e-09
1820,5.22125169766241e-08,9.493184904840746e-09
1821,1.3313008651039127e-07,5.916892820145847e-08
1822,5.714601059025881e-08,8.02049271442229e-09
1823,2.1445430498090445e-07,1.2847493402468046e-08
1824,1.1200079974571509e-07,4.210556348027694e-09
1825,5.3713202774474667e-08,5.283266046873791e-09
1826,7.134467683300727e-08,1.4092774835994248e-08
1827,6.083400155842966e-08,2.7651819167751057e-09
1828,9.447469984102952e-08,1.0089531266022078e-08
1829,4.458051439115707e-08,1.628903500972001e-08
1830,1.1271782551780518e-07,4.174734336004349e-09
1831,1.1849316616796557e-07,9.35472388441383e-09
1832,1.068867558906561e-07,4.058990921151917e-09
1833,1.8302133453218516e-07,4.6334514003376626e-09
1834,1.306834287451153e-07,8.401077833397608e-09
1835,1.384045091867847e-07,3.1764969321557146e-08
1836,1.2769425195013895e-07,1.0753200441193655e-08
1837,7.51452237102157e-08,2.2961040069269245e-08
1838,8.521418637386091e-08,8.205810475558906e-09
1839,8.669429307772702e-08,4.894032845648155e-09
1840,1.0955864837569607e-07,1.0382592685598269e-07
1841,1.0658110793926312e-07,3.2102742686390684e-09
1842,1.1202802641108178e-07,1.677066263638949e-08
1843,1.140033822899511e-07,1.2404513027863828e-08
1844,1.108689349216263e-07,8.232841963717874e-09
1845,1.060243287054341e-07,3.0133231299078744e-08
1846,7.025401460580838e-08,1.8148954561425512e-08
1847,8.035903054093296e-08,1.5640348571821505e-08
1848,8.608387447317511e-08,1.6894965315650268e-08
1849,1.868609524890985e-07,7.54147322368226e-09
1850,1.1744962868931452e-07,6.788996032014438e-09
1851,1.186696703125989e-07,1.3543821175687754e-08
1852,8.007971130652436e-08,1.1718981784980542e-08
1853,1.0212003753728993e-07,7.1663179834757784e-09
1854,1.184611526650059e-07,5.715230899649981e-09
1855,1.178140038859965e-07,7.960405667972736e-09
1856,1.340891978562908e-07,5.6949079896284616e-09
1857,1.581608892742281e-07,8.786716465536415e-09
1858,9.493731462084654e-08,1.1744822447923298e-08
1859,1.3799789400081863e-07,1.2221216483254693e-08
1860,1.4418129579141237e-07,6.865776031039772e-09
1861,1.348765561459686e-07,1.8392258882560242e-08
1862,1.2560001805272947e-07,1.3553959149481543e-08
1863,1.7581064803984248e-07,8.490855685217014e-09
1864,1.3185502290014028e-07,1.8219966646526586e-08
1865,1.3743985505243472e-07,1.3179164537469035e-08
1866,1.4791463520680281e-07,1.119090975443271e-08
1867,9.462982575314527e-08,1.164674756637396e-08
1868,1.0274938044840809e-07,2.469937032678615e-09
1869,1.3234336893042098e-07,1.0743742229202269e-08
1870,8.88777544894026e-08,6.880858549607183e-09
1871,1.2426777296070668e-07,6.372706140567175e-09
1872,1.1368998076299874e-07,1.6327815877126284e-08
1873,1.2510749103356034e-07,7.183205197325293e-09
1874,9.380136356540447e-08,4.182226454041427e-09
1875,1.0985331994062264e-07,1.0870901623327711e-08
1876,7.497058351901842e-08,9.673623679873344e-09
1877,9.648312992993624e-08,8.040260790487253e-09
1878,9.602150763399209e-08,6.0390887290928674e-09
1879,1.0324759713853382e-07,1.0996785371197859e-08
1880,1.245062188903745e-07,8.343200130767059e-09
1881,1.3178039104388972e-07,9.761510488814906e-09
1882,1.3510431795538125e-07,7.320923867126794e-09
1883,1.1880356964866223e-07,1.137480976076688e-08
1884,1.1486952899986136e-07,9.902545450302114e-09
1885,1.1602144323052954e-07,7.734762830224895e-09
1886,9.68019551184085e-08,7.744156427236248e-09
1887,9.271072876071429e-08,7.181817196499907e-09
1888,1.2173980490359781e-07,1.0779045211961602e-08
1889,1.0274824385758663e-07,5.012109283164534e-09
1890,1.1470176214389838e-07,8.520702476921826e-09
1891,1.2111018143912133e-07,7.649064048820264e-09
1892,1.1784803533032573e-07,1.0656471038927862e-08
1893,1.0715644643832789e-07,6.158416554491453e-09
