year,six_DET airs_NOUN,six_DET cerfs_NOUN
1800,0.0,0.0
1801,7.143547975374531e-09,0.0
1802,2.2378401354217203e-09,0.0
1803,1.1702034896643454e-08,0.0
1804,4.943701892301533e-09,0.0
1805,5.685755422035754e-09,8.528632911009026e-09
1806,2.305335211616466e-08,8.645007376628655e-09
1807,5.693910232196231e-09,0.0
1808,2.2660739951163578e-09,9.064295980465431e-09
1809,2.259030518203531e-09,0.0
1810,2.574139479349924e-08,0.0
1811,1.0028306629550343e-08,0.0
1812,2.6672082320544632e-09,0.0
1813,4.026038280535715e-08,0.0
1814,5.349350962191579e-08,9.440030979135372e-09
1815,0.0,0.0
1816,6.952811659743929e-09,0.0
1817,1.556873407970727e-09,0.0
1818,2.384235475716423e-09,0.0
1819,2.070210003424222e-09,0.0
1820,2.4919611263385377e-08,2.3732962262101864e-08
1821,9.86148829262845e-10,9.86148829262845e-10
1822,3.107940926838637e-08,4.010246357211145e-09
1823,1.9765373782121287e-09,2.9648061783404955e-09
1824,0.0,0.0
1825,3.522177216552791e-09,0.0
1826,1.7615968683770689e-09,6.1655889282974385e-09
1827,6.452091305675367e-09,5.530363722527909e-09
1828,3.6689205562545624e-09,0.0
1829,1.714635211591542e-09,5.143905745796928e-09
1830,1.5655253093882493e-08,0.0
1831,1.5591206103948707e-09,0.0
1832,1.3529969367098715e-09,0.0
1833,3.4750886612755494e-09,0.0
1834,1.8669061851994684e-09,9.334530925997342e-10
1835,1.663879345414898e-08,0.0
1836,5.376600054063374e-09,6.720750067579218e-10
1837,1.1132625932219753e-08,2.2265250976261086e-08
1838,1.2624323808552163e-09,0.0
1839,2.7266753299670654e-08,6.9914751765765e-10
1840,3.184844388215424e-08,6.3696887764308485e-09
1841,3.2102742686390684e-09,1.2841097074556274e-09
1842,8.720744570922534e-09,2.0124795163667386e-09
1843,4.7255288571079745e-09,5.906911071384968e-10
1844,9.879410178825765e-09,1.097712254427563e-09
1845,0.0,0.0
1846,5.854501328173001e-10,3.5127007969038004e-09
1847,4.853901280910122e-09,0.0
1848,0.0,8.84974404868899e-09
1849,5.02764896381791e-09,0.0
1850,2.0366988096043315e-09,6.1100964288129944e-09
1851,1.2898877521649865e-09,6.449438760824933e-10
1852,7.161599979710331e-09,6.510545436100301e-10
1853,5.3747388761848924e-09,5.971931837933653e-09
1854,3.63696517347023e-09,3.117398783558656e-09
1855,2.1227748447927297e-09,3.714855978387277e-09
1856,1.0354378465748937e-09,6.73034605824796e-09
1857,1.025116930231107e-08,3.905207268672939e-09
1858,8.319249067412215e-09,0.0
1859,1.5276520048956854e-09,1.018434669930457e-09
1860,6.408057418028079e-09,0.0
1861,5.6591566433006335e-09,0.0
1862,4.51798634615308e-09,0.0
1863,1.598278676073761e-08,9.989241656072068e-10
1864,9.589456118064277e-09,2.3973640850272204e-09
1865,2.3534221793575227e-09,0.0
1866,3.8924903300596725e-09,3.4059290943133647e-09
1867,6.308654931785895e-09,9.7056229719783e-10
1868,1.4819622196071691e-09,7.409810987013543e-09
1869,2.4417595723136287e-09,0.0
1870,1.0894693147633916e-08,5.160643912205387e-09
1871,0.0,2.1242354542039266e-09
1872,3.628403577593531e-09,1.2094678591978436e-09
1873,2.3944017879529156e-09,2.3944017879529156e-09
1874,5.974609140757536e-10,0.0
1875,1.888104017577774e-08,0.0
1876,3.627608879952504e-09,0.0
1877,8.658742389755503e-09,6.184816214727107e-09
1878,1.9325083977506097e-08,0.0
1879,6.10932526790009e-10,0.0
1880,6.417846254436199e-09,1.9253538763308597e-09
1881,5.5780060570498335e-09,0.0
1882,1.3310770263785798e-09,6.655385131892899e-10
1883,1.0742876255243061e-08,0.0
1884,1.386356363042296e-08,0.0
1885,6.445635691854079e-10,0.0
1886,5.162771099520569e-09,0.0
1887,9.140494583448344e-09,1.9586774424595887e-09
1888,1.268122939990235e-09,0.0
1889,5.0121093386756854e-09,1.2530273485467092e-09
