year,quelles_DET ombres_NOUN,quelles_DET sombres_ADJ
1800,2.2009151834367913e-08,0.0
1801,2.3811825844433088e-09,7.143547975374531e-09
1802,2.2378401354217203e-09,0.0
1803,0.0,0.0
1804,0.0,0.0
1805,0.0,0.0
1806,0.0,0.0
1807,2.8469551160981155e-09,5.693910232196231e-09
1808,1.8128591960930862e-08,0.0
1809,0.0,0.0
1810,0.0,0.0
1811,2.0056614147279106e-08,0.0
1812,0.0,5.3344164641089264e-09
1813,0.0,0.0
1814,0.0,6.293354282149721e-09
1815,2.966945977789237e-08,0.0
1816,9.270415546325239e-09,0.0
1817,3.113746815941454e-09,0.0
1818,9.536941902865692e-09,1.5497530370112145e-08
1819,9.315945348475907e-09,0.0
1820,0.0,1.1866481131050932e-09
1821,0.0,1.97229765852569e-09
1822,1.0025615893027862e-08,0.0
1823,9.882686891060644e-10,9.882686891060644e-09
1824,1.0947446504872005e-08,8.421112696055388e-10
1825,6.163810128967384e-09,4.4027217427355936e-09
1826,6.1655889282974385e-09,7.046387362485973e-09
1827,2.7651819167751057e-09,4.6086365279585095e-09
1828,1.1006761724274838e-08,3.668920500743411e-09
1829,4.286587973467704e-09,0.0
1830,3.1310507520032616e-09,9.393152256009785e-09
1831,3.1182412207897414e-09,0.0
1832,9.470978667991403e-09,2.705993873419743e-09
1833,5.791814139399776e-09,2.3167257001688313e-09
1834,1.9602515166639023e-08,9.334530703952737e-09
1835,6.806779140333674e-09,1.5126175867408165e-09
1836,1.3441500135158435e-09,1.0753200108126748e-08
1837,1.3915781860163179e-09,2.0873671680021744e-09
1838,5.049729523420865e-09,9.468243300503332e-09
1839,1.398295079724221e-08,6.9914751765765e-10
1840,6.369688665408546e-10,2.5478754661634184e-09
1841,1.7977536792557203e-08,3.852329122366882e-09
1842,2.683306021822318e-09,2.0124795163667386e-09
1843,8.860366662588604e-09,1.6539351221922516e-08
1844,1.1525978393933656e-08,1.097712254427563e-09
1845,6.696273535666819e-09,5.022205318283568e-09
1846,4.6836010625384006e-09,3.5127007969038004e-09
1847,5.9325460100012606e-09,2.1572894581822766e-09
1848,4.02261068899179e-09,5.63165514222419e-09
1849,5.865590679832167e-09,0.0
1850,6.1100964288129944e-09,4.752297222410107e-09
1851,4.514607354622058e-09,6.449438760824933e-10
1852,1.1718981562935937e-08,3.2552727180501506e-09
1853,9.555090940693844e-09,4.180352064508952e-09
1854,6.234797567117312e-09,2.0782657816909023e-09
1855,1.3798036491152743e-08,1.5920811335945473e-09
1856,7.248064815001953e-09,1.5531567143511893e-09
1857,2.050233871564444e-08,9.763018171682347e-10
1858,4.061751024408977e-08,4.893676019968041e-10
1859,9.675129142294736e-09,5.092173349652285e-10
1860,1.5562425570436744e-08,9.154367819341758e-10
1861,1.226150558863992e-08,9.431927461278633e-10
1862,1.8975542914745347e-08,3.162590411776023e-09
1863,4.994620828036034e-09,4.994620828036034e-10
1864,2.6371004047121005e-08,8.6305100843731e-09
1865,9.413688495385486e-09,2.353422234868674e-09
1866,1.1677470768134413e-08,2.4328064562872953e-09
1867,1.0190904120577216e-08,6.308654931785895e-09
1868,1.0373735648272486e-08,1.0373735648272486e-08
1869,1.4162206074530559e-08,9.278686596836394e-09
1870,3.325748387794647e-08,3.4404292748035914e-09
1871,5.310588635509816e-09,2.1242354542039266e-09
1872,1.2094678591978436e-08,4.233137618214755e-09
