year,longues_ADJ herbes_NOUN
1800,5.65949598296811e-08
1801,3.333655484993869e-08
1802,3.8043282302169246e-08
1803,8.581492494386112e-08
1804,5.9324420931261557e-08
1805,1.1371510844071508e-08
1806,4.610670600868616e-08
1807,1.4234775136401367e-08
1808,1.1330369531492579e-08
1809,7.90660692473466e-08
1810,6.552355102940055e-08
1811,5.0141535368197765e-09
1812,2.6672083208723052e-08
1813,4.3136125782439194e-08
1814,3.1466771410748606e-09
1815,3.236668177919455e-08
1816,6.025770460382773e-08
1817,1.0898113522728181e-08
1818,3.337929754820834e-08
1819,2.2772310259711048e-08
1820,3.9159388620646496e-08
1821,1.2819934447350079e-08
1822,8.421517350143404e-08
1823,7.115534828017189e-08
1824,2.6947560627377243e-08
1825,4.138558296062911e-08
1826,1.585437132689549e-07
1827,7.465990847776993e-08
1828,4.586150481600271e-08
1829,5.3153691226270894e-08
1830,5.5315229730013016e-08
1831,3.585977381703742e-08
1832,1.1229874274931717e-07
1833,1.8649642186119308e-07
1834,1.4281832250162552e-07
1835,1.429423548415798e-07
1836,1.1022029866580851e-07
1837,1.0436836106464398e-07
1838,7.32210807541378e-08
1839,9.57832071435405e-08
1840,8.790170369366024e-08
1841,8.410918894696806e-08
1842,1.40202743637019e-07
1843,6.615740488769006e-08
1844,1.0812465944809446e-07
1845,9.486387853030465e-08
1846,7.259581735752363e-08
1847,6.094342808182773e-08
1848,1.0458788324285706e-07
1849,8.211826951765033e-08
1850,7.400005586077896e-08
1851,7.803821233665076e-08
1852,8.789236005668499e-08
1853,9.43565225952625e-08
1854,5.6632742939655145e-08
1855,1.0242388270853553e-07
1856,8.024642994541864e-08
1857,8.737901424638039e-08
1858,6.557525722428181e-08
1859,1.059172092254812e-07
1860,1.1488731388453743e-07
1861,8.913171711810719e-08
1862,6.189641510445654e-08
1863,8.390963301962984e-08
1864,5.993410212568051e-08
1865,4.23615986733239e-08
1866,5.2548617901493344e-08
1867,5.920430012906763e-08
1868,6.174842326345242e-08
1869,1.0548401263577034e-07
1870,6.364793847524197e-08
1871,9.983906323896008e-08
1872,4.172663992108028e-08
1873,6.644464889404844e-08
1874,6.034355237716227e-08
1875,6.579756473001908e-08
1876,5.2600327649088285e-08
1877,9.029831460338755e-08
1878,6.582606459915041e-08
1879,4.7041805117942204e-08
1880,3.786529134686134e-08
1881,5.647731171620762e-08
1882,4.3925542314582344e-08
1883,6.319339007632152e-08
1884,4.2250860587955685e-08
1885,7.090199005688191e-08
1886,6.905206362262106e-08
1887,6.137189245691843e-08
1888,4.9456794215529953e-08
1889,4.1976417008982025e-08
1890,6.161123167203186e-08
1891,3.505821055682645e-08
1892,3.63573704476039e-08
1893,7.143763269823467e-08
1894,5.1042469806361623e-08
1895,5.958428417329742e-08
1896,5.071444775239797e-08
1897,4.1952336715667116e-08
1898,4.5266837389590364e-08
1899,6.743645997175918e-08
1900,6.904100757765264e-08
1901,5.588739071527016e-08
1902,3.093478895266344e-08
1903,5.508224631967096e-08
1904,4.1384613069794796e-08
1905,5.470404573770793e-08
1906,4.73264982758792e-08
1907,3.754275823553144e-08
1908,3.8799974788616964e-08
1909,6.271121577583472e-08
1910,9.40570501484217e-08
1911,4.4691141454222816e-08
1912,4.844761747335724e-08
1913,5.46207949980726e-08
1914,2.343860217024485e-08
1915,3.7698438148936475e-08
1916,3.29623865980011e-08
1917,4.8252267959014716e-08
1918,5.6283244731503146e-08
1919,5.4326307008523145e-08
1920,5.1491177543994127e-08
1921,4.695103328344885e-08
1922,4.426761179843197e-08
1923,6.475728042687479e-08
1924,3.738571052736006e-08
1925,6.708888378170741e-08
1926,4.904300965336006e-08
1927,6.689534615134107e-08
1928,2.2852082892654835e-08
1929,4.3447585085232276e-08
1930,6.407198327451624e-08
1931,5.360517718600022e-08
1932,3.507051715700982e-08
1933,4.244144946596862e-08
1934,3.714289675826876e-08
1935,5.0266791618014395e-08
1936,5.456121598967911e-08
1937,3.5255130370615007e-08
1938,5.575042294481136e-08
1939,3.6705721129237645e-08
1940,2.028626333583361e-08
1941,3.5418032950929046e-08
1942,5.461581054078124e-08
1943,9.290352664947932e-08
1944,7.390327994016843e-08
1945,3.921307367704685e-08
1946,4.037120149291695e-08
1947,3.814678706248742e-08
1948,5.0010683594337024e-08
1949,4.22131343214005e-08
1950,5.211327192000681e-08
1951,7.143139413301469e-08
1952,4.639713679921442e-08
1953,4.5250075686453783e-08
1954,6.352148318455875e-08
1955,4.035811329572425e-08
1956,4.7966278060584955e-08
1957,3.975766915687018e-08
1958,3.22617488279775e-08
1959,5.03798602835559e-08
1960,3.5988332314218496e-08
1961,3.265634873628187e-08
1962,2.4099433559854333e-08
1963,2.5217607557692645e-08
1964,5.597251018230054e-08
1965,3.502107759345563e-08
1966,4.3204781974282014e-08
1967,4.338695447358987e-08
1968,4.1321026600371624e-08
1969,3.905911682977603e-08
1970,3.632992928714884e-08
1971,4.059333846839763e-08
1972,4.360624927812751e-08
1973,3.9695066789136035e-08
1974,4.106667361725158e-08
1975,2.7415104852934746e-08
1976,2.399681342524218e-08
1977,2.11564152863275e-08
1978,3.6237608469491533e-08
1979,3.2185852205657284e-08
1980,3.2973872521324665e-08
1981,2.0874313833019187e-08
1982,2.2347007799794483e-08
1983,2.273513821648976e-08
1984,3.653375202361531e-08
1985,3.128090142467954e-08
1986,4.1961399688261736e-08
1987,3.727598141267663e-08
1988,2.0987938498251424e-08
1989,2.9635859988275115e-08
1990,2.2884334427430986e-08
1991,1.875668864670388e-08
1992,2.4243753671271406e-08
1993,1.994114740000441e-08
1994,2.320967773528082e-08
1995,2.76544991351102e-08
1996,2.2419987644184403e-08
1997,1.91795770376757e-08
1998,2.8131962537258914e-08
1999,2.376504681933511e-08
2000,2.385736941334926e-08
2001,2.8039755406439326e-08
2002,2.8477940006155222e-08
2003,2.1251306492331423e-08
2004,2.7309706496225772e-08
2005,3.0625496805214425e-08
2006,3.088417344088157e-08
2007,2.915970043204652e-08
2008,3.065356679599063e-08
2009,3.862236042095901e-08
2010,5.62131354797657e-08
2011,4.5887663446819715e-08
2012,6.468080471222493e-08
2013,8.227918613101792e-08
2014,7.773947885425514e-08
2015,7.78017934521813e-08
2016,9.196750028195311e-08
2017,5.8362182642213156e-08
2018,8.493025660527564e-08
2019,7.933572021556756e-08
