year,quelques_DET hommes_NOUN,quelques_DET sommes_NOUN
1800,6.8259810745985305e-06,1.6978488304175698e-07
1801,5.345755027974519e-06,2.762171789072454e-07
1802,4.623377662937855e-06,1.3650824826072494e-07
1803,4.4175181983519e-06,2.5354410126965377e-07
1804,5.4158253988134675e-06,1.878606781247072e-07
1805,4.599776275426848e-06,1.5635826855486812e-07
1806,4.2706334681952285e-06,2.103618417237385e-07
1807,4.7544149310851935e-06,3.501754783918898e-07
1808,3.621186181135272e-06,2.900574713748938e-07
1809,4.012038232303894e-06,2.710836497499258e-07
1810,4.347955552930216e-06,2.69114565298878e-07
1811,2.7903764703296474e-06,2.933279859007598e-07
1812,3.5607230870482454e-06,2.3471432086807908e-07
1813,4.805364170579196e-06,1.6391726842535093e-07
1814,7.4418913413865084e-06,2.234140765722259e-07
1815,8.639206896532414e-06,1.3216394734172354e-07
1816,5.956242119964372e-06,3.059237041469487e-07
1817,6.235278135591216e-06,1.9772291826036792e-07
1818,7.618824440669414e-06,2.443841253807477e-07
1819,6.746814563030057e-06,2.8672407559326984e-07
1820,8.186685420241702e-06,2.1122335791545765e-07
1821,7.0489916197402636e-06,2.623155808123556e-07
1822,6.022387395887563e-06,2.977607920229275e-07
1823,7.96050426288275e-06,2.3026660755931516e-07
1824,7.42489498861687e-06,2.11369926006455e-07
1825,6.6877341851068195e-06,3.152348710955266e-07
1826,5.8634751098907145e-06,4.826775352739787e-07
1827,6.598645938993286e-06,4.000296485173749e-07
1828,6.188551708419254e-06,2.8067241442109037e-07
1829,6.212123537352454e-06,3.4292704431670984e-07
1830,6.356033054544241e-06,2.0038724812820874e-07
1831,7.3169531447092595e-06,1.0913844561422081e-07
1832,6.48491419497077e-06,2.3677445959435772e-07
1833,6.487990447112679e-06,2.3630602719038052e-07
1834,6.8132742967463855e-06,2.314963722938046e-07
1835,6.148790617999111e-06,2.4731296832669614e-07
1836,6.1165545730546e-06,1.8280439917361946e-07
1837,6.832648921317741e-06,2.2126093313090678e-07
1838,6.124690514752729e-06,2.9540916557380115e-07
1839,6.378322723321617e-06,2.5169309925132666e-07
1840,7.146153905068786e-06,2.2039122593575655e-07
1841,6.316535689165903e-06,2.4783318153254186e-07
1842,6.643194922162365e-06,2.750388667926984e-07
1843,6.072895473607787e-06,2.2032777868830067e-07
1844,6.382098945323378e-06,1.4983772184118394e-07
1845,6.152201251552469e-06,1.7410311736743012e-07
1846,5.757902044933871e-06,1.9202764178771758e-07
1847,7.219369024369371e-06,3.316832577482387e-07
1848,6.496516675724706e-06,1.54468256352569e-07
1849,6.951562568247027e-06,2.0697154456961186e-07
