year,plusieurs_DET yeux_NOUN,plusieurs_DET cieux_NOUN
1800,9.432493897065797e-09,9.432493897065797e-09
1801,5.000483582762172e-08,2.3811825844433088e-09
1802,6.489736392722989e-08,8.951360541686881e-09
1803,1.170203560718619e-07,0.0
1804,4.69651695311768e-08,9.887403784603066e-09
1805,3.980028751016107e-08,0.0
1806,1.4408345627714425e-08,8.645007376628655e-09
1807,8.540865792383556e-09,0.0
1808,1.8128591960930862e-08,0.0
1809,8.810218732335784e-08,0.0
1810,4.212228077449254e-08,0.0
1811,9.777599307980722e-08,0.0
1812,1.600324850414836e-08,0.0
1813,8.627224934443234e-09,0.0
1814,3.1466771410748606e-09,0.0
1815,2.4275012222574333e-08,0.0
1816,1.0892738089296472e-07,2.3176038865813098e-09
1817,4.047870982848423e-08,0.0
1818,3.695564920747074e-08,2.384235475716423e-09
1819,5.072014452878193e-08,0.0
1820,1.4239777357261119e-08,0.0
1821,2.0709124859408234e-08,3.94459531705138e-09
1822,3.208197085768916e-08,0.0
1823,1.4824030003524058e-08,1.9765373782121287e-09
1824,1.6000114122505238e-08,0.0
1825,1.4969253392393966e-08,0.0
1826,3.082794364228647e-08,1.0569580766173203e-08
1827,1.843454577876713e-08,1.1060727445055818e-08
1828,8.255071293206129e-09,0.0
1829,4.1151244023485134e-08,1.714635211591542e-09
1830,1.3567886369969528e-08,0.0
1831,1.5591206548037917e-08,1.5591206103948707e-09
1832,3.923691060947476e-08,0.0
1833,3.4750886612755494e-09,2.3167257001688313e-09
1834,2.6136685704614138e-08,1.4001796166951408e-08
1835,3.7059130875150004e-08,8.31939672707449e-09
1836,2.2178475944656384e-08,2.016224964762614e-09
1837,4.5922079472404675e-08,9.74104708006962e-09
1838,2.6511079775914936e-08,2.019891809368346e-08
1839,1.8177836236255018e-08,8.38977065598101e-09
1840,4.012903714878391e-08,1.9746034141121527e-08
1841,1.926164472365599e-08,6.420548537278137e-09
1842,4.159124245006751e-08,4.695785538189057e-09
1843,1.6539351332944818e-08,8.269675610961258e-09
1844,4.55550577260766e-08,6.586273748609983e-09
1845,3.6829504446167505e-08,1.1718478631905782e-08
1846,2.8101606375230404e-08,5.269050973311096e-09
1847,2.1572894581822766e-08,4.853901280910122e-09
