year,sois_VERB en_PRON,sois_VERB sans_ADP
1800,6.288328968651058e-09,3.144164395507687e-08
1801,1.1905912700171939e-08,5.2386017301842e-08
1802,2.2378401354217203e-09,3.3567602031325805e-08
1803,1.950339223455444e-09,8.191424427650418e-08
1804,9.887403784603066e-09,6.921182915675672e-08
1805,2.842877711017877e-09,5.401467717547348e-08
1806,1.729001475325731e-08,4.610670600868616e-08
1807,0.0,2.8469550272802735e-08
1808,0.0,6.118399653587403e-08
1809,9.036122072814123e-09,6.325285539787728e-08
1810,1.1700633351097167e-08,5.8503168531842675e-08
1811,7.521229861140455e-09,4.763445815569867e-08
1812,0.0,4.5342538612658245e-08
1813,8.627225156487839e-09,4.888760685162197e-08
1814,2.8320094713762956e-08,5.664018942752591e-08
1815,1.0788894222457657e-08,2.6972236000233352e-08
1816,2.3176038865813098e-09,4.4034472068688046e-08
1817,1.556873407970727e-09,3.7364962679475866e-08
1818,9.536941902865692e-09,4.2916237674717195e-08
1819,1.449147024601416e-08,6.93520334493769e-08
1820,7.119888678630559e-09,5.814575843032799e-08
1821,2.1695274909916407e-08,8.480879643002481e-08
1822,1.303330066093622e-08,8.72228582693424e-08
1823,6.917880934764753e-09,7.115534828017189e-08
1824,1.1789557774477544e-08,1.0526390781251393e-07
1825,3.522177216552791e-09,6.339919167430708e-08
1826,1.7615968683770689e-09,5.372870504061211e-08
1827,4.608636583469661e-09,3.96342727526644e-08
1828,1.8344602503717056e-09,6.695779575238703e-08
1829,8.57317605795771e-10,4.200856196234781e-08
1830,4.174734336004349e-09,4.0703660886265425e-08
1831,1.5591206103948707e-09,3.1182413096075834e-08
1832,4.058990921151917e-09,5.953186388296672e-08
1833,4.6334514003376626e-09,6.486831694019202e-08
1834,4.667265685043276e-09,8.401077877806529e-08
1835,1.2100940693926532e-08,6.655517381659593e-08
1836,1.68018754465038e-08,6.451919887240365e-08
1837,8.349468672008697e-09,3.6876823372722356e-08
1838,2.1461350030449466e-08,5.491580878924651e-08
1839,6.9914749545318955e-09,8.739343826391632e-08
1840,4.458782232319436e-09,2.7389662093924017e-08
1841,1.2841097074556274e-09,5.521671653241356e-08
1842,1.341653010911159e-09,4.695785449371215e-08
1843,5.906910960362666e-09,5.6706348061652534e-08
1844,9.879410178825765e-09,2.9089374464774664e-08
1845,3.9061593959388574e-09,6.082448322786149e-08
1846,5.854501328173001e-09,5.678866443759034e-08
1847,4.314578916364553e-09,3.3977308078192436e-08
1848,3.218088684420195e-09,4.34441957963827e-08
1849,8.379414939696517e-10,3.4355601030711114e-08
1850,3.394498016007219e-09,2.987158254086353e-08
1851,1.6768540334055615e-08,4.063146263888484e-08
1852,9.114764054629632e-09,4.296959943417278e-08
1853,6.569124799682413e-09,5.852493245583901e-08
1854,3.63696517347023e-09,5.7152309551611324e-08
1855,5.837630823180007e-09,6.315255518529739e-08
1856,7.248064815001953e-09,4.970101485923806e-08
1857,5.857811125054013e-09,7.859229356199648e-08
1858,4.404308473482388e-09,7.878818308881819e-08
1859,6.619825576592575e-09,7.994712092340706e-08
1860,1.1900677776566226e-08,6.362285631666964e-08
1861,6.6023493339173456e-09,6.130753149591328e-08
1862,1.536115412648087e-08,5.602302977081308e-08
1863,3.995696662428827e-09,9.389886912458678e-08
1864,5.753673537611803e-09,6.616724590458034e-08
1865,5.177528628053096e-09,5.6482132748669756e-08
1866,7.298419202328432e-09,5.838735361862746e-08
1867,2.91168689159349e-09,5.871901720411188e-08
1868,2.9639244392143382e-09,6.174842326345242e-08
1869,6.348574999037737e-09,4.981189505315342e-08
1870,2.2936195165357276e-09,6.880858904878551e-08
1871,1.0621177271019633e-09,6.903765381593985e-08
1872,1.2094678591978436e-09,5.926392532273894e-08
1873,4.190203295451056e-09,5.028243776905583e-08
1874,9.559374625212058e-09,6.034355237716227e-08
1875,8.010138330405425e-09,4.3483606049221635e-08
1876,3.627608879952504e-09,5.985554452081487e-08
1877,9.27722432209066e-09,8.287653230354408e-08
1878,6.039088673581716e-10,4.9520526346213956e-08
1879,1.588424503040642e-08,4.7041805117942204e-08
1880,3.8507077526617195e-09,5.904418642899145e-08
1881,7.669758161910067e-09,4.322954794133693e-08
1882,7.320923423037584e-09,9.650308641084848e-08
1883,6.951272890631799e-09,5.624211496524367e-08
1884,5.281357573494461e-09,4.093052297093891e-08
1885,7.090199094506033e-09,5.349877696403382e-08
1886,5.162771099520569e-09,3.87207848007165e-08
1887,9.793386546164129e-09,6.137189245691843e-08
1888,8.876860135842435e-09,3.360525724360741e-08
1889,9.397704836544563e-09,4.009687515349469e-08
1890,3.9326319978272295e-09,4.260351360585446e-08
1891,6.3742202627281586e-09,6.119250883784844e-08
1892,4.387958441043338e-09,3.949162774574688e-08
1893,8.621783287310336e-09,3.202376674948937e-08
1894,3.150769645188234e-09,3.3398158905129094e-08
1895,0.0,4.995450098022047e-08
1896,4.1279202278587945e-09,3.066455178668548e-08
1897,1.7480140668268973e-09,5.7684463428131494e-08
1898,2.8291773368493978e-09,5.149102833001962e-08
1899,3.3165470370022376e-09,4.0351324059884064e-08
1900,1.038210628578895e-09,5.813979697677496e-08
1901,5.588738916095792e-10,4.135666742399735e-08
