year,ses_DET antennes_NOUN,ses_DET centaines_NOUN
1800,1.930516987158626e-06,0.0
1801,1.0358144066913155e-06,9.524730337773235e-09
1802,9.264657876428828e-07,2.9091921760482364e-08
1803,2.917707547567261e-06,0.0
1804,4.004398590495839e-07,4.449331569844617e-08
1805,3.980028893124654e-07,5.685755422035754e-09
1806,1.930718269704812e-07,2.881669125542885e-08
1807,1.594294882778513e-07,8.540865348294346e-09
1808,5.733167114385651e-07,0.0
1809,3.275594266938242e-07,2.259030518203531e-09
1810,5.288686306670343e-07,7.020380277111826e-09
1811,1.3036799018095735e-07,2.5070767684098882e-09
1812,5.3344165529267684e-08,2.6672082320544632e-09
1813,4.3136124450171565e-08,0.0
1814,1.7306724942045548e-07,0.0
1815,1.429528460050733e-07,0.0
1816,1.406785571589353e-06,0.0
1817,1.5459753512914176e-06,0.0
1818,9.83497159268154e-07,4.768470951432846e-09
1819,2.856889871338808e-07,1.035105001712111e-09
1820,1.590108436033688e-07,4.746592452420373e-09
1821,1.3510239149638892e-07,0.0
1822,2.0853281057497952e-07,2.0051231786055723e-09
1823,2.79680033798968e-07,0.0
1824,1.6000113856051712e-07,2.5263338088166165e-09
1825,3.143543256811654e-07,0.0
1826,1.5766291383556563e-07,1.6735169694470642e-08
1827,1.9264101069893513e-07,0.0
1828,2.4948658960965986e-07,1.8344602503717056e-09
1829,4.3037344710228354e-07,8.57317605795771e-10
1830,9.873246682445824e-07,2.922314124020886e-08
1831,1.6526679047501602e-07,0.0
1832,7.279123650505426e-07,5.411987746839486e-09
1833,2.4557293087923426e-07,9.266902800675325e-09
1834,4.349891433719222e-07,1.213489042584115e-08
1835,4.121882781760178e-07,6.806779140333674e-09
1836,3.2326807541949165e-07,8.736974699274924e-09
1837,3.124093090889346e-07,2.2265250976261086e-08
1838,3.686302658678642e-07,4.418513555037862e-09
1839,2.8734963386511936e-07,1.2584655095793096e-08
1840,1.7771431082280742e-07,0.0
1841,1.9133234552271006e-07,3.852329122366882e-09
1842,2.3344762567489852e-07,2.0124795163667386e-09
1843,3.101128278615306e-07,1.8902115428431898e-08
1844,2.475341176477741e-07,1.097712254427563e-09
1845,3.085866087104705e-07,2.7901139176833567e-09
1846,2.7691792325867937e-07,2.3418005312692003e-09
1847,1.6503264443912258e-07,0.0
1848,3.145681581884219e-07,1.206783295515379e-08
1849,2.664654061845795e-07,5.027648741773305e-09
1850,2.4644054974487517e-07,1.3577992064028876e-08
1851,2.4185394842390906e-07,1.9993260380601896e-08
1852,5.846469655068631e-07,1.3021090872200602e-09
1853,2.926246605028382e-07,4.777545470346922e-09
1854,2.067874511624268e-07,9.871762796098693e-09
1855,1.7459822743148834e-07,1.0083180512765466e-08
1856,3.6654500057409223e-07,3.6240324075009767e-09
1857,5.340370705653186e-07,1.3180074809326925e-08
1858,2.784501540453732e-07,5.872411001917044e-09
1859,4.1246602755506956e-07,1.6804172275897145e-08
1860,6.61860795503344e-07,1.1442959468865865e-08
1861,3.5794166031166696e-07,5.659156698811785e-09
1862,2.2454391235271487e-07,5.421583626485926e-09
1863,6.777700445326218e-07,1.1487627737949424e-08
1864,2.7186106432708357e-07,4.794728170054441e-09
1865,2.1039594688687657e-07,1.1767110841276462e-08
1866,5.629514019389603e-07,7.784980660119345e-09
1867,5.158538485261488e-07,3.396968040192405e-09
1868,3.680206148715115e-07,1.0373735648272486e-08
1869,4.785848890520583e-07,2.24641887314192e-08
1870,7.351050363979539e-07,2.0642576092910758e-08
1871,7.742838263880003e-07,2.3366589108064773e-08
1872,7.480558643635504e-07,1.1489944995446422e-08
1873,4.327881262256028e-07,1.556361151067165e-08
1874,8.394325785587853e-07,1.8521287614703397e-08
1875,8.204670045586226e-07,1.4303817685856757e-08
1876,5.453505451669116e-07,1.6324239737741664e-08
1877,4.174750678487271e-07,8.040260901509555e-09
1878,6.377277905755818e-07,8.4547240319921e-09
1879,2.8652734229694943e-07,2.3215436684154156e-08
1880,3.43996545915104e-07,1.7328185109022343e-08
1881,3.1934085087392816e-07,1.673401861523871e-08
1882,4.033163349959068e-07,1.5307385581309063e-08
1883,3.1343920880999576e-07,2.7805091562527195e-08
1884,3.2546365158481194e-07,2.7727128149024338e-08
1885,2.952101181286082e-07,1.4180398189012067e-08
1886,2.7749893583006724e-07,2.968593371122097e-08
1887,2.6442144829275094e-07,1.6322312390570914e-08
1888,2.2953025613503542e-07,1.1413106904001324e-08
1889,3.558597803099417e-07,1.8795409673089125e-08
1890,3.742554746111182e-07,2.0318598359381213e-08
1891,4.844407310855559e-07,3.250852387282066e-08
1892,2.7894880361145624e-07,7.710270466532165e-08
1893,2.91908947680497e-07,2.2170299374124625e-08
1894,2.0669048472754525e-07,1.1972924873759894e-08
1895,2.846804694200955e-07,3.611168564177092e-08
1896,2.6123837715275045e-07,9.199365536005644e-08
1897,2.8259559670118506e-07,1.981082675683865e-08
1898,2.6141600351081706e-07,1.867257104493092e-08
1899,3.172830069786414e-07,3.4823742112166656e-08
1900,2.6007175080167144e-07,2.8550791952852705e-08
1901,2.4534563980438406e-07,2.794369535763508e-08
1902,2.538616845626507e-07,1.6694965410124496e-08
