year,aurons_VERB eu_VERB,aurons_VERB su_VERB
1800,9.118077315406481e-08,9.432493897065797e-09
1801,8.572257570449437e-08,2.1430643926123594e-08
1802,8.727576528144709e-08,2.9091921760482364e-08
1803,2.145373123596528e-08,1.950339223455444e-09
1804,1.0628959046243835e-07,2.2246657849223084e-08
1805,4.8328921309348516e-08,0.0
1806,6.916005901302924e-08,2.881669125542885e-09
1807,1.7081731584767113e-08,1.9928686256776018e-08
1808,5.211970233176544e-08,2.2660739062985158e-08
1809,3.840352036377226e-08,1.129515236897305e-08
1810,3.2761775514700275e-08,0.0
1811,2.5070768572277302e-08,2.5070767684098882e-09
1812,6.13457871168066e-08,0.0
1813,5.751483289628823e-09,2.8757416448144113e-09
1814,1.1328037885505182e-07,9.440030979135372e-09
1815,1.8880564667256294e-08,0.0
1816,3.244645441213834e-08,4.6352077731626196e-09
1817,5.7604317760251433e-08,1.556873407970727e-09
1818,4.2916237674717195e-08,1.1921177378582115e-09
1819,4.243930362690662e-08,9.315945348475907e-09
1820,3.441279616822612e-08,5.933240565525466e-09
1821,5.226588939422072e-08,4.930744257336528e-09
1822,1.0326384369818697e-07,1.5038423839541792e-08
1823,4.644862983127496e-08,0.0
1824,3.03160057057994e-08,4.210556348027694e-09
1825,9.509878395874694e-08,1.8491430608946757e-08
1826,5.108631029315802e-08,2.642395191543301e-09
1827,6.452091128039683e-08,8.295545583791863e-09
1828,4.035812395386529e-08,0.0
1829,3.8579290873030914e-08,8.57317605795771e-10
1830,3.339787468803479e-08,3.1310507520032616e-09
1831,5.9246584527272717e-08,0.0
1832,4.329590197471589e-08,2.705993873419743e-09
1833,8.108539617524002e-09,2.3167257001688313e-09
1834,4.29388435918554e-08,4.667265685043276e-09
1835,3.100866052818674e-08,2.2689263801112247e-09
1836,6.72075017860152e-08,9.409050427677812e-09
1837,3.826840000442644e-08,1.87863058442872e-08
1838,2.840472923537618e-08,1.3255539776935166e-08
1839,3.216078425793967e-08,6.9914749545318955e-09
1840,3.9492068282243054e-08,3.1848443882154243e-09
1841,2.43980835534785e-08,1.926164472365599e-08
1842,3.890793820460203e-08,6.708265054555795e-10
1843,3.2488010504039266e-08,6.497602011990011e-09
1844,3.677336124496833e-08,6.037417232818143e-09
1845,3.627148004170522e-08,1.674068439427856e-09
1846,4.9177810268474786e-08,0.0
1847,5.2314270249098627e-08,3.775256551818984e-09
1848,4.103063133698015e-08,4.02261068899179e-09
1849,3.603148357456121e-08,1.005529792763582e-08
1850,1.1541293254424545e-08,1.0183494048021657e-08
1851,3.4826967976187007e-08,1.9348316282474798e-09
1852,3.7761164861649377e-08,7.812654523320361e-09
1853,3.762317035693741e-08,1.7915795513800958e-09
1854,3.4810952342922974e-08,1.2469595134234623e-08
1855,4.351688431825096e-08,8.491099379170919e-09
1856,3.727576114442854e-08,5.694908100650764e-09
1857,3.270611159678083e-08,7.322263684272912e-09
1858,4.942612719105455e-08,7.829881631948865e-09
1859,2.34239969643113e-08,2.036869339860914e-09
1860,3.249800428761773e-08,4.119465657481669e-09
1861,5.046081241744105e-08,2.357981809808507e-09
1862,5.783022416494532e-08,1.2650361647104091e-08
1863,5.4940830551686304e-08,5.9935452156878455e-09
1864,5.3221480555976086e-08,1.821996598039277e-08
1865,5.271665770578693e-08,7.0602665935837194e-09
1866,5.54679857600604e-08,4.379051787850585e-09
1867,3.688136729351754e-08,1.358787216076962e-08
1868,3.853101659956337e-08,8.397785578040384e-09
1869,3.711474505507795e-08,1.6115613732381462e-08
1870,7.0528798801206e-08,1.0321287824410774e-08
1871,6.478918379571041e-08,9.559059321873065e-09
1872,5.019291648977742e-08,3.628403577593531e-09
1873,4.968383748860106e-08,1.0774807712721213e-08
1874,5.675878611555163e-08,1.0754296120296658e-08
1875,3.661777370211894e-08,4.577221712764867e-09
1876,4.17175023414984e-08,6.650616057868319e-09
1877,2.4739264858908427e-08,4.9478527941460015e-09
1878,3.01954443671093e-08,6.039088784604019e-09
1879,4.459807456669296e-08,1.1607718342077078e-08
1880,5.0059199452334724e-08,9.626769603698904e-09
1881,5.508281120114589e-08,4.8807553554297556e-09
1882,4.6587697255517924e-08,3.9932310791357395e-09
1883,4.2971503688704615e-08,2.5277355764075082e-09
1884,5.677459569142229e-08,4.621187876807653e-09
