year,nos_DET orties_NOUN,nos_DET sorties_NOUN
1800,1.2576657937302116e-08,9.432493897065797e-09
1801,1.1905912700171939e-08,9.524730337773235e-09
1802,2.2378401354217203e-09,2.2378401354217203e-08
1803,0.0,0.0
1804,2.2246657849223084e-08,0.0
1805,0.0,0.0
1806,5.76333825108577e-09,1.729001475325731e-08
1807,0.0,2.8469551160981155e-09
1808,6.798221985349073e-09,2.039466551195801e-08
1809,0.0,0.0
1810,0.0,4.680253518074551e-09
1811,0.0,1.0028307073639553e-08
1812,0.0,2.6672082320544632e-09
1813,0.0,2.8757416448144113e-09
1814,0.0,0.0
1815,0.0,0.0
1816,6.489290882427667e-08,2.0858434979231788e-08
1817,0.0,0.0
1818,0.0,0.0
1819,1.4491469912947252e-08,5.175524897538253e-09
1820,0.0,9.493184904840746e-09
1821,1.4792232327920374e-08,9.86148829262845e-10
1822,0.0,1.303330066093622e-08
1823,0.0,6.9178810457870554e-09
1824,8.421112696055388e-10,3.03160057057994e-08
1825,0.0,1.8491430608946757e-08
1826,0.0,8.807984341885344e-10
1827,0.0,4.608636583469661e-09
1828,0.0,0.0
1829,1.3717081692732336e-08,0.0
1830,1.0436835395921662e-08,2.0873671680021744e-09
1831,4.677361609140007e-09,0.0
1832,0.0,0.0
1833,0.0,1.1583628500844156e-09
1834,9.334530925997342e-10,6.534171426153534e-09
1835,0.0,1.4369867074037757e-08
1836,0.0,4.704525213838906e-09
1837,3.478945576063097e-09,1.3915782304252389e-08
1838,0.0,1.7042836475411605e-08
1839,0.0,0.0
1840,0.0,2.5478754661634184e-09
1841,6.420548537278137e-10,1.8619591202195807e-08
1842,2.0124795163667386e-09,9.391571520467323e-09
1843,0.0,5.906910960362666e-09
1844,0.0,8.232842074740176e-09
1845,0.0,1.5624638138866942e-08
1846,3.5127007969038004e-09,2.2832555401919308e-08
1847,8.629157832729106e-09,1.1325769655456952e-08
1848,0.0,8.045221711050488e-10
1849,1.6758829879393033e-09,0.0
1850,4.073397619208663e-09,6.788996032014438e-10
1851,1.9348316282474798e-09,2.579775504329973e-09
1852,1.9531636308300904e-09,4.557382027314816e-09
1853,1.1943863675867306e-09,3.5831591027601917e-09
1854,3.117398783558656e-09,7.27393034694046e-09
1855,1.0613874223963649e-09,3.714855978387277e-09
1856,0.0,7.7657837382894e-09
1857,0.0,1.0251168913733011e-08
1858,4.893676019968041e-10,1.8106600663259087e-08
1859,1.1202780925145817e-08,4.582956014687056e-09
1860,9.154367819341758e-10,5.492620802627357e-09
1861,2.3579819208308095e-09,1.744906619194353e-08
1862,4.5179863183975044e-09,8.132375661773494e-09
1863,4.994620828036034e-10,1.3485475847119233e-08
1864,8.151037622639024e-09,1.342523781033833e-08
1865,3.765475486972036e-09,9.413688495385486e-09
1866,2.919367858567057e-09,1.2650593461671633e-08
1867,2.91168689159349e-09,1.2132028714972876e-08
1868,9.87974813071446e-10,1.0373735648272486e-08
1869,5.860222973552709e-09,8.790334682373668e-09
1870,4.587239033071455e-09,2.0642576092910758e-08
1871,5.3105884134652115e-09,7.859671091736686e-08
1872,4.8378714367913744e-09,4.777398032729252e-08
1873,1.1972008939764578e-09,1.0176207598799891e-08
1874,2.1508592240593316e-08,6.572069999322139e-09
1875,4.577221601742565e-09,1.3731664694205392e-08
1876,8.464420719889176e-09,4.232210137899983e-09
1877,5.566334393414252e-09,1.6080521914041412e-08
1878,4.227361960484899e-09,4.831270938865373e-09
1879,1.832797580370027e-09,1.4662381087049425e-08
1880,1.9253538763308597e-09,3.8507077526617195e-09
1881,0.0,7.669758161910067e-09
1882,5.324308105514319e-09,2.3959387362992857e-08
1883,1.2638677882037541e-09,1.4534479397809719e-08
1884,6.601696966868076e-10,9.242375753615306e-09
1885,2.5782542767416317e-09,1.546952527187173e-08
1886,7.098810428374236e-09,1.097088819790315e-08
