year,voudriez_VERB avoir_VERB,voudriez_VERB savoir_VERB
1800,1.5720821977538435e-08,2.829747991484055e-08
1801,3.5717739876872656e-08,1.1905912700171939e-08
1802,3.5805442166747525e-08,0.0
1803,1.950339267864365e-08,7.801356893821776e-09
1804,5.6852570651244605e-08,7.4155526164076946e-09
1805,3.4114531644036106e-08,0.0
1806,8.645007376628655e-09,5.76333825108577e-09
1807,1.7081731584767113e-08,1.7081731584767113e-08
1808,1.1330369531492579e-08,4.5321479902327155e-09
1809,3.388545621874073e-08,1.8072244145628247e-08
1810,4.44624070894406e-08,8.89248141788812e-08
1811,3.259199843341776e-08,4.011322829455821e-08
1812,4.267533171287141e-08,5.3344164641089264e-09
1813,1.4378708002027452e-08,5.751483289628823e-09
1814,1.5733386149463513e-08,9.440030979135372e-09
1815,2.1577788444915313e-08,1.0788894222457657e-08
1816,2.3176038865813098e-08,4.6352077731626196e-09
1817,3.89218364205135e-08,1.401186100480345e-08
1818,3.695565098382758e-08,5.2453181353939726e-08
1819,2.070209959015301e-08,2.173720581311045e-08
1820,3.20394981656591e-08,4.746592452420373e-08
1821,5.1279737789400315e-08,5.5224333550540905e-08
1822,4.8122956286533736e-08,5.213320264374488e-08
1823,5.138997138942614e-08,2.7671523739059012e-08
1824,5.136878655775945e-08,1.3473780313688621e-08
1825,2.4655239627691117e-08,1.2327619813845558e-08
1826,4.315912249808207e-08,2.025836387531399e-08
1827,4.424290978022327e-08,1.474763688946723e-08
1828,3.0268594741755805e-08,5.503380862137419e-09
1829,2.0575622983187714e-08,2.8291481157793896e-08
1830,2.817945699007396e-08,4.4878394334091354e-08
1831,1.870944643656003e-08,7.795603274018958e-09
1832,1.352996914505411e-08,2.1647950987357945e-08
1833,3.01174338801502e-08,5.3284690437749305e-08
1834,2.6136685704614138e-08,1.213489042584115e-08
1835,2.571449897459388e-08,5.142899794918776e-08
1836,3.427582484505365e-08,5.376600054063374e-09
1837,1.7394727436226276e-08,8.349468672008697e-09
1838,4.229148586887277e-08,1.9567702125300457e-08
1839,3.775396706373613e-08,1.3982949909063791e-08
1840,1.9746034141121527e-08,5.095750932326837e-09
1841,2.3113974734201292e-08,5.778493683550323e-09
1842,2.5491406319133603e-08,1.609983613093391e-08
1843,2.3036953678001737e-08,1.3585895075607368e-08
1844,3.787107161201675e-08,1.3172547497219966e-08
1845,2.0088821273134272e-08,1.1160455670733427e-08
1846,2.3418005312692003e-09,2.9272506640865004e-09
1847,1.4022381478184798e-08,1.294373674909366e-08
1848,1.689496542667257e-08,6.43617736884039e-09
1849,5.02764896381791e-09,2.513824481908955e-09
1850,2.2403686017469226e-08,6.1100964288129944e-09
1851,3.224719336003545e-08,8.384270167027807e-09
1852,1.9531636752390114e-08,2.278690836021724e-08
1853,2.6873692604567623e-08,1.970737528722566e-08
1854,4.052618152172727e-08,2.8056588163849483e-08
1855,2.2289135870323662e-08,1.0613874223963649e-08
1856,3.054541508618058e-08,1.5531567143511893e-08
1857,2.9777204701986193e-08,1.4156376515472857e-08
1858,4.257498176230001e-08,1.2234189661342043e-08
1859,1.1202780925145817e-08,2.036869339860914e-08
1860,2.5632230560290736e-08,2.3801355553132453e-08
1861,2.4994607272788016e-08,2.2165028923382124e-08
1862,2.891511208247266e-08,5.421583626485926e-09
1863,2.6471489888990618e-08,2.3974180862751382e-08
1864,2.7809422320501653e-08,1.582260189536555e-08
1865,2.023943146411966e-08,1.3179164426446732e-08
1866,5.060237384668653e-08,1.702964524952222e-08
1867,3.0572714138088486e-08,1.3102591012170706e-08
1868,2.5193358510477992e-08,1.5807597009143137e-08
1869,2.8324411260882698e-08,2.5882650689368347e-08
1870,1.9495765002375265e-08,6.307453670473251e-09
1871,6.37270636261178e-09,1.3807530230280918e-08
1872,1.0280476914203973e-08,1.69325495846806e-08
1873,2.1549615425442425e-08,1.1972009161809183e-08
1874,1.4936523129449597e-08,1.5533982988813477e-08
1875,2.2886109007913547e-08,6.865832347102696e-09
1876,4.897271921322499e-08,6.04601479992084e-09
1877,2.783167118991514e-08,1.36065949618569e-08
1878,1.5701630218245555e-08,1.2078177569208037e-08
1879,2.871382953628654e-08,6.109325489944695e-09
1880,2.5029599726167362e-08,3.8507077526617195e-09
1881,1.9523021421719022e-08,1.3945014920579979e-08
1882,2.5290463057103807e-08,1.4641846846075168e-08
1883,8.21514056781325e-09,1.3270612164717477e-08
1884,1.1222884843675729e-08,7.2618666635548834e-09
1885,1.2891271161663553e-08,9.023890079618013e-09
1886,1.097088819790315e-08,1.2261581083805595e-08
1887,2.154545164501087e-08,1.8933882017790893e-08
1888,3.1703073943845084e-08,1.775372027168487e-08
1889,9.397704836544563e-09,1.566284169030041e-08
1890,1.1142456735058204e-08,3.342736931699619e-08
1891,1.9760081571007504e-08,1.1473596295275001e-08
1892,1.6924984080901595e-08,1.56712811616444e-08
1893,1.2932674486876294e-08,1.2932674486876294e-08
1894,2.3315696040526745e-08,5.671385139294216e-09
1895,9.629783193076946e-09,7.22233739480771e-09
1896,3.066455178668548e-08,1.7691087705884456e-08
1897,1.7480140002135158e-08,3.204692333724779e-08
1898,1.810673566637888e-08,1.6975064909274806e-08
1899,1.2713430308508578e-08,1.0502398950507086e-08
1900,1.5054054003371675e-08,6.22926377147337e-09
1901,7.265360757457984e-09,1.676621685930968e-08
1902,1.6694965410124496e-08,1.0311596021495006e-08
1903,4.860198465905796e-09,2.430099144135056e-08
1904,1.0749250378694342e-08,3.7622376325430196e-09
1905,8.773290538499623e-09,7.741138396966107e-09
1906,5.144184633820714e-09,1.6461390472954918e-08
1907,3.599990305858114e-09,7.199980611716228e-09
1908,1.1787333775714615e-08,1.3751889405000384e-08
1909,1.1001967337165297e-08,1.2102163715610459e-08
1910,5.34415089958884e-09,1.4963621453034648e-08
1911,9.576673676292558e-09,1.2236860413850081e-08
1912,1.7712032729377825e-08,7.293189607793238e-09
1913,1.96210621083992e-08,1.0605979205990934e-08
1914,1.2054139020278853e-08,2.1429579888376793e-08
1915,0.0,1.0602685840410686e-08
1916,9.888715624128963e-09,2.7468654906215306e-08
1917,1.6449636319748606e-08,1.4256351654751143e-08
1918,3.44591288836682e-09,9.189101035644853e-09
1919,4.603924352863942e-09,1.1049418269237776e-08
1920,5.300562211374427e-09,1.590168707821249e-08
1921,1.817459427400081e-08,1.5145495524393482e-08
1922,1.696925089333945e-08,1.8444838545406128e-08
1923,1.4862327368803108e-08,8.492758496458919e-09
1924,1.0313299547703991e-08,6.445812328337297e-09
1925,7.698724324711748e-09,5.499089184013428e-09
1926,3.343841648018042e-09,1.114613823460786e-08
1927,1.6723836537835268e-08,1.5608915049369898e-08
1928,9.14083297942625e-09,1.5996457491951332e-08
1929,1.4482528065684619e-08,5.570202965543558e-09
1930,9.453243521306831e-09,2.3107928015519974e-08
1931,9.124285327288817e-09,5.7026783295555106e-09
1932,1.53433514782364e-08,9.863582839386709e-09
1933,1.4911860191091364e-08,4.588264879146209e-09
1934,3.5944740517379614e-09,9.585264137967897e-09
1935,2.2739740757060645e-08,5.98414207075848e-09
1936,8.487299751891442e-09,7.274828739411987e-09
1937,1.1332006444320086e-08,8.813782592653752e-09
1938,6.482607339819424e-09,1.9447821131279852e-08
1939,1.3764645423464117e-08,1.2235240376412548e-08
1940,7.607348528892999e-09,2.5357829169792012e-09
1941,1.7709016475464523e-08,2.3612020783048138e-08
1942,1.517105907566929e-08,3.034211770724937e-09
1943,0.0,1.7419411690866582e-08
1944,9.639558484764166e-09,9.639558484764166e-09
1945,6.535512131478072e-09,1.3071024262956144e-08
1946,6.960552134671616e-09,1.1136883415474585e-08
1947,1.0728784083369192e-08,1.4305045148432782e-08
1948,6.523132700664291e-09,1.7395020535104777e-08
1949,3.9268033269479474e-09,1.668891336237266e-08
1950,6.381216888229346e-09,2.0207187034770868e-08
1951,1.9190522948520083e-08,2.9851925376078725e-08
1952,5.272402070488624e-09,9.490323193972472e-09
1953,2.1547654771580937e-09,9.69644453618912e-09
1954,4.886268278880834e-09,1.5636057781875934e-08
1955,7.508486277174597e-09,1.0324168187025862e-08
1956,1.2209598665435806e-08,1.5698054411927842e-08
1957,1.1485549400447326e-08,2.2087593976038988e-08
1958,7.445019267748876e-09,3.060729980575161e-08
1959,9.300897829689347e-09,1.6276571201956358e-08
1960,1.1765417085030094e-08,1.4533750203327145e-08
1961,1.042223907177231e-08,9.72742331128984e-09
1962,7.610347907416326e-09,1.77574772664002e-08
1963,9.052474325699222e-09,1.2932106940866106e-08
1964,1.3993127545575135e-08,7.909158661334459e-09
1965,2.73602163147757e-09,1.4774516721161035e-08
1966,1.1078149952936656e-08,9.416426749453422e-09
1967,8.874604162656397e-09,1.035370456037299e-08
1968,1.122853987567396e-08,9.88111459321317e-09
1969,1.1354394757745467e-08,1.3171097990039016e-08
1970,1.241655755990223e-08,1.0117195081704722e-08
1971,9.762954888969944e-09,7.707596338946132e-09
1972,4.104117490300041e-09,1.0773308467548759e-08
1973,9.923766697284009e-09,1.3783009400469837e-08
1974,1.3501372464475025e-08,8.438357568252286e-09
1975,4.569184142155791e-09,9.709516746170266e-09
1976,4.570821499072508e-09,1.2569759455516305e-08
1977,7.052138428775834e-09,1.1753563455840776e-08
1978,1.3069301196821925e-08,8.910887139279566e-09
1979,9.363157360553487e-09,1.0533551808578068e-08
1980,5.6851505725319385e-09,1.3644362084619388e-08
1981,8.855769451088236e-09,1.3916208629893845e-08
1982,9.311253101884631e-09,8.069752865935698e-09
1983,1.0104505676622466e-08,8.841442245000053e-09
1984,8.69851302098823e-09,1.1598016769198694e-08
1985,8.421781494405423e-09,9.02333674446254e-09
1986,1.3787316177626963e-08,1.3187867686781374e-08
1987,6.110816741511371e-09,7.944062296871834e-09
1988,8.395175221664886e-09,6.596209356501959e-09
1989,1.9757239400064464e-08,1.4269117443177493e-08
1990,1.1442167213715493e-08,8.172976073694826e-09
1991,1.0550637696837839e-08,1.2895223555631219e-08
1992,1.322386644631024e-08,7.162927584403178e-09
1993,1.994114740000441e-08,1.1632335983335906e-08
1994,2.5319646823618314e-08,1.318731612798274e-08
1995,1.4098372247417501e-08,8.133675954979935e-09
1996,9.60856638698715e-09,8.007138063703678e-09
1997,5.753873377756236e-09,8.151320507465698e-09
1998,3.337690568372409e-09,4.291316191284977e-09
1999,5.484241505371301e-09,6.398281460207045e-09
2000,5.3016377954406835e-09,1.0603275590881367e-08
2001,6.133696661692056e-09,6.133696661692056e-09
2002,9.63868718173444e-09,4.381221607729913e-09
2003,8.333845613606172e-09,1.0417307017007715e-08
2004,1.4535810777260849e-08,1.2333415178034102e-08
2005,7.205999352777326e-09,6.305249655724765e-09
2006,7.412201963319376e-09,1.523619275189958e-08
2007,9.586750948642475e-09,1.4380126422963713e-08
2008,1.0217855006544596e-08,1.4049550856043425e-08
2009,9.059565542202108e-09,1.43045770784056e-08
2010,6.140930874920514e-09,3.023227534981743e-08
2011,8.795135286732148e-09,1.9884653923440965e-08
2012,1.463828702696901e-08,3.302125151094515e-08
2013,1.2272150407000026e-08,3.765318723480959e-08
2014,1.8406284496563785e-08,3.5080212512639264e-08
2015,2.1722438958704515e-08,2.4160671685535817e-08
2016,1.5535050579273957e-08,3.7076986814099655e-08
2017,1.5848351964109497e-08,2.9432651871275084e-08
2018,2.684725330936999e-08,2.6589107804397827e-08
2019,1.785691416955615e-08,2.831596468411135e-08
