year,mêmes_ADJ âges_NOUN,mêmes_ADJ ages_NOUN
1800,3.144164484325529e-09,0.0
1801,2.6193008650921e-08,0.0
1802,0.0,0.0
1803,3.900678446910888e-09,0.0
1804,0.0,0.0
1805,2.2743021688143017e-08,0.0
1806,0.0,0.0
1807,5.693910232196231e-09,2.8469551160981155e-09
1808,1.8128591960930862e-08,0.0
1809,1.0165637576164954e-07,0.0
1810,9.360507036149102e-09,0.0
1811,5.0141535368197765e-09,0.0
1812,1.3336041604361526e-08,0.0
1813,3.4508900625951355e-08,0.0
1814,0.0,0.0
1815,5.394447111228828e-09,0.0
1816,6.952811659743929e-09,0.0
1817,0.0,0.0
1818,2.384235475716423e-09,0.0
1819,1.035105001712111e-09,1.035105001712111e-09
1820,7.119888678630559e-09,0.0
1821,2.9584463767662328e-09,0.0
1822,2.0051231786055723e-09,2.0051231786055723e-09
1823,2.2730180404550993e-08,0.0
1824,1.51580028528997e-08,8.421112696055388e-10
1825,1.3208164340028361e-08,0.0
1826,0.0,0.0
1827,8.295545583791863e-09,0.0
1828,3.668920500743411e-09,1.8344602503717056e-09
1829,2.1432940755516938e-08,0.0
1830,2.0873670791843324e-08,0.0
1831,1.7150327380477393e-08,0.0
1832,1.7588959622116818e-08,0.0
1833,2.0850531967653296e-08,0.0
1834,3.267085801894609e-08,0.0
1835,7.563087933704082e-08,0.0
1836,3.36037508930076e-08,6.720750067579218e-10
1837,2.1569462660409044e-08,6.957890930081589e-10
1838,1.3886756633496589e-08,0.0
1839,3.915226187700682e-08,0.0
1840,1.7835128929277744e-08,0.0
1841,2.0545755319290038e-08,0.0
1842,6.708265054555795e-09,0.0
1843,3.36693943836508e-08,5.906911071384968e-10
1844,2.140538946093784e-08,0.0
1845,3.2923345827384765e-08,1.1160455892778032e-09
1846,3.571245699163228e-08,5.854501328173001e-10
1847,2.480882876909618e-08,5.393223645455691e-10
1848,8.04522137798358e-09,8.045221711050488e-10
1849,1.6758828991214614e-08,0.0
1850,2.0366988096043315e-09,0.0
1851,5.159551008659946e-09,0.0
1852,2.278690836021724e-08,0.0
1853,1.5527023222716707e-08,0.0
1854,3.273268589509826e-08,0.0
1855,4.2986190607052777e-08,3.1841622671890946e-09
1856,6.212626857404757e-09,0.0
1857,2.001418764052687e-08,6.8341128311999455e-09
1858,3.866004050223637e-08,0.0
1859,3.6154432336843456e-08,0.0
1860,1.0527522853465143e-08,0.0
1861,1.6977470096435354e-08,0.0
1862,1.0391368654438793e-08,4.517986262886353e-10
1863,2.996772607843923e-08,4.994620828036034e-10
1864,2.6371003158942585e-08,0.0
1865,4.989254875908955e-08,4.706844358715045e-10
1866,1.3623716377253459e-08,4.865612912574591e-10
1867,2.4749338578544666e-08,0.0
1868,3.457912001181285e-08,4.93987406535723e-10
1869,7.276443625414686e-08,9.767038289254515e-10
1870,3.55511033944822e-08,5.734048791339319e-10
1871,3.504988654867702e-08,2.1242354542039266e-09
1872,3.9912439575573444e-08,0.0
1873,2.5141218884527916e-08,0.0
1874,2.6288279997288555e-08,5.974609140757536e-10
1875,3.718992758194872e-08,0.0
1876,2.1765654167893445e-08,6.04601479992084e-10
1877,3.64904160221613e-08,6.184815992682502e-10
1878,6.34104324603868e-08,6.039088673581716e-10
1879,5.070739916845923e-08,1.221865053580018e-09
1880,3.016387850607316e-08,6.417846254436199e-10
1881,6.693607446095484e-08,0.0
1882,4.725323421439498e-08,6.655385131892899e-10
1883,5.1186646032874705e-08,0.0
1884,3.036780782394999e-08,6.601696966868076e-10
1885,1.0313017106966527e-08,1.2891271383708158e-09
1886,2.9040586824180536e-08,0.0
1887,1.5016526688782506e-08,6.528924623161458e-10
1888,1.4583413587843097e-08,6.340614699951175e-10
1889,2.0674951528576457e-08,0.0
1890,2.8839300725280737e-08,0.0
1891,8.92390783491237e-09,0.0
1892,1.1283322720601063e-08,0.0
1893,1.7243566574620672e-08,0.0
