year,divers_DET âges_NOUN,divers_DET ages_NOUN
1800,7.231578535993322e-08,0.0
1801,5.000483582762172e-08,0.0
1802,7.384872446891677e-08,0.0
1803,3.90067853572873e-08,0.0
1804,1.3100809326260787e-07,0.0
1805,1.3361525930122298e-07,8.528632911009026e-09
1806,8.933174200365102e-08,0.0
1807,1.9928686256776018e-08,0.0
1808,6.798222074166915e-08,0.0
1809,7.680704072754452e-08,0.0
1810,6.31834211617388e-08,0.0
1811,4.763445815569867e-08,0.0
1812,8.535066342574282e-08,0.0
1813,8.052076339026826e-08,0.0
1814,1.2901375612273114e-07,3.1466771410748606e-09
1815,1.0249449644561537e-07,0.0
1816,5.5622493277951435e-08,0.0
1817,3.89218364205135e-08,0.0
1818,4.053200441944682e-08,0.0
1819,4.7614829412623294e-08,0.0
1820,6.289234733003468e-08,0.0
1821,8.678109963966563e-08,0.0
1822,9.323822780515911e-08,1.0025615893027862e-09
1823,1.2254531611688435e-07,0.0
1824,9.684279689281539e-08,4.210556348027694e-09
1825,6.427973175959778e-08,0.0
1826,7.839106075380187e-08,1.7615968683770689e-09
1827,1.6867609531345806e-07,1.8434546111834038e-09
1828,1.0639869429951432e-07,0.0
1829,1.1659519572049248e-07,0.0
1830,1.0958677876260481e-07,0.0
1831,1.6058942264862708e-07,0.0
1832,1.5288865995444212e-07,0.0
1833,1.656458863408261e-07,0.0
1834,1.3068343207578437e-07,0.0
1835,8.773182003096736e-08,0.0
1836,1.1290860157942006e-07,6.720750067579218e-10
1837,9.462731753728804e-08,0.0
1838,1.571728347471435e-07,1.8936485712828244e-09
1839,9.648235987924636e-08,6.9914751765765e-10
1840,1.0382592563473736e-07,6.369688665408546e-10
1841,1.207063178298995e-07,1.2841097074556274e-09
1842,1.1336967986608215e-07,0.0
1843,1.494448440553242e-07,0.0
1844,1.7947594699307956e-07,5.488561272137815e-10
1845,1.3448349989175767e-07,0.0
1846,1.2118817949158256e-07,5.854501328173001e-10
1847,8.629157832729106e-08,0.0
1848,1.6251347290108242e-07,8.045221711050488e-10
1849,2.0361977703942102e-07,8.379414939696517e-10
1850,1.3034872381467721e-07,6.788996032014438e-10
1851,1.5027193001060368e-07,1.2898877521649865e-09
1852,1.510446594465975e-07,1.9531636308300904e-09
1853,1.1406390143520184e-07,1.1943863675867306e-09
1854,1.023545905809442e-07,0.0
1855,1.5337047898356104e-07,1.0613874223963649e-09
