year,tes_DET îles_NOUN,tes_DET iles_NOUN,tes_DET cils_NOUN
1800,0.0,3.144164484325529e-09,0.0
1801,9.524730337773235e-09,0.0,0.0
1802,4.475680270843441e-09,0.0,2.2378401354217203e-09
1803,1.950339223455444e-09,0.0,0.0
1804,1.2359254952798437e-08,0.0,0.0
1805,2.842877711017877e-09,0.0,0.0
1806,2.881669125542885e-09,0.0,0.0
1807,2.2775640928784924e-08,0.0,0.0
1808,1.3596443526608937e-08,2.2660739951163578e-09,0.0
1809,2.259030518203531e-09,0.0,0.0
1810,2.3401267590372754e-09,0.0,2.3401267590372754e-09
1811,0.0,0.0,0.0
1812,0.0,0.0,0.0
1813,8.627225156487839e-09,0.0,2.8757416448144113e-09
1814,3.1466771410748606e-09,0.0,0.0
1815,0.0,0.0,5.394447111228828e-09
1816,0.0,2.3176038865813098e-09,0.0
1817,0.0,0.0,0.0
1818,0.0,0.0,0.0
1819,3.1053151161586356e-09,0.0,0.0
1820,3.5599443393152796e-09,0.0,1.1866481131050932e-09
1821,4.9307441463142254e-09,9.86148829262845e-10,0.0
1822,6.015369535816717e-09,1.0025615893027862e-09,0.0
1823,5.929612356680991e-09,0.0,0.0
1824,1.0947446504872005e-08,0.0,0.0
1825,5.283265824829186e-09,0.0,0.0
1826,9.688782998118484e-09,0.0,8.807984341885344e-10
1827,9.217273055917019e-10,0.0,0.0
1828,6.420610709767516e-09,9.172301251858528e-10,1.8344602503717056e-09
1829,4.286587973467704e-09,0.0,2.571952817387313e-09
1830,1.1480519646056564e-08,2.0873671680021744e-09,4.174734336004349e-09
1831,3.1182412207897414e-09,0.0,3.1182412207897414e-09
1832,5.411987746839486e-09,0.0,1.352996914505411e-08
1833,2.4325620628928846e-08,1.1583628500844156e-09,0.0
1834,2.0535967593104942e-08,0.0,1.213488998175194e-08
1835,3.025235173481633e-09,0.0,1.1344631900556124e-08
1836,3.3603750337896088e-09,6.720750067579218e-10,2.688300027031687e-09
1837,5.566312633042969e-09,6.957890930081589e-10,2.7831563720326358e-09
1838,3.787297142565649e-09,1.2624323808552163e-09,1.8936485712828244e-09
1839,0.0,0.0,1.1186360504567006e-08
1840,3.184844277193122e-09,1.2739377330817092e-09,3.821813088222825e-09
1841,7.0626033910059505e-09,0.0,3.2102742686390684e-09
1842,2.683306021822318e-09,6.708265054555795e-10,9.391571076378114e-09
1843,5.906910960362666e-09,0.0,1.1813822142769936e-09
1844,2.195424508855126e-09,5.488561272137815e-10,1.097712254427563e-09
1845,4.464182357111213e-09,1.6740683839167048e-09,2.2320911785556063e-09
1846,2.9272506640865004e-09,1.1709002656346001e-09,4.6836010625384006e-09
1847,3.235934187273415e-09,2.6966118227278457e-09,1.0786447290911383e-09
1848,2.413566457803995e-09,0.0,0.0
1849,5.865590235742957e-09,8.379414939696517e-10,0.0
1850,2.0366988096043315e-09,1.3577992064028876e-09,7.467895635215882e-09
1851,1.9348316282474798e-09,6.449438760824933e-10,4.514607354622058e-09
1852,0.0,2.6042181744401205e-09,1.9531636308300904e-09
