year,plus_ADV eu_VERB,plus_ADV su_VERB
1800,6.382653623404622e-07,1.477757365364596e-07
1801,8.857999205247324e-07,1.2858386355674156e-07
1802,9.689847502158955e-07,8.503792514602537e-08
1803,7.547812970187806e-07,1.3652375230321923e-07
1804,7.909923169791e-07,1.1864884186252311e-07
1805,9.324638767793658e-07,1.449867568226182e-07
1806,6.656655955339374e-07,1.0662175498055149e-07
1807,8.512395766047121e-07,1.2811298688575334e-07
1808,9.562832019582856e-07,1.2010191596800723e-07
1809,1.070780513146019e-06,1.0843346842648316e-07
1810,9.313704367741593e-07,8.424456154898508e-08
1811,1.0153661378353718e-06,4.763445815569867e-08
1812,9.735309731695452e-07,5.867858021701977e-08
1813,1.1502966117404867e-06,1.35159851311073e-07
1814,7.898159424257756e-07,1.1328037885505182e-07
1815,1.1652006151052774e-06,1.348611817775236e-07
1816,9.502176112619054e-07,7.879853569647821e-08
1817,9.590339686837979e-07,9.185553295765203e-08
1818,1.0097237463924102e-06,1.0133000927226021e-07
1819,9.057168881554389e-07,1.1593176196811328e-07
1820,9.88477836472157e-07,6.051905643289501e-08
1821,9.930519127010484e-07,9.762873531826699e-08
1822,8.712260068932665e-07,9.123310462655354e-08
1823,1.0485530310688773e-06,7.708495530778237e-08
1824,8.783220550867554e-07,8.168479581627253e-08
1825,9.589127785147866e-07,1.2415674177645997e-07
1826,8.78156015460263e-07,7.839106075380187e-08
1827,9.632050250729662e-07,7.281645508783186e-08
1828,1.0337183766750968e-06,9.906085551847355e-08
1829,1.0176360092373216e-06,9.944884027390799e-08
1830,9.372278668706713e-07,6.053365098068753e-08
1831,9.167629286821466e-07,7.951515357262906e-08
1832,9.268028975384368e-07,1.0823975316043288e-07
1833,9.417490218766034e-07,5.79181431703546e-08
1834,9.297193059865094e-07,8.214387037241977e-08
1835,9.408481673744973e-07,5.974839467626225e-08
1836,1.0034079878096236e-06,7.728862527756064e-08
1837,1.0235057743557263e-06,1.050641529332097e-07
1838,8.319429412040336e-07,7.385229139345029e-08
1839,1.0095690186062711e-06,9.019002789045771e-08
1840,1.0573683084658114e-06,7.771020449354182e-08
1841,1.1409314311094931e-06,8.154096775569997e-08
1842,1.0236811931463308e-06,5.433694738599115e-08
1843,9.557381872582482e-07,9.569195924541418e-08
1844,8.6938808863124e-07,6.147188713612195e-08
1845,8.911624149732233e-07,6.138250796539069e-08
1846,8.816879244477605e-07,5.21050615986951e-08
1847,9.448928040001192e-07,9.006683399093163e-08
1848,1.034615479511558e-06,1.0700144770225961e-07
1849,1.0139092410099693e-06,6.703531596485846e-08
1850,9.647163778936374e-07,6.992665646521345e-08
1851,1.1060787983296905e-06,7.932809609201286e-08
1852,1.0241087693430018e-06,1.1133032984389502e-07
1853,1.0856972494366346e-06,7.464915086075052e-08
1854,1.0271828614349943e-06,5.871100938747986e-08
1855,9.579021025274415e-07,8.862585332281014e-08
1856,1.029225245474663e-06,9.318940641378504e-08
1857,1.1129840231660637e-06,6.004255936886693e-08
1858,9.753096037456999e-07,8.710743060191817e-08
1859,1.0403309715911746e-06,7.943790336639722e-08
1860,9.364918014398427e-07,7.140406665939736e-08
1861,1.0096878213516902e-06,7.026785908692545e-08
1862,9.415483646080247e-07,7.364317866631609e-08
1863,9.734516197568155e-07,7.791608425122831e-08
1864,1.0706627335821395e-06,7.3359338159662e-08
1865,9.907906814987655e-07,6.307171673824996e-08
1866,1.105467276829586e-06,6.422609288847525e-08
1867,1.0472367648617364e-06,4.4160586298858107e-08
1868,9.138767040894891e-07,7.558007553143398e-08
1869,1.0338410447729984e-06,6.885761649755295e-08
1870,1.1043778158636997e-06,1.0263947558541986e-07
1871,1.0674283430489595e-06,9.771483178155904e-08
1872,1.0679601700758212e-06,6.591599799321557e-08
1873,9.691341347206617e-07,6.345164393906089e-08
1874,1.093950913855224e-06,5.855116924635695e-08
1875,1.0052723382614204e-06,7.552415581812966e-08
1876,8.651847451801586e-07,7.013377256726017e-08
1877,9.029831176121661e-07,3.277952487223956e-08
1878,1.0417428484288394e-06,7.0657335982105e-08
1879,9.243408953807375e-07,4.459807456669296e-08
1880,1.019795718093519e-06,3.914886193001621e-08
1881,9.55233531385602e-07,6.83305714233029e-08
1882,9.284262318942638e-07,4.5256619785050134e-08
1883,1.0351077435188927e-06,7.204046426068089e-08
1884,9.612070925868466e-07,7.261866841190567e-08
1885,9.301052159571555e-07,4.7053141827291256e-08
1886,9.62856802289025e-07,5.6145136539953455e-08
1887,1.016553596855374e-06,4.570247114088488e-08
1888,1.0614188568069949e-06,5.07249175996094e-08
1889,1.0387597058070241e-06,7.51816386923565e-08
1890,9.294120104641479e-07,5.83340380444497e-08
1891,1.0491966122572194e-06,4.971891698346553e-08
1892,9.734999366628472e-07,7.083419006903569e-08
1893,9.915050895870081e-07,5.665743074700913e-08
1894,1.0271509154335945e-06,2.898708117982096e-08
1895,1.0027011967395083e-06,4.69451926221609e-08
1896,1.0490814474906074e-06,5.248355705589347e-08
1897,1.0097694485011743e-06,5.127508018176741e-08
1898,9.738029120853753e-07,5.771521927044887e-08
1899,1.0143106692339643e-06,6.467266899790047e-08
1900,1.0106980425916845e-06,4.983411017178696e-08
1901,9.590276022208855e-07,5.253414414596591e-08
1902,8.023403665902151e-07,3.633610035080892e-08
1903,9.099371141019219e-07,3.726151831529023e-08
1904,1.0088170938615804e-06,5.2671325079245435e-08
1905,9.862210390565451e-07,3.302885787093146e-08
1906,9.064053188012622e-07,4.012463961089452e-08
