year,ses_DET ailes_NOUN,ses_DET selles_NOUN
1800,6.901441224727023e-06,3.45858084394024e-08
1801,3.957525350983815e-06,1.166779455274991e-07
1802,4.750934465391765e-06,1.7902721083373763e-08
1803,7.645329844763182e-06,2.3404070681465328e-08
1804,4.256527134316457e-06,6.426812215742927e-08
1805,3.72132684844928e-06,9.381496113292087e-08
1806,4.685594120701353e-06,4.3225036883143275e-08
1807,2.6903726251248372e-06,4.839823697366796e-08
1808,3.578130794323897e-06,2.4926813502190726e-08
1809,3.634780085803868e-06,2.259030518203531e-09
1810,3.886950580067605e-06,3.510190182964834e-08
1811,2.9107161587660357e-06,2.5070768572277302e-08
1812,2.605862540860926e-06,6.401299756930712e-08
1813,2.527777013483501e-06,2.3005932803243923e-07
1814,1.979259808493339e-06,5.664018765116907e-08
1815,1.807139785370282e-06,4.8550024445148665e-08
1816,6.5611367858764424e-06,1.3905623319487859e-08
1817,5.870969630450418e-06,7.784366928831332e-09
1818,4.6576038528201025e-06,2.8610825708597076e-08
1819,2.8310121535923827e-06,6.93520334493769e-08
1820,2.5394269869138952e-06,5.933240565525466e-09
1821,2.795732044091892e-06,4.5362847478358503e-08
1822,3.387655638675824e-06,1.9048670196752937e-08
1823,2.639665581227746e-06,6.917880934764753e-09
1824,2.4539121383782003e-06,1.2631669044083083e-08
1825,2.8776188543133685e-06,1.0566531427613768e-08
1826,3.2307686339549946e-06,1.5854371593349015e-08
1827,2.480368067381278e-06,2.949527377893446e-08
1828,2.9562326915311132e-06,1.7427371545863934e-08
1829,2.4587868949765834e-06,1.3717081359665428e-08
1830,3.62575669043963e-06,3.0266823713986923e-08
1831,2.960770032700566e-06,3.4300653872776365e-08
1832,5.16980111342491e-06,4.058990743516233e-08
1833,4.2616169935172366e-06,2.5483982257767934e-08
1834,4.092258265586679e-06,3.4537763093922536e-08
1835,3.28994329379384e-06,4.5378527602224494e-08
1836,3.889970074055782e-06,8.669767481706003e-08
1837,2.975194206555898e-06,1.2524203896191466e-07
1838,3.2816930470858097e-06,4.5447563934430946e-08
1839,2.6854256915953556e-06,6.71181616951344e-08
1840,2.7325963358748595e-06,1.3694830869326324e-07
1841,3.3643673589267564e-06,7.897274612034266e-08
1842,3.0267690860341645e-06,1.9453969102301016e-08
1843,3.0845889256170267e-06,4.961805460945712e-08
1844,2.5532788043847177e-06,3.3480223038395707e-08
1845,2.754400611593155e-06,2.5669048664411775e-08
1846,2.7088777017070242e-06,2.9272506640865004e-08
1847,2.260839352175026e-06,2.480882876909618e-08
1848,2.1408335797445943e-06,2.654923214606697e-08
1849,2.626108525305426e-06,4.776266671058238e-08
1850,2.8398370659488137e-06,2.5798184921654865e-08
1851,2.467555212604111e-06,3.2892137236117946e-08
1852,3.2012352164656477e-06,2.539112786692499e-08
1853,3.2547029462648425e-06,3.702597695109944e-08
1854,2.817089260531702e-06,3.3771819119010615e-08
1855,3.242538483050339e-06,4.988520885262915e-08
1856,2.865056622169959e-06,2.9509979349029436e-08
1857,3.1515021703398816e-06,4.1980978693345605e-08
1858,2.614201775941183e-06,3.2787627668451336e-08
1859,3.005909949393981e-06,3.157147410171035e-08
1860,3.308846160621215e-06,7.415037828195636e-08
1861,3.0068985239495305e-06,2.169343327196316e-08
1862,2.66154577133193e-06,2.8915112304517265e-08
1863,2.5192867489920445e-06,3.09666488007565e-08
1864,2.7095007055777387e-06,2.6371003158942585e-08
1865,2.4692106066481756e-06,1.835669216632141e-08
1866,2.6653828015810177e-06,2.7247432754506917e-08
1867,3.1698564129101214e-06,4.513114504334226e-08
1868,2.6265311561246563e-06,2.321740799615668e-08
1869,2.8778578098354046e-06,2.3440891339099323e-08
1870,2.510939921762656e-06,4.816600807089344e-08
1871,2.440746598608712e-06,2.3366590440332402e-08
1872,2.346972472366815e-06,1.6327815433037074e-08
1873,2.186088877920156e-06,6.225444471041897e-08
1874,4.265870870767685e-06,4.241972462182275e-08
1875,2.3767223069626198e-06,3.146840010792573e-08
1876,2.2823706160579604e-06,4.11128999733279e-08
1877,2.4108413754220237e-06,7.545475355641429e-08
1878,2.459116863917643e-06,3.925407554561389e-08
1879,2.083890770165908e-06,2.5048233487368066e-08
1880,1.9259956474115825e-06,4.2357783947011285e-08
1881,1.9850729451320603e-06,4.532129760370651e-08
1882,2.265493069586455e-06,3.3276925215375286e-08
1883,1.9640505115603446e-06,4.233956940602468e-08
1884,2.4320650808817845e-06,4.4891538486524496e-08
1885,1.8782582245080448e-06,6.187810308588837e-08
1886,2.110282622425075e-06,2.904058704622514e-08
1887,2.159768250464822e-06,5.7454536683820834e-08
1888,1.993489263441006e-06,4.882273341166865e-08
1889,1.8162631256757322e-06,5.513320378014441e-08
1890,1.951896269503095e-06,4.7191583085748334e-08
1891,1.9932185040261174e-06,5.673055980537356e-08
1892,1.553964242617667e-06,6.0804569601558e-08
1893,1.6559981794728174e-06,7.143763314232388e-08
1894,1.78648640769552e-06,5.545354442304529e-08
1895,1.7363702724537688e-06,6.01861440685525e-08
1896,1.603402211003413e-06,7.489226683254913e-08
1897,1.5784566933518818e-06,5.710179351581246e-08
1898,1.4519339153196142e-06,6.054439749547669e-08
1899,1.6350576714785348e-06,7.40695469403363e-08
1900,1.5168257547770736e-06,5.606337216690349e-08
1901,1.5016941077306e-06,5.868176033985151e-08
1902,1.5968243118891223e-06,8.052865219099203e-08
1903,1.6162859211021896e-06,9.126372546575112e-08
1904,1.4575983442455254e-06,1.0588011445378243e-07
1905,1.5136506092972013e-06,9.082935736870468e-08
1906,1.4609484537686512e-06,1.8416180136426874e-07
1907,1.6256527786140396e-06,1.3577106194873068e-07
1908,1.9537505586697534e-06,9.822778057611004e-08
1909,2.0491163041924665e-06,7.921416322886898e-08
1910,2.18789523387386e-06,1.1864014304308057e-07
1911,1.9445967964770716e-06,1.1492008233915385e-07
1912,1.981142858653584e-06,1.1877480687871866e-07
1913,1.7871074788899932e-06,1.2939294791181055e-07
1914,1.5630199996508054e-06,1.0915692616464412e-07
1915,1.4561021295378396e-06,5.89038078313564e-08
1916,2.3348356918972968e-06,6.592477164168997e-08
1917,2.1263897593826186e-06,8.11515392662443e-08
1918,2.3742339436694238e-06,1.0797193805700545e-07
1919,1.9787665763715268e-06,9.852397475640373e-08
1920,1.7128388449805243e-06,1.0601124333931011e-07
1921,1.81821668121529e-06,8.102839532675432e-08
1922,2.0791021810850907e-06,8.632184389512076e-08
1923,2.047816458627949e-06,6.688047005098952e-08
1924,1.8293215120479545e-06,7.606058671782989e-08
1925,1.886187533273187e-06,1.000834197739664e-07
1926,1.8480297754308594e-06,1.0588831500513152e-07
1927,1.970067984302659e-06,7.24699615872737e-08
1928,1.6384942682634573e-06,6.969885424368272e-08
1929,1.5496305501017105e-06,8.24390067322156e-08
1930,1.593396660837243e-06,7.87770297883128e-08
1931,1.6355281147184542e-06,1.2089677792204157e-07
1932,1.4587143333244512e-06,9.096415265474889e-08
1933,1.4843037270395598e-06,1.0094182556485976e-07
1934,1.5168680391752787e-06,5.990790086229936e-08
1935,1.668378757813116e-06,5.744776565563825e-08
1936,1.753233775048102e-06,1.0790996274323561e-07
1937,1.332140307397367e-06,8.310137911138327e-08
1938,1.660844006323714e-06,8.557041208945293e-08
1939,1.6028164608883344e-06,6.270560604093589e-08
1940,1.508790830939688e-06,3.803674331059881e-08
1941,1.8004165767138147e-06,3.8369532440185594e-08
1942,1.9601007892333655e-06,5.765002475399683e-08
1943,2.1425874834335445e-06,5.5161468504039135e-08
1944,1.9375512394503858e-06,3.855823393905666e-08
1945,1.779837823789876e-06,3.0499056169475125e-08
1946,1.919720304499606e-06,4.1763312808029696e-08
1947,1.6319672155873377e-06,6.675688091206666e-08
1948,1.731891764222837e-06,7.175446281593167e-08
1949,1.4892401161148427e-06,6.479225644895337e-08
1950,1.6548622667755808e-06,5.424034421608326e-08
1951,1.2921619472194834e-06,7.996051154535166e-08
1952,1.5110703515119894e-06,5.5887459993186894e-08
1953,1.2400674762602648e-06,4.30953106533849e-08
1954,1.4707666338154013e-06,4.8862679236094664e-08
1955,1.2464087291164105e-06,3.0972504561077585e-08
1956,1.3482885385940335e-06,3.139611037816792e-08
1957,1.199798109752237e-06,3.8874164776103726e-08
1958,1.5196111533555268e-06,3.9706768539815585e-08
1959,1.1641623203217932e-06,2.8677767716089875e-08
1960,1.2374450406582582e-06,2.6991250123842292e-08
