year,leurs_DET heures_NOUN,leurs_DET soeurs_NOUN
1800,1.2891074341325748e-07,1.1318991832709457e-07
1801,8.572257526040516e-08,6.667310969987739e-08
1802,5.594600338554301e-08,3.3567602031325805e-08
1803,1.09218993626925e-07,3.705644502360883e-08
1804,1.359518086996303e-07,5.9324420931261557e-08
1805,1.2224374756897305e-07,1.7057266488151868e-08
1806,7.492339726411501e-08,3.1698359492793315e-08
1807,1.9359294345377975e-07,4.27043254092041e-08
1808,1.1783584952240744e-07,5.211970277585465e-08
1809,1.423189246452239e-07,8.810219043198231e-08
1810,1.5678848797051614e-07,1.8721014516387413e-08
1811,1.3287506384074277e-07,2.757784400841956e-08
1812,1.2535878601838135e-07,5.3344166417446104e-08
1813,9.777521592368998e-08,4.313612333994854e-08
1814,1.0069366851439554e-07,3.776012391654149e-08
1815,9.979726911524267e-08,8.091670444798638e-09
1816,7.648092648082638e-08,9.270415546325239e-09
1817,8.562803732736768e-08,3.269434145636296e-08
1818,1.0252212234718172e-07,2.3842355423298045e-08
1819,1.345636526650651e-07,2.7947834824182394e-08
1820,1.3053128622431132e-07,1.542642635854463e-08
1821,9.762873609542311e-08,3.254291058851777e-08
1822,1.59407292699143e-07,1.804610860745015e-08
1823,1.8777104848766157e-07,5.0401702367253165e-08
1824,8.336901657912676e-08,2.2737005167527968e-08
1825,1.2063457122124532e-07,1.4088708866211164e-08
1826,1.2419258199614092e-07,1.8496766784892316e-08
1827,9.401618683568813e-08,1.1060728055678481e-08
1828,8.438517318243299e-08,2.7516904310687096e-08
1829,1.0459274601970492e-07,1.2002446148073886e-08
1830,1.0854309251406846e-07,1.2524203230057651e-08
1831,1.8397622625343502e-07,2.0268567268999504e-08
1832,9.200379180729357e-08,1.488296597074168e-08
1833,2.328309358645697e-07,1.2741991461950875e-08
1834,1.6522120249717887e-07,5.040646544607341e-08
1835,1.7697626475410289e-07,1.663879345414898e-08
1836,1.962458999749117e-07,1.5457725044409898e-08
1837,2.0873672612609084e-07,1.18284144701164e-08
1838,1.8052782357891317e-07,1.9567702125300457e-08
1839,1.6989284734592047e-07,1.1885507689157748e-08
1840,1.7835127719134647e-07,2.7389662093924017e-08
1841,2.093098752098399e-07,1.0272877659645019e-08
1842,1.5496091609890073e-07,8.720745015011744e-09
1843,2.2446262226694103e-07,1.9492807368237663e-08
1844,1.860622252380928e-07,8.781698090931656e-09
1845,1.7466113871877909e-07,1.7298706023183286e-08
1846,1.7270779140154957e-07,1.4050803409659807e-08
1847,1.6449332385093385e-07,1.3483059113639229e-08
