year,vous_PRON auriez_VERB,vous_PRON sauriez_VERB
1800,4.747688194584043e-06,1.383432337576096e-07
1801,5.719600494558108e-06,2.500241755853949e-07
1802,4.520436959865037e-06,1.3650824826072494e-07
1803,4.973365037130861e-06,2.2038833691340187e-07
1804,6.659166501776781e-06,2.2246658915037187e-07
1805,5.071693692570989e-06,1.6772977939893963e-07
1806,5.933356646892207e-06,2.13243520619244e-07
1807,3.7266642607391987e-06,1.4234775491672735e-07
1808,3.630250603237073e-06,1.1783584596969376e-07
1809,4.588090916968213e-06,1.2198764753890146e-07
1810,6.940815865164041e-06,1.4040760376587968e-07
1811,3.1413671877089655e-06,1.228467656488874e-07
1812,5.315745852385589e-06,9.068508255438701e-08
1813,4.166949679529353e-06,1.2653262970729884e-07
1814,4.027746683732403e-06,1.0384034254684593e-07
1815,4.334438301611954e-06,1.5374173578663886e-07
1816,4.192545532077929e-06,1.8077310670605584e-07
1817,5.805580826745427e-06,1.8215418506883907e-07
1818,5.7793869245870155e-06,2.2054177861718927e-07
1819,5.32250999185635e-06,1.1386155129855524e-07
1820,6.182436550261627e-06,2.4682281463128675e-07
1821,8.87731198417896e-06,3.2345680622825057e-07
1822,6.52166306736035e-06,2.5565320527221047e-07
1823,6.313060339380172e-06,2.5299678796386615e-07
1824,5.347406329292426e-06,2.568439398942246e-07
1825,5.041116196480289e-06,1.496925268185123e-07
1826,4.554608722173725e-06,1.7615968594952847e-07
1827,4.952440804117941e-06,2.2397973786780767e-07
1828,5.720764420402702e-06,2.082112366963429e-07
1829,4.7109602974160225e-06,1.8346596952767413e-07
1830,5.821666945848847e-06,2.0143092882562996e-07
1831,6.205300223882659e-06,1.9021271668862028e-07
1832,6.07495610438491e-06,1.921255625703111e-07
1833,5.31920227331284e-06,2.038718545094298e-07
1834,5.2712097726725915e-06,2.510988768023026e-07
1835,6.973923177611141e-06,2.3899357159962165e-07
1836,5.109114340484666e-06,1.949017516267304e-07
1837,5.082739221506927e-06,1.976041055229416e-07
1838,4.534656966370676e-06,2.0577648207620314e-07
1839,4.619966944119369e-06,2.1533743321811016e-07
1840,4.565155677482835e-06,1.662488742226742e-07
1841,4.275443245660426e-06,2.0545755141654354e-07
1842,5.125114341808512e-06,2.2271440158760925e-07
1843,4.525284566625487e-06,2.2564401014335544e-07
1844,4.7739507067490194e-06,2.239333021236689e-07
1845,4.4457676153797365e-06,2.2041900216152044e-07
1846,4.308327561375336e-06,1.5397339137024346e-07
1847,4.008243763564678e-06,1.4507770984550916e-07
1848,5.701648774447676e-06,2.4055212977103224e-07
1849,5.306683533490286e-06,2.145130162389819e-07
1850,4.861600245931186e-06,1.6700930416391202e-07
1851,4.184395947959274e-06,1.3414832444880176e-07
1852,4.134196387894917e-06,1.8815476643396778e-07
1853,4.4389370259523275e-06,2.0364287145469007e-07
1854,4.760267984238453e-06,2.4471579429530266e-07
1855,4.480116331251338e-06,2.611013130149331e-07
1856,4.317258230912557e-06,2.1433563146544543e-07
1857,4.50465660151167e-06,1.9867742295787139e-07
1858,5.376681656343862e-06,2.0700249869776144e-07
1859,4.5228683802633896e-06,1.7517075967532492e-07
1860,5.190984381897579e-06,1.9727662703417082e-07
1861,4.9810008704298525e-06,2.419289444333117e-07
1862,5.571580572905077e-06,2.769525639934045e-07
1863,5.035576748468884e-06,2.1476869882519622e-07
