year,les_DET yeux_NOUN,les_DET cieux_NOUN
1800,0.0001025060491883778,9.294149890592962e-06
1801,9.941199050444993e-05,6.945909746036705e-06
1802,0.00010179487208006321,6.6038662964729156e-06
1803,0.00010422807645227294,7.582918726711796e-06
1804,9.626870951251476e-05,1.1152991419294267e-05
1805,9.488104592492164e-05,1.2005472967757669e-05
1806,8.220249617352238e-05,9.642064782156012e-06
1807,7.849054895814334e-05,8.461150628136238e-06
1808,9.373841407978034e-05,8.744779449898488e-06
1809,8.105401502689347e-05,6.643808802664353e-06
1810,0.00010389929093435057,9.227120074228878e-06
1811,8.05924919404788e-05,8.804853621313669e-06
1812,7.7773121915925e-05,6.569333834249846e-06
1813,8.904159142275603e-05,8.152727531296478e-06
1814,8.399110367918183e-05,6.460128162188994e-06
1815,8.04446948450277e-05,6.985808994386389e-06
1816,9.330209718427795e-05,6.123109471900534e-06
1817,9.829787632043008e-05,7.451195926932996e-06
1818,9.738409494275402e-05,8.675040731986883e-06
1819,9.329504973720759e-05,7.336824296544364e-06
1820,9.070263513422105e-05,8.724237062551765e-06
1821,9.514265093457652e-05,8.01541756345614e-06
1822,8.882996121428732e-05,8.420514632234699e-06
1823,8.762978677623323e-05,7.249939244502457e-06
1824,8.590376751271833e-05,9.820702047136365e-06
1825,9.316863247477158e-05,9.243953982718267e-06
1826,8.825072131912748e-05,7.5211377179584815e-06
1827,7.953215936140623e-05,5.707335404281366e-06
1828,8.569039050598803e-05,6.612312091647254e-06
1829,9.187444129565847e-05,5.736312104431818e-06
1830,9.189216780214338e-05,6.743239566731063e-06
1831,8.978508049040101e-05,6.241159638875615e-06
1832,9.637397261030856e-05,6.92328548268506e-06
1833,8.695482347320649e-05,8.741005629531173e-06
1834,9.190312744067342e-05,7.76259601309448e-06
1835,9.674777379586885e-05,7.732501160262473e-06
1836,9.116495948546799e-05,8.11664988020766e-06
1837,8.948613253778603e-05,6.118769334761964e-06
1838,8.266533609457838e-05,6.676373843106376e-06
1839,8.271194860753894e-05,5.858856411578017e-06
1840,8.449455845038756e-05,7.067169505603488e-06
1841,8.343117337972217e-05,7.915252353996038e-06
