year,petites_ADJ heures_NOUN,petites_ADJ soeurs_NOUN
1800,6.602745550310374e-08,9.432493897065797e-09
1801,2.3811826510566902e-08,0.0
1802,5.147032311469957e-08,4.475680270843441e-09
1803,8.776526527753958e-08,1.950339223455444e-09
1804,4.6965168420953773e-08,0.0
1805,4.5486043376286034e-08,0.0
1806,6.62783872229511e-08,2.881669125542885e-09
1807,5.693910143378389e-08,0.0
1808,3.852325791697808e-08,0.0
1809,8.13250982112379e-08,0.0
1810,1.0296557562128328e-07,7.020380277111826e-09
1811,4.512738271955641e-08,5.0141535368197765e-09
1812,1.0935554106694667e-07,2.6672082320544632e-09
1813,3.738464116054274e-08,2.0130190847567064e-08
1814,7.866692719460389e-08,0.0
1815,3.776112933451259e-08,1.3486118000116676e-08
1816,9.270415546325239e-09,2.3176038865813098e-09
1817,7.47299238046395e-08,1.556873407970727e-09
1818,4.410835607870922e-08,1.1921177378582115e-09
1819,4.5544620519422097e-08,0.0
1820,3.0852850940732424e-08,1.1866481131050932e-09
1821,6.015507825196664e-08,9.86148829262845e-10
1822,6.115625694746996e-08,4.010246357211145e-09
1823,8.597937750653983e-08,3.9530747564242574e-09
1824,6.652679207519441e-08,1.6842225392110777e-09
1825,1.0654585924640969e-07,8.805443041381977e-10
1826,6.077509140389736e-08,1.7615968683770689e-09
1827,4.792982072343577e-08,2.7651818612639545e-09
1828,8.071625234862267e-08,2.7516904310687096e-09
1829,9.430493330686573e-08,2.571952872898464e-09
1830,7.410153379794338e-08,1.0436835840010872e-09
1831,5.1450980143030733e-08,1.5591206103948707e-09
1832,5.141388514928735e-08,1.3529969367098715e-09
1833,5.096796451553587e-08,0.0
1834,5.414027937078458e-08,9.334530925997342e-10
1835,6.731148260996633e-08,0.0
1836,9.745087758972204e-08,0.0
1837,6.609996494599812e-08,4.174734558048954e-09
1838,1.1929986065695175e-07,6.312161904276081e-10
1839,2.7965900373239094e-08,0.0
1840,5.7327198876855334e-08,3.1848443882154243e-09
1841,1.5794549357295296e-07,0.0
1842,7.647422428647133e-08,6.708265054555795e-09
1843,9.569195663639007e-08,2.3627644285539873e-09
1844,2.31068428446779e-07,2.1954245643662773e-09
1845,7.979725780149494e-08,0.0
1846,1.3992258418582537e-07,5.854501328173001e-10
1847,2.5402082837189255e-07,2.1572894581822766e-09
1848,1.7538583763077042e-07,3.218088684420195e-09
1849,1.4831564598694058e-07,1.6758829879393033e-09
1850,8.689914565707113e-08,1.3577992064028876e-09
1851,1.1415506251388763e-07,3.8696632564949596e-09
1852,1.6927418156065244e-07,7.812654523320361e-09
1853,1.1048074144426323e-07,4.180352286553557e-09
1854,9.040456216968806e-08,1.1950028522278444e-08
1855,1.6557643434111924e-07,3.1841622671890946e-09
1856,1.698118081705502e-07,7.248064703979651e-09
1857,1.098339567073836e-07,7.810414592857029e-09
1858,1.3849102992180562e-07,4.8936759644568895e-09
1859,1.0591720656094594e-07,5.601390684617513e-09
1860,8.605105702996774e-08,1.0069804601275933e-08
1861,7.026786064123769e-08,4.715963730639317e-10
1862,1.0752807466651859e-07,3.614389038064658e-09
1863,1.4184723495791474e-07,3.995696662428827e-09
1864,1.5247235074511423e-07,1.2466292886870178e-08
1865,1.7132912932815714e-07,7.530950973944073e-09
1866,1.1434190272385791e-07,6.811858188626729e-09
1867,1.3879041027564654e-07,1.1161466417775046e-08
1868,1.1262912824605564e-07,3.8037030858362186e-08
1869,1.1476269978771825e-07,1.2208797861568144e-08
1870,7.454263517558957e-08,9.747882945276842e-09
1871,9.983906723576297e-08,9.559059765962274e-09
1872,1.197373219463671e-07,5.442605477412599e-09
1873,8.200825973858628e-08,1.7958012854535355e-09
1874,8.185214617206782e-08,4.1822263985302754e-09
1875,1.035596381981918e-07,5.149374482371627e-09
1876,1.2031569562864775e-07,6.650616057868319e-09
1877,1.304996176676454e-07,1.2369631874342701e-08
1878,7.730033280139992e-08,4.8312708278430705e-09
1879,9.774920661786979e-08,3.054662633950045e-09
1880,1.3477476823453571e-07,5.776061628992579e-09
1881,1.122573742851074e-07,6.972507682334594e-09
1882,9.716862048314567e-08,1.2645231750596508e-08
1883,8.847074539630739e-08,1.3902545170640934e-08
1884,1.782458118881891e-07,4.621187876807653e-09
1885,7.863675577368667e-08,9.668453537781119e-09
1886,1.3294135481345393e-07,7.098810261840782e-09
1887,3.780247401774517e-07,9.140494638959495e-09
1888,6.911269867515557e-08,1.2047168151951837e-08
1889,1.2342319521962963e-07,8.771191606360418e-09
1890,1.160126410493234e-07,1.1797895882459386e-08
1891,1.1091143115038449e-07,1.338586197441316e-08
1892,9.402768474942036e-08,6.8953636134239105e-09
1893,9.915050580566742e-08,1.1700991731089516e-08
1894,1.2224986267739268e-07,1.3233232731835187e-08
1895,1.4625233202281152e-07,1.3240951668436196e-08
1896,1.3268315002257225e-07,2.0049898574736602e-08
1897,1.0604619071763466e-07,1.631479784602874e-08
1898,9.109951082386658e-08,8.487532565659706e-09
