year,quels_DET sentiers_NOUN
1800,6.288328968651058e-09
1801,2.3811825844433088e-09
1802,6.713520406265161e-09
1803,0.0
1804,0.0
1805,0.0
1806,0.0
1807,2.8469551160981155e-09
1808,2.039466640013643e-08
1809,0.0
1810,7.020380277111826e-09
1811,0.0
1812,2.400487453257938e-08
1813,0.0
1814,2.2026739543434815e-08
1815,2.4275012222574333e-08
1816,0.0
1817,0.0
1818,0.0
1819,3.1053151161586356e-09
1820,2.3732962262101864e-09
1821,5.9168927535324656e-09
1822,1.0025615893027862e-08
1823,0.0
1824,8.421112696055388e-10
1825,8.805443041381977e-10
1826,1.3211976401805714e-08
1827,9.217273055917019e-10
1828,1.1006761724274838e-08
1829,2.571952817387313e-09
1830,3.1310507520032616e-09
1831,1.5591206103948707e-09
1832,1.3529969367098715e-09
1833,4.6334514003376626e-09
1834,4.667265462998671e-09
1835,1.4369867074037757e-08
1836,2.016224964762614e-09
1837,2.0873671680021744e-09
1838,5.04972974546547e-09
1839,2.7965900706306e-09
1840,1.9109065441114126e-09
1841,5.778493683550323e-09
1842,1.2745703159566801e-08
1843,1.6539351332944818e-08
1844,1.3172546831086152e-08
1845,7.2542965523503256e-09
1846,8.196301637397596e-09
1847,5.9325460100012606e-09
1848,4.022610855525244e-09
1849,1.0893239643650077e-08
1850,1.0862393651223101e-08
1851,2.579775504329973e-09
1852,6.510545214055696e-09
1853,1.4332636633085372e-08
1854,9.352196350675968e-09
1855,4.2455496895854594e-09
1856,2.5885946719483854e-09
1857,1.6108980149809327e-08
1858,7.829881631948865e-09
1859,1.680417205385254e-08
1860,1.785101666484934e-08
1861,2.1693433105429705e-08
1862,1.355395884417021e-08
1863,2.097740825490746e-08
1864,1.965838514195184e-08
1865,1.2237795665726026e-08
1866,1.1677471434268227e-08
1867,8.73506067478047e-09
1868,2.9639244392143382e-09
1869,1.3185501579471293e-08
1870,9.747882501187632e-09
1871,4.248470908407853e-09
1872,2.7213027387062994e-08
1873,1.0176207432266438e-08
1874,1.1949218503559678e-08
1875,6.293679799540541e-09
1876,1.7533442031592017e-08
1877,5.566334504436554e-09
1878,1.6305540029293297e-08
1879,1.0996785704264767e-08
1880,1.0268554451187129e-08
1881,1.0458761079412682e-08
1882,7.320923423037584e-09
1883,5.055470986281563e-09
1884,1.3203393933736152e-08
1885,1.933690763067375e-09
1886,1.0325542199041138e-08
1887,5.223139698529167e-09
1888,1.268122939990235e-09
1889,3.132568426877924e-09
1890,5.243509182406569e-09
1891,8.92390783491237e-09
1892,5.641661360300532e-09
1893,3.6950498771837204e-09
1894,4.411077725308132e-09
1895,2.7083764564395096e-08
1896,9.435246361988447e-09
1897,2.330685422435863e-09
1898,7.921697076085366e-09
1899,3.3165470370022376e-09
1900,6.7483690857628176e-09
1901,1.676621730339889e-09
1902,3.4371988033576883e-09
1903,3.7801539676252105e-09
1904,6.449550227216605e-09
1905,2.0643036169332163e-09
1906,1.0288369267641428e-08
1907,1.2857107989372452e-08
1908,5.40252820258047e-09
1909,1.1001967337165297e-08
1910,4.809735720812114e-09
1911,4.25629931299909e-09
1912,1.146072631241779e-08
1913,7.42418571064718e-09
1914,7.36641797560722e-09
1915,1.1780761921542648e-09
1916,9.888715624128963e-09
1917,1.6449636319748606e-08
1918,9.189101035644853e-09
1919,4.603924352863942e-09
1920,3.028892692213958e-09
1921,1.8931868628335735e-08
1922,4.426761179843197e-09
1923,1.6985516992917837e-08
1924,9.02413699321869e-09
1925,1.0998177923937646e-09
1926,8.916910432255065e-09
1927,1.4493992672726108e-08
1928,1.82816659588525e-08
1929,1.3368487872256196e-08
1930,1.3654684494213143e-08
1931,3.4216069977333063e-09
1932,2.1919073223131136e-09
1933,1.1470662197865522e-09
1934,1.1981580172459871e-08
1935,0.0
1936,2.424942913137329e-09
1937,1.3850230295986421e-08
1938,5.186085783037697e-09
1939,1.5294050470515685e-09
1940,2.028626333583361e-08
1941,0.0
1942,9.102635090130207e-09
1943,2.322588166236983e-08
1944,1.2852744646352221e-08
1945,4.357008087652048e-09
1946,9.744772988540262e-09
1947,1.311295805273005e-08
1948,8.697510267552389e-09
1949,3.9268033269479474e-09
1950,4.2541445921528975e-09
1951,1.0661401539380222e-08
1952,1.2653764258629963e-08
1953,5.386913581872932e-09
1954,3.9090144454689835e-09
1955,2.1586897158698548e-08
1956,7.849027205963921e-09
1957,4.417518850718949e-09
1958,5.790570245522986e-09
1959,5.4255236969780185e-09
1960,8.305000243069571e-09
1961,2.779263708063695e-09
1962,8.878739188311613e-09
1963,7.759263453976928e-09
1964,3.041984220075733e-09
1965,3.830430195250756e-09
1966,9.416427193542631e-09
