year,quelques_DET ailes_NOUN,quelques_DET selles_NOUN
1800,0.0,2.5153315874604232e-08
1801,0.0,1.2382149350287364e-07
1802,1.1189200677108602e-08,1.2531904758361634e-07
1803,0.0,1.5602713343554342e-07
1804,0.0,2.4965695066825333e-07
1805,1.1371510844071508e-08,1.6204403152642044e-07
1806,0.0,4.8988375134229045e-08
1807,0.0,9.394951661079176e-08
1808,2.2660739951163578e-09,5.891792298484688e-08
1809,0.0,1.400598961254218e-07
1810,2.3401267590372754e-09,1.4742798271072388e-07
1811,0.0,7.270522672797597e-08
1812,0.0,1.0935553973467904e-07
1813,0.0,2.013019200219901e-07
1814,0.0,1.6992056428577484e-07
1815,0.0,2.50841803328683e-07
1816,0.0,6.257530316133852e-08
1817,0.0,9.029865566390072e-08
1818,1.1921177378582115e-09,7.867976847819591e-08
1819,0.0,6.521161566297451e-08
1820,2.3732962262101864e-09,7.47588275729072e-08
1821,1.97229765852569e-09,7.297501269931672e-08
1822,0.0,6.416394171537831e-08
1823,0.0,1.0376821091284683e-07
1824,0.0,7.494790565942822e-08
1825,0.0,1.0654586279912337e-07
1826,4.403992281964975e-09,1.2331177856594877e-07
1827,0.0,7.650336542042169e-08
1828,0.0,8.6219628769868e-08
1829,0.0,1.3374153962075752e-07
1830,0.0,1.4924675095784323e-07
1831,3.1182412207897414e-09,1.9800831996263923e-07
1832,2.705993873419743e-09,2.3000948190521342e-07
1833,1.1583628500844156e-09,1.0077757051085712e-07
1834,5.600718555598405e-09,8.587768185464029e-08
1835,7.563087933704082e-10,1.187404805591541e-07
1836,2.016224964762614e-09,8.80418258297766e-08
1837,1.0436836284100082e-08,1.4263676195724884e-07
1838,4.418513555037862e-09,8.963270192730022e-08
1839,1.3982950353153e-09,1.608039283951257e-07
1840,1.2739377330817092e-09,8.471685930544481e-08
1841,6.420548537278137e-09,1.3418947153454042e-07
1842,4.695785538189057e-09,1.1672381550198452e-07
1843,8.269675610961258e-09,9.982679860520705e-08
1844,3.841992946007622e-09,8.617041136194104e-08
1845,2.2320911785556063e-09,6.02664629312244e-08
1846,7.610851726624901e-09,6.264316354531729e-08
1847,5.393223645455691e-10,5.8786138623645456e-08
1848,1.6090443422100975e-09,7.321152084571736e-08
1849,0.0,1.8686095337727693e-07
1850,0.0,5.5669765686161554e-08
1851,2.579775504329973e-09,5.353034171484694e-08
1852,5.859490670445666e-09,7.356916542633485e-08
1853,1.4332636411040767e-08,7.226037346264036e-08
1854,2.5458755104068587e-08,1.028741536401867e-07
1855,1.0613874223963649e-09,7.960405667972736e-08
1856,2.0708756931497874e-09,3.831119899100344e-08
1857,1.122747050885664e-08,3.612316845647001e-08
1858,4.404308473482388e-09,5.43198036551118e-08
1859,4.073738679721828e-09,2.9025388315062628e-08
1860,1.373155145145688e-09,8.422018415998878e-08
1861,5.187560159214399e-09,4.3386867876193946e-08
1862,0.0,6.551080394823217e-08
1863,9.989241656072068e-10,4.495158822948042e-08
1864,4.794727948009836e-10,5.130359026495057e-08
1865,1.4120533631256649e-09,5.459939433904992e-08
1866,4.865612801552288e-09,5.060237384668653e-08
1867,1.94112459439566e-09,6.502767568861145e-08
1868,3.457911734727759e-09,8.249589589226503e-08
1869,2.441759683335931e-09,5.7137172326804375e-08
1870,1.1468097582678638e-09,3.383088831299119e-08
1871,0.0,4.460894498237167e-08
1872,1.2094678591978436e-09,2.7817760317461193e-08
1873,8.380406590902112e-09,5.207823949859858e-08
1874,4.779687312606029e-09,3.4055271935784504e-08
1875,1.1443054281912168e-09,4.1767146796711785e-08
1876,9.069021977836655e-09,2.176565305767042e-08
1877,8.040260901509555e-09,2.040989344198607e-08
1878,6.039088673581716e-10,1.6305539918270995e-08
1879,3.665595160740054e-09,1.8938908663557186e-08
1880,3.2089231272180996e-09,3.1447447090826586e-08
1881,6.972507571312292e-10,3.346803595372094e-08
1882,9.983077475794744e-09,2.928369480237336e-08
1883,1.0742875922176154e-08,2.1485752121908064e-08
1884,5.941527270181268e-09,2.5746618170785496e-08
1885,1.2891271383708158e-08,3.3517306263775026e-08
1886,5.162771099520569e-09,2.839524071429622e-08
1887,3.264462256069578e-09,1.5669419317632105e-08
1888,6.340614699951175e-10,2.2192151227784507e-08
1889,3.132568426877924e-09,2.0674951528576457e-08
1890,6.554386478008212e-10,5.964491833765351e-08
1891,6.374220040683554e-10,2.995883452427961e-08
