year,veux_VERB aider_VERB,veux_VERB céder_VERB
1800,3.144164484325529e-09,0.0
1801,2.3811825844433088e-09,2.1430643926123594e-08
1802,2.2378401354217203e-09,1.5664880947952042e-08
1803,3.900678446910888e-09,3.900678446910888e-09
1804,2.9662210465630778e-08,4.943701892301533e-09
1805,2.842877711017877e-09,2.842877711017877e-09
1806,0.0,0.0
1807,8.540865792383556e-09,0.0
1808,4.5321479902327155e-09,0.0
1809,6.7770917766551975e-09,0.0
1810,0.0,0.0
1811,1.7549536934780008e-08,0.0
1812,5.3344164641089264e-09,4.800974906515876e-08
1813,5.751483289628823e-09,0.0
1814,3.1466771410748606e-09,0.0
1815,0.0,5.394447111228828e-09
1816,1.8540831092650478e-08,0.0
1817,1.71256075987003e-08,7.784366928831332e-09
1818,1.1921177378582115e-09,1.0729059418679299e-08
1819,1.035105001712111e-09,1.035105001712111e-09
1820,4.746592452420373e-09,5.933240565525466e-09
1821,1.972297702934611e-08,1.2819934447350079e-08
1822,9.023054303725075e-09,1.0025615893027862e-09
1823,9.882686669016039e-09,1.9765373782121287e-09
1824,9.263223965660927e-09,6.736890156844311e-09
1825,2.0252519661312363e-08,8.805443041381977e-10
1826,7.927186018719112e-09,0.0
1827,4.608636583469661e-09,1.013900075008678e-08
1828,2.7516904310687096e-09,2.109629271274116e-08
1829,4.286587973467704e-09,1.3717081692732336e-08
1830,2.0873671680021744e-09,4.174734336004349e-09
1831,0.0,1.2472964883158966e-08
1832,8.117981842303834e-09,2.705993873419743e-09
1833,2.3167257001688313e-09,1.1583628500844156e-09
1834,1.0267983796552471e-08,3.733812370398937e-09
1835,1.5126175867408165e-09,6.806779140333674e-09
1836,1.4113575197427508e-08,8.064899859050456e-09
1837,1.2524203896191466e-08,5.5663127440652715e-09
1838,1.3255539776935166e-08,1.199310784016916e-08
1839,1.3982950353153e-09,1.4682098203877558e-08
1840,3.1848443882154243e-09,7.0066574764382494e-09
1841,6.420548537278137e-09,5.1364388298225094e-09
1842,2.0124795163667386e-09,2.2137275124123335e-08
1843,2.3627644285539873e-09,3.5441467538532834e-09
1844,3.2931368743049916e-09,3.2931368743049916e-09
1845,9.48638767539478e-09,6.138250796539069e-09
1846,4.0981511517657054e-09,2.3418005312692003e-09
1847,5.9325460100012606e-09,5.3932236454556914e-09
1848,8.045221711050488e-10,8.04522137798358e-09
1849,1.6758829879393033e-09,8.379414939696517e-10
1850,2.0366988096043315e-09,6.1100964288129944e-09
1851,1.2898877521649865e-09,3.8696632564949596e-09
1852,5.208436348880241e-09,6.510545436100301e-10
1853,3.5831591027601917e-09,1.0152284346531815e-08
1854,4.1565315633818045e-09,8.313063126763609e-09
1855,3.1841622671890946e-09,2.1227748447927297e-09
1856,8.28350277259915e-09,6.212626857404757e-09
1857,5.857811125054013e-09,3.905207268672939e-09
1858,7.829881631948865e-09,1.2723557318849998e-08
1859,3.055304009791371e-09,1.1202780925145817e-08
1860,5.034902272882391e-09,9.15436793036406e-09
1861,4.2443675241088386e-09,6.6023493339173456e-09
1862,5.421583626485926e-09,8.132375661773494e-09
1863,8.490855130105501e-09,1.4983863039219614e-09
1864,1.2466292886870178e-08,5.753673537611803e-09
1865,3.765475486972036e-09,4.706844247692743e-09
1866,1.216403244796993e-08,9.244664589402873e-09
1867,3.396968040192405e-09,2.91168689159349e-09
1868,4.44588676984381e-09,9.87974813071446e-10
1869,5.860222973552709e-09,3.906815315701806e-09
1870,3.4404292748035914e-09,4.587239033071455e-09
1871,1.3807530230280918e-08,0.0
1872,2.4189357183956872e-09,3.0236697590169115e-09
1873,1.1373408881354408e-08,1.1373408881354408e-08
1874,2.3898437007119355e-08,7.169530746864439e-09
1875,1.2015206607429718e-08,1.1443054281912168e-09
1876,2.418405919968336e-09,6.04601479992084e-10
1877,6.184816214727107e-09,3.0924081073635534e-09
1878,4.22736201599605e-09,6.039088784604019e-09
1879,3.0546627449723474e-09,9.774920428640144e-09
1880,3.2089231272180996e-09,2.5671385017744797e-09
1881,2.7890030285249168e-09,4.183504653809678e-09
1882,1.3310770263785798e-08,1.0648616211028639e-08
1883,2.211768546089843e-08,1.8958017378167824e-09
1884,5.281357573494461e-09,5.941527270181268e-09
1885,7.7347630522695e-09,7.090199094506033e-09
1886,5.162771099520569e-09,1.2906927748801422e-09
1887,1.3057849024278312e-08,1.9586774424595887e-09
1888,3.804368819970705e-09,1.9021844099853524e-09
1889,1.0024218788373673e-08,1.8795409673089125e-09
1890,6.554386366985909e-09,1.9663159989136147e-09
1891,4.461953917456185e-09,6.374220040683554e-10
1892,4.387958441043338e-09,3.761107425503951e-09
1893,1.847525021858587e-09,3.079208221734575e-09
1894,5.041231432301174e-09,0.0
1895,1.8055843487019274e-09,1.8055843487019274e-09
1896,5.307326134129653e-09,1.179405795248556e-09
1897,1.2818770045441852e-08,2.9133566670225264e-09
1898,7.355861253444118e-09,5.092519295146758e-09
1899,8.291367592505594e-09,3.3165470370022376e-09
1900,8.30568502863116e-09,1.038210628578895e-09
1901,1.676621730339889e-09,4.470991132876634e-09
1902,3.437198747846537e-09,9.820567692386817e-10
1903,6.480264325148255e-09,3.2401321625741275e-09
1904,5.912087708281888e-09,5.912087708281888e-09
1905,7.741138396966107e-09,4.64468330463319e-09
1906,3.600929110447737e-09,5.144184522798412e-10
