year,devriez_VERB avoir_VERB,devriez_VERB savoir_VERB
1800,2.5153315874604232e-08,2.2009151834367913e-08
1801,9.048493865293494e-08,1.4287095950749062e-08
1802,6.713520406265161e-08,3.3567602031325805e-08
1803,4.290746247193056e-08,1.755305234496518e-08
1804,7.168367943677367e-08,3.213406074564773e-08
1805,1.9900143755080535e-08,8.528632911009026e-09
1806,6.627838899930794e-08,0.0
1807,2.2775640928784924e-08,1.7081731584767113e-08
1808,4.985362878073829e-08,1.1330369531492579e-08
1809,6.551188391767937e-08,1.581321384946932e-08
1810,9.594519667643908e-08,1.8721014072298203e-08
1811,5.515568801683912e-08,1.504245972228091e-08
1812,7.468182872116813e-08,2.1337665856435706e-08
1813,4.601186631703058e-08,2.0130190847567064e-08
1814,6.293354282149721e-09,0.0
1815,3.236668177919455e-08,8.091670444798638e-09
1816,2.7811246638975717e-08,1.8540831092650478e-08
1817,6.383181272440197e-08,1.556873407970727e-09
1818,4.768470773797162e-08,4.2916237674717195e-08
1819,6.521161566297451e-08,2.070210003424222e-09
1820,5.577246042776096e-08,2.1359666035891678e-08
1821,9.960103142248045e-08,1.8736827200882544e-08
1822,1.0627152846609533e-07,4.712039469723095e-08
1823,7.313188632451784e-08,5.929612356680991e-09
1824,6.652678763430231e-08,1.2631669044083083e-08
1825,6.516027895031584e-08,4.402721387464226e-08
1826,5.460950447400137e-08,1.4092774947016551e-08
1827,7.097300169789378e-08,5.530363722527909e-09
1828,5.228211819030548e-08,1.559291185060374e-08
1829,1.8860987438529264e-08,8.573175946935407e-09
1830,7.201416707403041e-08,4.174734158368665e-08
1831,2.8064171431196883e-08,4.2096257146795324e-08
1832,4.19429042608499e-08,1.2176972319366541e-08
1833,5.79181431703546e-08,3.59092489077284e-08
1834,3.9205030333278046e-08,3.173740381612333e-08
1835,8.24376584773745e-08,6.126101226300307e-08
1836,7.258410050781094e-08,3.629205025390547e-08
1837,6.192522761239161e-08,5.775049416456568e-08
1838,7.006499913586595e-08,2.4617431648721322e-08
1839,6.082583325905944e-08,3.425822825420255e-08
1840,3.4396318682183846e-08,3.630722389402763e-08
1841,4.4301785351308354e-08,1.4767261191650505e-08
1842,4.22620693996123e-08,3.7566284305512454e-08
1843,6.025049259505977e-08,4.371114314949409e-08
1844,6.75093048130293e-08,3.3480223038395707e-08
1845,5.636030309119633e-08,1.785672942844485e-08
1846,5.503231292891542e-08,1.8734404250153602e-08
1847,3.9909856752728956e-08,3.343798482546845e-08
1848,3.620349886546137e-08,2.252662056889676e-08
1849,3.016589289472904e-08,1.75967720394965e-08
1850,2.7155984128057753e-08,2.5119284430275002e-08
1851,3.353708066811123e-08,3.1602251482354404e-08
1852,3.6459056218518526e-08,2.9948509450150596e-08
1853,6.389966955566706e-08,2.508211416341055e-08
1854,8.832629561084104e-08,3.585008556683533e-08
1855,4.776243400783642e-08,2.3350523292720027e-08
1856,6.678573782892272e-08,1.7602443946884705e-08
1857,7.078187991282903e-08,3.221796163188628e-08
1858,6.704335930862726e-08,2.4468379322684086e-08
1859,4.53203412575931e-08,2.34239969643113e-08
1860,4.943358788978003e-08,4.7602711106264906e-08
1861,5.3761986862355116e-08,2.169343282787395e-08
1862,9.48777127973699e-08,2.0330938710344526e-08
1863,1.0488703594546678e-07,2.6970951694238465e-08
1864,5.274200631788517e-08,1.7740493518658695e-08
1865,8.284045804884954e-08,1.6003271596787272e-08
1866,7.93094869777633e-08,2.092213513549268e-08
1867,5.483676801532056e-08,1.7955402498159856e-08
1868,7.459210138449635e-08,1.5807597009143137e-08
1869,7.520619504930437e-08,4.541672637969896e-08
1870,3.669791226457164e-08,2.2362790730312554e-08
1871,2.0180236148803488e-08,4.779529660936532e-08
1872,3.688877114882416e-08,1.3908880269752899e-08
1873,4.6092235805872406e-08,1.616221290134945e-08
1874,4.779687401423871e-08,2.2106053876314036e-08
1875,4.63443683429432e-08,2.0597497041308088e-08
1876,5.501873445723504e-08,2.539326260375674e-08
1877,3.587193120324628e-08,2.5976227391311113e-08
1878,2.6571990829893366e-08,2.6571990829893366e-08
1879,3.421222061206208e-08,1.2829582729523281e-08
1880,2.9522093214495726e-08,2.9522093214495726e-08
1881,6.414706632540401e-08,2.2312024228199334e-08
1882,5.723631346654656e-08,1.9300616216355593e-08
1883,3.728409936343269e-08,4.92908434068795e-08
1884,3.4328824227713994e-08,2.706695667598069e-08
1885,3.996294140051759e-08,7.7347630522695e-09
1886,3.9366128135043255e-08,2.1296431285122708e-08
1887,3.9173546184656516e-08,2.154545164501087e-08
1888,3.360525724360741e-08,1.8387781963724592e-08
1889,3.132568338060082e-08,2.6313573542324775e-08
1890,3.867087983167039e-08,1.3764211992395303e-08
1891,3.888274235919198e-08,8.286486163910922e-09
1892,4.576013878931917e-08,2.570090096298827e-08
1893,3.571881634911733e-08,2.5249507373814595e-08
1894,3.465846631911518e-08,3.276800342177921e-08
1895,4.213030280197927e-08,2.8287487907618925e-08
1896,4.422771837653272e-08,2.6536630670648265e-08
1897,2.9133568446582103e-08,2.6220211779559577e-08
1898,3.451596342074481e-08,6.224190496340043e-09
1899,4.09040801230276e-08,2.266307141951529e-08
1900,3.8932899570909285e-08,2.491705508589348e-08
1901,4.5827658112784775e-08,1.397184767881754e-08
1902,3.928226988136885e-08,7.365425602756659e-09
1903,3.510143287144274e-08,1.674068350610014e-08
1904,3.3860139581065596e-08,9.674325340824907e-09
1905,4.3866453580676534e-08,1.3934049469810361e-08
1906,2.1091157265118454e-08,1.5432553013283723e-08
1907,2.3142794347563722e-08,1.902852098112362e-08
1908,4.7640472899956876e-08,1.6698722404839828e-08
1909,5.666013080940502e-08,1.4302557360679202e-08
1910,3.954671612405036e-08,1.870452770447173e-08
1911,4.203095471666529e-08,1.0640748726586935e-08
1912,4.0112542620818203e-08,1.5628263128064646e-08
1913,5.2499597558153255e-08,9.015082902408267e-09
1914,3.750176347239176e-08,7.366418142140674e-09
1915,4.005459075528961e-08,2.709575319670421e-08
1916,7.69122365795738e-09,4.504859418830165e-08
1917,4.276905585243185e-08,3.070598708632133e-08
1918,4.824278221349232e-08,3.445912710731136e-08
1919,6.169258170984904e-08,1.1970202606903513e-08
1920,3.7861159540852896e-08,2.4988365154854364e-08
1921,5.6038331308627676e-08,2.574734203619755e-08
1922,4.574319945049865e-08,2.87739485571592e-08
1923,3.715581797791856e-08,8.492758496458919e-09
1924,6.574728672603669e-08,7.734974438733389e-09
1925,5.829034321891413e-08,3.739380360912037e-08
1926,6.241837269271855e-08,2.1177662290483568e-08
1927,6.466550672712401e-08,3.5677519605314956e-08
1928,5.141718517620575e-08,2.9707706517001498e-08
1929,4.67897081080082e-08,8.912325100141061e-09
1930,3.571225093423891e-08,2.3107928015519974e-08
1931,4.334035708097872e-08,4.44808918587114e-08
1932,2.849479585620429e-08,1.753525857850491e-08
1933,2.982372038218273e-08,1.9500125958415992e-08
1934,2.036868629318178e-08,2.3963160344919743e-08
1935,3.8298509252854274e-08,1.555876849579363e-08
1936,6.062357016389797e-08,4.364897421282876e-08
1937,3.777335422228134e-08,2.1404900962807005e-08
1938,4.926781471681352e-08,2.463390735840676e-08
1939,5.199976982339649e-08,1.8352860564618823e-08
1940,8.114505334333444e-08,1.7750480196809804e-08
1941,5.312704587367989e-08,1.7709016475464523e-08
1942,4.8547388331598995e-08,4.8547388331598995e-08
1943,3.4838823381733164e-08,1.7419411690866582e-08
1944,7.069009200222354e-08,2.2492303131116387e-08
1945,9.367567344042982e-08,2.6142048525912287e-08
1946,5.986074569364064e-08,2.5057987684817817e-08
1947,8.46381809083141e-08,2.5033829231801974e-08
1948,7.827759418432834e-08,4.1313175103141475e-08
1949,7.362756093698408e-08,3.435953033203987e-08
1950,9.359118280372059e-08,3.19060831088791e-08
1951,7.569595084078173e-08,4.051332780363737e-08
1952,4.74516177462192e-08,2.8470971358274255e-08
1953,7.110725874781565e-08,2.8011951869189033e-08
1954,7.231676590890856e-08,2.9317607896928166e-08
1955,6.100645322248965e-08,3.472674947602172e-08
1956,7.761816078755146e-08,2.441919733087161e-08
1957,9.276789825207743e-08,3.8874166108371355e-08
1958,8.520410688106494e-08,2.5643954515430778e-08
1959,9.145882273742245e-08,3.797866554577922e-08
1960,6.851625045101173e-08,3.252791813679323e-08
1961,6.878677538679767e-08,3.543561177821175e-08
1962,7.673767044025226e-08,4.756467220090599e-08
1963,7.500621990175205e-08,3.103705381590771e-08
1964,6.935724172763003e-08,5.353892262860427e-08
