year,jeunes_ADJ hommes_NOUN
1800,6.445537068522356e-07
1801,2.3216529261294028e-06
1802,2.0789535142284876e-06
1803,1.0921899462612572e-06
1804,8.57732270986844e-07
1805,8.727634508431947e-07
1806,7.866956934776681e-07
1807,6.149423086299066e-07
1808,8.044562602727012e-07
1809,9.759012300492031e-07
1810,8.16704234463117e-07
1811,1.180833169911466e-06
1812,5.681153538716899e-07
1813,4.946275566908298e-07
1814,1.0887502703837981e-06
1815,8.010753764775558e-07
1816,5.029200451645011e-07
1817,5.52690063493344e-07
1818,1.099132530102409e-06
1819,1.0702985262511788e-06
1820,8.377735412068432e-07
1821,7.938498080006795e-07
1822,1.1980610992168295e-06
1823,7.056238363611911e-07
1824,6.871627862281571e-07
1825,1.2424480297923424e-06
1826,9.257191595501979e-07
1827,5.631753878243551e-07
1828,6.549023225943529e-07
1829,5.77832069748041e-07
1830,1.0864746116112656e-06
1831,1.432831846059912e-06
1832,1.727777103610606e-06
1833,1.928674194573432e-06
1834,1.8398360985827367e-06
1835,2.1343033864695826e-06
1836,1.9349040023541875e-06
1837,1.8535821730836233e-06
1838,1.6651483250029742e-06
1839,1.3626385637621752e-06
1840,1.856764288099555e-06
1841,1.8850730540975746e-06
1842,2.088953772627633e-06
1843,1.743129439901736e-06
1844,1.862817665454486e-06
1845,2.373829062207733e-06
1846,1.943109019464373e-06
1847,1.5057880169422333e-06
1848,1.5197423550716849e-06
1849,1.3633307585081411e-06
1850,1.5411021561106963e-06
1851,1.4356450961372502e-06
1852,1.3183854488119096e-06
1853,1.6572111007917556e-06
1854,1.2407247167445234e-06
1855,1.4456097225945541e-06
1856,1.284460692474454e-06
1857,1.5327938154285903e-06
1858,1.4367833127693075e-06
1859,1.454324669580842e-06
1860,1.5608197223571096e-06
1861,1.606728826430981e-06
1862,1.4710563158715217e-06
1863,1.5343475547879848e-06
1864,1.6091107024607254e-06
1865,1.4186428947127183e-06
1866,1.5020146673094814e-06
1867,1.4335204863158424e-06
1868,1.5007337257344489e-06
1869,1.4250108524294092e-06
1870,1.4203238549725938e-06
1871,1.3754424768031015e-06
1872,1.6388289143520751e-06
1873,1.3761824302349623e-06
1874,1.345481970727036e-06
1875,1.2558752287006314e-06
1876,1.2315732402790047e-06
1877,1.2907710473797351e-06
1878,1.2621695670844701e-06
1879,1.5927011185468132e-06
1880,1.2623903273834003e-06
1881,1.2501705723977352e-06
1882,1.4814886899472413e-06
1883,1.375088122923529e-06
1884,1.3784343142475564e-06
1885,1.2175806016756496e-06
1886,1.442349141456134e-06
1887,1.3984956872548082e-06
1888,1.419029559635021e-06
1889,1.5355850662146509e-06
1890,1.456384699061175e-06
1891,1.4941171588844782e-06
1892,1.4812494431026835e-06
1893,1.4909526280248997e-06
1894,1.608152789600581e-06
1895,1.7580372855263704e-06
1896,1.8740758100932453e-06
1897,1.6944082918968206e-06
1898,1.6878872646231002e-06
1899,1.7561116845143943e-06
1900,1.7353690466848093e-06
1901,1.6196165208981483e-06
1902,1.6140103475947853e-06
1903,1.7199701893844122e-06
1904,1.5672407309708092e-06
1905,1.5028129780603194e-06
1906,1.6615715630052819e-06
1907,1.791766602643463e-06
1908,1.9439278666766313e-06
1909,1.7927704973885739e-06
1910,1.9399266726338737e-06
1911,1.932891889211419e-06
1912,1.9311324326309887e-06
1913,2.130211048445574e-06
1914,2.1389398607851717e-06
1915,2.6459591495608947e-06
1916,2.84245653414672e-06
1917,2.9740942935063686e-06
1918,2.63842063397135e-06
1919,3.2153805520351852e-06
1920,2.795667979782479e-06
1921,2.4634147770541404e-06
1922,2.4524256581059944e-06
1923,2.156099160544045e-06
1924,2.1000455872055568e-06
1925,2.386604636583911e-06
1926,2.3005630058747784e-06
1927,2.3803594864091338e-06
1928,2.074968977083813e-06
1929,2.014185447762884e-06
1930,1.771957888863085e-06
1931,1.8054679422618847e-06
1932,1.7995558758698849e-06
1933,1.8272764492621718e-06
1934,1.6822138650951501e-06
1935,1.9292873858489656e-06
1936,1.8975178068814103e-06
1937,1.8483761667908993e-06
1938,1.8721769272644906e-06
1939,2.0616379341475977e-06
1940,1.808013266213493e-06
1941,2.449747153576709e-06
1942,2.3606167012246715e-06
1943,2.403878810675053e-06
1944,2.5287774647608785e-06
1945,2.452995602197916e-06
1946,2.058931293902333e-06
1947,2.0527739046372062e-06
1948,1.9786835139257164e-06
1949,1.6198063548245045e-06
1950,2.0005114080845487e-06
1951,1.908390954596939e-06
1952,1.538486895213964e-06
1953,1.7356636288212712e-06
1954,1.7961921532361202e-06
1955,1.794528206033874e-06
1956,1.6831803293371195e-06
1957,1.4895873734488418e-06
1958,1.6503125630507043e-06
1959,1.518371547604147e-06
1960,1.558571684157073e-06
1961,1.655746318718343e-06
1962,1.64954284631591e-06
1963,1.7038050383888503e-06
1964,1.8452676098235088e-06
1965,1.6925030408287967e-06
1966,1.6927412165301803e-06
1967,1.5249528093619347e-06
1968,1.9146905909650513e-06
1969,1.451999951385119e-06
1970,1.5428722495158809e-06
1971,1.5656697609500725e-06
1972,1.3989910083722634e-06
1973,1.264728899830203e-06
1974,1.2955691639504607e-06
1975,1.1668553456800623e-06
1976,1.2415494046180697e-06
1977,1.4063138795705754e-06
1978,1.5041577388075211e-06
1979,1.241788800676602e-06
1980,1.453693055708527e-06
1981,1.5257225278730857e-06
1982,1.6176750996521605e-06
1983,1.5624091442845156e-06
1984,1.5222397067304883e-06
1985,1.696387380789588e-06
1986,1.5729529643238038e-06
1987,1.6505316118298197e-06
1988,1.5597035902814582e-06
1989,1.5849697341252522e-06
1990,1.4569692794452749e-06
1991,1.6124890382940293e-06
1992,1.599536826546455e-06
1993,1.7758698991343635e-06
1994,1.8973910567154917e-06
1995,1.836584040404432e-06
1996,1.9334570637852266e-06
1997,1.9970736211405438e-06
1998,2.1265855245644616e-06
1999,1.9459916718034265e-06
2000,2.1869255775186502e-06
2001,2.2690295136129635e-06
2002,2.1831626781931845e-06
2003,2.7193338674180723e-06
2004,2.518659620420749e-06
2005,2.5648853476667455e-06
2006,2.7659866832507873e-06
2007,2.588822040294758e-06
2008,2.6975137732421217e-06
2009,2.796544810834689e-06
2010,2.5508482011105116e-06
2011,2.6603373548539366e-06
2012,2.9011040645343655e-06
2013,3.091187374515414e-06
2014,3.130800553918789e-06
2015,2.8744548750125887e-06
2016,2.8352503012030184e-06
2017,3.093950361687803e-06
2018,3.2227031123710503e-06
2019,3.1601637076050793e-06
