year,aux_ADP hommes_NOUN,aux_ADP sommes_NOUN
1800,1.977050669665914e-05,2.8297480980654655e-07
1801,1.9242335838498548e-05,2.428806287202434e-07
1802,2.065973967546597e-05,3.423895407195232e-07
1803,1.7359969206154346e-05,3.9786920069673215e-07
1804,2.1552068574237637e-05,5.1661686750748e-07
1805,1.889376471808646e-05,3.809456172731984e-07
1806,1.6180572856683284e-05,5.014104544898146e-07
1807,1.7648275388637558e-05,9.024847713590134e-07
1808,1.5697094568167813e-05,7.659330094611505e-07
1809,1.5223607078951318e-05,4.4502900209408836e-07
1810,1.9738969058380462e-05,4.7036547812240315e-07
1811,1.3375254638958722e-05,5.440356858343876e-07
1812,1.3448064237309154e-05,5.201055763848217e-07
1813,1.463464923290303e-05,3.9397661488749236e-07
1814,1.6944855815381743e-05,4.468281491476489e-07
1815,1.7453734471928328e-05,2.454473531088297e-07
1816,2.10276193683967e-05,2.75794860726819e-07
1817,2.146305632777512e-05,2.522134885385441e-07
1818,2.3359547412837856e-05,3.1471909256453046e-07
1819,2.2739186533726752e-05,2.4739010884289314e-07
1820,2.327847687411122e-05,3.9396716910999885e-07
1821,2.4629067411297e-05,3.402213353265182e-07
1822,2.0738989405799657e-05,3.4989399466667237e-07
1823,1.8546837964095175e-05,3.231638633360845e-07
1824,1.8209813788416795e-05,3.8652906120262287e-07
1825,1.947235614352394e-05,3.8039514138610286e-07
1826,1.8491482478566468e-05,3.840281128653089e-07
1827,1.7875057892524637e-05,4.02794836318332e-07
1828,1.7230167941306718e-05,4.2559476742809466e-07
1829,1.7946229490917176e-05,3.8150632131195295e-07
1830,1.814026472857222e-05,4.686139263299083e-07
1831,2.104033228533808e-05,3.5392037034398527e-07
1832,1.7139765986939892e-05,4.356650250558758e-07
1833,1.8765478671411984e-05,5.224216655941305e-07
1834,2.068158755719196e-05,4.900628827186893e-07
1835,1.9442430129856803e-05,3.6302822081779595e-07
1836,2.1712727175327018e-05,3.9585218408744183e-07
1837,1.8519122022553347e-05,4.731365892407524e-07
1838,1.8282546079717577e-05,4.5447565710787785e-07
1839,1.720951695460826e-05,4.97793041454031e-07
1840,1.927276753121987e-05,5.305950594447495e-07
1841,1.8356347936787643e-05,4.89245826074125e-07
1842,1.9408353182370774e-05,4.4274550559109116e-07
1843,2.4443388610961847e-05,4.6664598585266504e-07
1844,2.0980574845452793e-05,4.82444542093674e-07
1845,2.036448313447181e-05,3.6885305521039413e-07
1846,2.0007757484563626e-05,3.2492483770241165e-07
1847,1.8733362594502978e-05,5.312325432882403e-07
1848,2.0034211047459394e-05,5.953464210506354e-07
1849,1.761688145052176e-05,5.605828745647301e-07
1850,1.7728105376590975e-05,6.347711192233874e-07
1851,1.8753033145912923e-05,5.611011555384238e-07
1852,1.9163790057064034e-05,5.48187916393772e-07
1853,1.8827709936886095e-05,4.7178262252423053e-07
1854,1.9094066374236718e-05,4.203292562898753e-07
1855,1.9237117157899775e-05,3.8634501819956313e-07
1856,1.8587144950288348e-05,5.441225665592242e-07
1857,1.803912891773507e-05,4.681367162806538e-07
1858,1.790987516869791e-05,4.7517594292667553e-07
1859,1.766882269294001e-05,4.455651763102253e-07
1860,1.7092577763833106e-05,3.835679991404106e-07
1861,1.8242290025227703e-05,4.2396513322273677e-07
1862,1.6761277947807685e-05,4.432144398158755e-07
1863,1.8614951841300353e-05,5.539034719781455e-07
1864,1.7946187654160894e-05,3.787835025637065e-07
1865,1.806392720027361e-05,4.0949546420421257e-07
1866,1.7353695511701517e-05,4.1990238708322636e-07
1867,1.5055848052725196e-05,4.1151841045916626e-07
1868,1.6238354874076322e-05,4.0902156173139304e-07
1869,1.6566362319281325e-05,4.1021560903686805e-07
1870,1.677610634942539e-05,3.428961199425373e-07
1871,1.6650819816277362e-05,5.289346276526885e-07
1872,1.6211706679314375e-05,4.52340965573228e-07
1873,1.427003644494107e-05,4.699013448350442e-07
1874,1.3359823242353741e-05,4.743839667753491e-07
1875,1.4228293366613798e-05,4.542892551029354e-07
1876,1.382481787004508e-05,4.92750218850091e-07
1877,1.2707322639471386e-05,4.385034596543491e-07
1878,1.3778180800727569e-05,4.933935472961615e-07
1879,1.47961745824432e-05,4.4048236391702744e-07
1880,1.3169420526537579e-05,4.86472739869015e-07
1881,1.2160750884504523e-05,5.473418589474477e-07
1882,1.2082186003681272e-05,3.77360338310595e-07
1883,1.102345504477853e-05,5.485186020948163e-07
1884,1.1467807780718431e-05,5.116315326958443e-07
1885,1.093502123694634e-05,5.266084164290419e-07
1886,1.0673384167603217e-05,5.16277097517559e-07
1887,1.1426924174884334e-05,5.105618994249994e-07
1888,1.1120803719677497e-05,5.338797657294947e-07
1889,1.1242161235713866e-05,5.757660623828542e-07
1890,1.0460144949320238e-05,5.754751439823735e-07
1891,1.0210225809714757e-05,6.081005862190736e-07
1892,1.063139734469587e-05,4.914513853648828e-07
1893,1.0548751561145764e-05,5.271604664458529e-07
1894,1.0274659871356562e-05,5.053834275514646e-07
1895,1.0735402611317113e-05,6.054726080506612e-07
1896,1.0610524441290181e-05,5.531413379555872e-07
1897,9.3920798462932e-06,5.995687999416077e-07
1898,1.015165435092058e-05,6.088389615799272e-07
1899,9.619091542845126e-06,5.533105831290186e-07
1900,1.0307355296390597e-05,5.118378432200643e-07
1901,9.862447768682614e-06,6.231443876458798e-07
1902,8.29297823656816e-06,5.455325524650334e-07
1903,9.82516121439403e-06,6.231854381422153e-07
1904,9.683999451226555e-06,6.261438354471238e-07
1905,9.596431482350454e-06,6.275482822282186e-07
1906,9.833623153099325e-06,5.84379362678078e-07
1907,9.67677442531567e-06,5.435985257484788e-07
1908,9.552160918246955e-06,4.955591794697511e-07
1909,9.524953384243418e-06,5.104912599307454e-07
1910,9.994631000154186e-06,5.023501765677452e-07
1911,1.0077852493850514e-05,5.240568681230684e-07
1912,9.321217476099264e-06,5.542823906523608e-07
1913,9.51992751652142e-06,5.021931053228457e-07
1914,9.538171980238985e-06,5.879740916370224e-07
1915,1.0147948160010856e-05,7.092018812215883e-07
1916,1.1632426321739331e-05,7.79011053886336e-07
1917,1.1561901374079753e-05,5.647708603007118e-07
1918,1.061341208696831e-05,5.570892653850024e-07
1919,1.0364354238845408e-05,6.721729350900318e-07
1920,9.681855772214476e-06,6.459113857104626e-07
1921,9.30236274143681e-06,6.883627188258856e-07
1922,8.711866030353121e-06,5.924481918384572e-07
1923,1.0009777724917512e-05,7.282540632758128e-07
1924,9.281969141738955e-06,5.130866465030692e-07
1925,9.978646630770527e-06,6.367945046825696e-07
1926,9.507655704510398e-06,5.071493085484491e-07
1927,9.782329470908735e-06,5.106345248861999e-07
1928,9.049424988916144e-06,6.044375728819773e-07
1929,8.65275342221139e-06,5.414237773671005e-07
1930,8.662322215968743e-06,6.732809620935143e-07
1931,8.755891940381844e-06,5.417544475250224e-07
