year,plusieurs_DET îles_NOUN,plusieurs_DET iles_NOUN,plusieurs_DET cils_NOUN
1800,1.1067458807190178e-06,3.772997292372793e-08,0.0
1801,9.143740875572348e-07,3.5717738544605027e-08,0.0
1802,8.839468250698701e-07,4.2518962573012686e-08,4.475680270843441e-09
1803,8.776526363440951e-07,4.8758479920252285e-08,0.0
1804,1.2730032636909527e-06,5.6852570651244605e-08,0.0
1805,6.4249033471242e-07,4.264316544322355e-08,5.685755422035754e-09
1806,5.734521471012499e-07,2.881669125542885e-08,0.0
1807,7.459022306477436e-07,3.9857373401730456e-08,0.0
1808,1.0514582911014259e-06,3.852325791697808e-08,0.0
1809,6.709320814479725e-07,3.6144488291256494e-08,1.8072244145628247e-08
1810,6.224737028048821e-07,5.616304221689461e-08,0.0
1811,6.042054963018018e-07,6.267691565753353e-08,5.0141535368197765e-09
1812,7.121445904090251e-07,2.1337665856435706e-08,2.6672082320544632e-09
1813,9.403675087504837e-07,2.0130191291656274e-08,0.0
1814,3.4298780970942744e-07,1.8880061958270744e-08,0.0
1815,8.81992090029371e-07,6.473336511270134e-08,2.697223555614414e-09
1816,7.578564780175157e-07,3.7081662185300956e-08,0.0
1817,6.383181148095218e-07,3.113746771532533e-08,1.0898113522728181e-08
1818,5.281081403296639e-07,2.2650237685439834e-08,1.4305412854298538e-08
1819,3.881643646508337e-07,1.7596785029105888e-08,2.070210003424222e-09
1820,7.689480021610962e-07,5.933240565525466e-08,0.0
1821,5.650632939335765e-07,2.0709125858608957e-08,3.944595405869222e-08
1822,5.453935330024251e-07,3.8097340393505874e-08,8.02049271442229e-09
1823,4.0222534991585235e-07,2.8659791428964354e-08,0.0
1824,4.909508639627802e-07,5.642145595174952e-08,4.210556348027694e-09
1825,5.309681903042929e-07,5.547428960639422e-08,3.522177216552791e-09
1826,8.182617499130629e-07,5.7251897223054016e-08,1.5854372037438225e-08
1827,5.355235632720223e-07,5.253845775099464e-08,1.8434546111834038e-09
