year,aviez_VERB eu_VERB,aviez_VERB su_VERB
1800,2.4524482000742864e-07,3.144164395507687e-08
1801,3.3336556271024165e-07,2.6193008650921e-08
1802,2.528759353026544e-07,7.384872446891677e-08
1803,1.969842600146876e-07,2.5354410126965377e-08
1804,1.3100809326260787e-07,1.3347995775347954e-07
1805,2.6723051860244595e-07,3.695740957709859e-08
1806,2.305335300434308e-07,4.034336598124355e-08
1807,1.679703558465917e-07,5.693910232196231e-09
1808,2.01680592226694e-07,2.4926814390369145e-08
1809,2.191259653727684e-07,7.454800510231507e-08
1810,3.603795164508483e-07,8.424456154898508e-08
1811,1.3036799373367103e-07,1.504245972228091e-08
1812,2.453831484672264e-07,3.200649700829672e-08
1813,2.041776525629757e-07,5.7514832008109806e-08
1814,2.0453401816666883e-07,3.776012391654149e-08
1815,1.5643897199879575e-07,4.315557688983063e-08
1816,2.595716352971067e-07,3.7081662185300956e-08
1817,2.880215674849751e-07,2.490997452753163e-08
1818,2.062363648747123e-07,5.48374146092101e-08
1819,2.4014437371988606e-07,2.3807414706311647e-08
1820,5.767109882981458e-07,4.50926265216367e-08
1821,4.2404400346640614e-07,5.226588939422072e-08
1822,2.2958660395033803e-07,4.110502516141423e-08
1823,2.984571381148271e-07,6.720227219148e-08
1824,2.0800148092803283e-07,1.2631669044083083e-08
1825,2.2101662011664303e-07,1.6730341556581152e-08
1826,2.01702846425178e-07,2.290075862276808e-08
1827,1.769716391208931e-07,1.3825909306319772e-08
1828,2.568244212852733e-07,2.5682442839070063e-08
1829,1.4660130887023115e-07,3.429270378774163e-08
1830,2.327414421188223e-07,5.5315229730013016e-08
1831,2.5881402621052985e-07,2.9623292263636358e-08
1832,2.773643643649848e-07,2.3000948701223933e-08
1833,2.1545548634094303e-07,1.7375443306377747e-08
1834,1.5121939611617563e-07,3.267085801894609e-08
1835,2.3294310835808574e-07,4.386591001548368e-08
1836,1.7272327568207402e-07,4.301280043250699e-08
