year,vos_DET airs_NOUN,vos_DET serres_NOUN
1800,2.2009151834367913e-08,6.288328968651058e-09
1801,3.5717737434382e-08,1.6668277869058556e-08
1802,3.3567602031325805e-08,0.0
1803,5.265915836716317e-08,9.751696339321825e-09
1804,1.359518080334965e-07,0.0
1805,4.548604315424143e-08,2.842877711017877e-09
1806,1.0374009207225754e-07,5.76333825108577e-09
1807,1.7081730252499483e-08,8.540865792383556e-09
1808,4.75875534533543e-08,2.2660739951163578e-09
1809,1.3554183553310395e-08,0.0
1810,1.0530570193623134e-07,0.0
1811,8.774768467390004e-08,0.0
1812,6.134578844907423e-08,5.3344164641089264e-09
1813,6.039057609541487e-08,0.0
1814,9.125363398254649e-08,0.0
1815,1.8880564667256294e-08,2.697223555614414e-09
1816,3.0128852301913867e-08,2.3176038865813098e-09
1817,7.472992091805963e-08,4.670620334934483e-09
1818,5.0068943213688044e-08,5.960588467246453e-09
1819,5.175524897538253e-08,0.0
1820,7.950542535439808e-08,0.0
1821,6.015507691969901e-08,1.7750679148775816e-08
1822,2.5064039732569654e-08,2.0051231786055723e-09
1823,5.731958552246397e-08,1.2847492847356534e-08
1824,3.8737119290033206e-08,0.0
1825,5.459374818883589e-08,1.7610886082763955e-09
1826,2.8185549894033102e-08,5.284790383086602e-09
1827,2.0278000945062047e-08,2.1199728195142598e-08
1828,5.3199348259980184e-08,5.503380862137419e-09
1829,3.0006116702452346e-08,1.1145129263923081e-08
1830,6.575206312753323e-08,3.1310507520032616e-09
1831,3.2741533706470705e-08,3.1182412207897414e-09
1832,4.058990832334075e-08,1.3529969367098715e-09
1833,4.749287596528262e-08,3.4750886612755494e-09
1834,2.893704542650255e-08,1.3068343518440884e-08
1835,5.218530674255817e-08,1.285724948729694e-08
1836,2.822714967321005e-08,9.409050427677812e-09
1837,1.8090516529234435e-08,6.262101948095733e-09
1838,3.787297009338886e-08,5.680945713848473e-09
1839,2.6567605448946097e-08,1.3283802502428443e-08
1840,3.375935120342177e-08,1.9109065441114126e-09
1841,3.5955072252846776e-08,1.1556987811189856e-08
1842,6.439934541191406e-08,0.0
1843,3.7804230856863796e-08,7.088293507706567e-09
1844,3.56756482688958e-08,3.2931368743049916e-09
1845,5.6918324276011845e-08,1.0602432709561072e-08
1846,4.9763260845381296e-08,9.952652035849496e-09
1847,3.020205241455187e-08,3.775256551818984e-09
1848,5.5512030749937935e-08,1.2067832844131487e-08
1849,3.854530761238095e-08,7.54147322368226e-09
1850,5.159636806695289e-08,8.82569484161877e-09
1851,2.4507867735223954e-08,1.1608989547440274e-08
1852,4.5573818718835923e-08,5.208436348880241e-09
1853,4.060913649794884e-08,1.1943863675867306e-08
1854,6.33871053423718e-08,1.3508728025080075e-08
1855,8.278822249963014e-08,1.9104973603134567e-08
1856,3.572260576234498e-08,1.2425253714809514e-08
1857,5.272029879321849e-08,4.881508974818871e-09
1858,5.1872966366772744e-08,1.9085335978274998e-08
1859,4.786642771037464e-08,8.147477359443656e-09
1860,6.087654602637826e-08,9.612086238064421e-09
1861,4.810282866474225e-08,1.1789909493131745e-08
1862,3.885468324860142e-08,1.1746764450037972e-08
1863,5.044567208400963e-08,1.4983863039219614e-09
1864,6.856460954551835e-08,7.671564716815737e-09
1865,4.7068444919418084e-08,1.3649848362717876e-08
1866,5.1575495207956124e-08,1.4596838404656864e-08
1867,5.386620571812273e-08,1.067618526917613e-08
1868,5.236266353847441e-08,7.903798504571569e-09
1869,7.325278961189952e-08,1.660396442559886e-08
1870,2.8670243512607385e-08,4.587239033071455e-09
1871,2.549082545044712e-08,4.248470908407853e-09
1872,3.9307707089264454e-08,1.9351485636143195e-08
1873,2.9930021461233025e-08,7.78180558880237e-09
1874,3.5847653734322193e-08,5.974608974224083e-09
1875,3.37570102426632e-08,1.4875970399952365e-08
1876,5.6832537564943664e-08,4.353130833578689e-08
1877,6.865146029433333e-08,8.040260901509555e-09
1878,3.442280499532657e-08,4.831270938865373e-09
1879,6.048231937505477e-08,7.94212251520321e-09
1880,3.3372801855335865e-08,5.134277003548959e-09
1881,1.8128519629900808e-08,1.5339516323820135e-08
1882,5.923292589748996e-08,1.9966154951589488e-08
1883,4.613117443597048e-08,5.687405213450347e-09
1884,3.4328825115892414e-08,5.941527270181268e-09
1885,1.4180398411056672e-08,3.86738152613475e-09
1886,2.5813855941692054e-08,5.162771099520569e-09
1887,2.7421483972389638e-08,7.834709769838355e-09
1888,3.4873380627686856e-08,6.340614699951175e-09
1889,2.7566601445982997e-08,1.0650732740202784e-08
1890,1.8352282582512203e-08,5.243509182406569e-09
1891,4.971891465199718e-08,1.4023283867459213e-08
1892,3.635737289009455e-08,1.1283322720601063e-08
1893,2.2170299485146927e-08,9.23762488724833e-09
1894,2.6466465019581165e-08,1.7014155417882648e-08
1895,2.407445731655855e-08,6.018614495673091e-09
1896,3.715128332748563e-08,4.7176231254830725e-09
1897,3.43776108691074e-08,1.7480140668268973e-09
1898,1.697506502029711e-08,3.960848538042683e-09
1899,2.65323762960179e-08,2.7637891975018647e-09
1900,3.426095018799202e-08,2.07642125715779e-09
1901,3.409130766574009e-08,7.824234593556412e-09
1902,2.1114220427609354e-08,9.820567692386817e-10
1903,1.4580595175672784e-08,4.860198465905796e-09
1904,2.0961038238453966e-08,8.599400302955473e-09
1905,1.3934049136743454e-08,1.5482277349043727e-08
1906,3.806696413644062e-08,1.0288369045596824e-09
1907,3.394276593127188e-08,3.0857059130084963e-09
1908,2.7503778587956162e-08,3.929111258571538e-09
1909,3.13556076103616e-08,1.265226234892225e-08
1910,5.076943265791556e-08,5.878565634276356e-09
1911,3.724261787851901e-08,4.25629931299909e-09
1912,3.2298411722919695e-08,6.772247651554153e-09
1913,3.606033122105501e-08,4.242391771214216e-09
1914,3.616241528447972e-08,3.348371913070025e-09
1915,2.1205371236732162e-08,0.0
1916,2.8567401111345703e-08,1.0987462051303964e-09
1917,2.8512703309502285e-08,1.2063066989753679e-08
1918,6.087779347296873e-08,5.743188147278033e-09
1919,3.314825391953491e-08,6.4454939163738345e-09
1920,2.8017257847068322e-08,8.329454459499175e-09
1921,3.634918815942356e-08,1.5145494858259667e-09
1922,5.976127831486266e-08,4.426761179843197e-09
1923,4.352538862661959e-08,4.246379248229459e-09
1924,5.0277336072213075e-08,5.156649773851996e-09
1925,4.2892892793133797e-08,0.0
1926,3.78968714187522e-08,2.229227691330493e-09
1927,5.9090890403012963e-08,1.1149224876660924e-09
1928,3.313552077166548e-08,1.1426041224282812e-09
1929,6.461435875237953e-08,1.1140406375176326e-09
1930,3.7812974085227324e-08,1.0503603542488804e-09
1931,2.8513392535955973e-08,1.1405356659111021e-09
1932,2.6302887090601246e-08,0.0
1933,3.211785326584504e-08,0.0
1934,1.677421224144382e-08,2.3963160344919743e-09
1935,2.393656828303392e-08,5.98414207075848e-09
1936,2.0612015205756506e-08,4.849885826274658e-09
1937,3.651424218542587e-08,1.2591118148108649e-09
1938,2.2040865133021725e-08,6.482607339819424e-09
1939,3.6705721129237645e-08,3.058810094103137e-09
1940,4.3108308034334186e-08,2.5357829169792012e-09
1941,2.6563523380929155e-08,2.066051862925633e-08
1942,2.7307905936524435e-08,3.034211770724937e-09
1943,5.8064703711835364e-08,0.0
1944,3.213186161588055e-08,9.639558484764166e-09
1945,1.5249527862692958e-08,4.357008087652048e-09
1946,6.125285700875338e-08,1.3921104269343232e-09
1947,4.0530959921625254e-08,8.344609447874518e-09
1948,2.9354097819123126e-08,2.174377566888097e-09
1949,2.552422073698324e-08,0.0
1950,3.19060831088791e-08,9.571825110299415e-09
1951,1.7058242818279723e-08,4.264560704569931e-09
1952,2.741649041126948e-08,0.0
1953,2.693456835345387e-08,3.232148326759443e-09
1954,2.8340354951694735e-08,2.9317608341017376e-09
1955,3.378819002364253e-08,2.815682353940474e-09
1956,2.8779766569897447e-08,1.744228317335228e-09
1957,2.6505112771246786e-08,2.6505113659425206e-09
1958,3.7225095728121715e-08,1.6544486891589827e-09
1959,3.7978666100890734e-08,6.200598257066758e-09
1960,4.0832916214927906e-08,5.536666680683311e-09
1961,2.640300600376122e-08,4.16889545107324e-09
1962,3.107558699255719e-08,3.805173953708163e-09
1963,3.879631949033069e-08,7.1126584622049904e-09
1964,2.9203048756976102e-08,1.3384730657151067e-08
1965,3.994591679656878e-08,1.6416130677043839e-09
1966,4.7636043332133227e-08,3.3234448526542337e-09
