year,des_DET orties_NOUN,des_DET sorties_NOUN
1800,1.3519906794101644e-07,5.156429923047767e-07
1801,8.334139067756041e-08,4.714741639322284e-07
1802,2.2825969381301547e-07,2.998705781465105e-07
1803,1.9308357712688462e-07,3.647134423356846e-07
1804,1.359517951549094e-07,2.125791809248767e-07
1805,2.388017321663938e-07,7.164052036046087e-07
1806,1.2967511064942983e-07,6.33967220942111e-07
1807,7.6867792131452e-08,4.811354088474218e-07
1808,7.478044272701823e-08,3.965629438162921e-07
1809,1.6490922805090236e-07,6.754501100658672e-07
1810,5.8503168531842675e-08,3.791005216413623e-07
1811,1.4541045345595194e-07,6.09219680480777e-07
1812,1.2535878246566767e-07,8.881803523763665e-07
1813,1.6104152678053651e-07,3.594677195906115e-07
1814,1.0069366762621712e-07,8.810695959482473e-07
1815,1.618334157793555e-07,4.126752060074068e-07
1816,1.8772591658944293e-07,3.8703984905907873e-07
1817,9.808302348091047e-08,6.071806115670597e-07
1818,1.3828565670337412e-07,6.437435851047724e-07
1819,1.0661581484328053e-07,6.189927788113891e-07
1820,1.1035827718330893e-07,5.802709353019964e-07
1821,7.001656932015266e-08,3.717781122958286e-07
1822,7.118187284049782e-08,7.138238800052932e-07
1823,5.731958285792871e-08,6.720226846113064e-07
1824,9.768490993877776e-08,8.732693750346243e-07
1825,9.245715038019853e-08,8.373976356779167e-07
1826,8.279505436803447e-08,6.967115782074984e-07
1827,8.479891278057039e-08,5.41975634149594e-07
1828,4.4027046897099353e-08,5.099799453844867e-07
1829,6.944272756825853e-08,4.895283662875727e-07
1830,8.975678866818271e-08,4.289539603519188e-07
1831,8.731075240575592e-08,2.9623292618907726e-07
1832,1.3124069786485393e-07,4.546069698463384e-07
1833,5.09679658478035e-08,3.961601056090558e-07
1834,9.987948046408235e-08,3.565790915871503e-07
1835,1.005890695182643e-07,4.560541952969288e-07
1836,1.0215539808511309e-07,6.700587995567275e-07
1837,9.88020527614708e-08,5.225376167317108e-07
1838,1.4517972779515276e-07,6.438405160125171e-07
1839,7.341049235165542e-08,5.95673702363797e-07
1840,6.624475901162441e-08,5.560738163268297e-07
1841,4.8154114029586026e-08,4.629215557550026e-07
1842,6.23868650073689e-08,4.957407635508559e-07
