year,quelques_DET âges_NOUN,quelques_DET ages_NOUN,quelques_DET sages_NOUN
1800,0.0,0.0,1.4148739602148908e-07
1801,0.0,0.0,1.5715805745664113e-07
1802,0.0,0.0,2.2378401354217203e-07
1803,0.0,0.0,1.7748086622582093e-07
1804,0.0,0.0,2.101073373061979e-07
1805,0.0,0.0,2.643876229058151e-07
1806,8.645007376628655e-09,0.0,1.527284583247024e-07
1807,0.0,0.0,1.395008020210753e-07
1808,0.0,0.0,1.1783584419333692e-07
1809,0.0,0.0,9.262025146838937e-08
1810,0.0,0.0,1.2402671600852955e-07
1811,0.0,0.0,1.278609147448151e-07
1812,0.0,0.0,1.1735716043403954e-07
1813,0.0,1.7254450312975678e-08,1.1502966401621961e-07
1814,0.0,3.1466771410748606e-09,1.4789381985735872e-07
1815,0.0,0.0,1.051917162264715e-07
1816,2.5493642752394408e-08,2.3176038865813098e-09,8.575134380350846e-08
1817,2.0239355080775567e-08,3.113746815941454e-09,1.4790297342415215e-07
1818,0.0,0.0,1.3470930149139804e-07
1819,1.035105001712111e-09,1.035105001712111e-09,2.3703904727945257e-07
1820,0.0,1.1866481131050932e-09,1.863037564220349e-07
1821,2.9584463767662328e-09,0.0,1.784929395398649e-07
1822,0.0,0.0,1.5038423839541792e-07
1823,6.917880934764753e-09,0.0,1.1859224535726298e-07
1824,1.0105335235266466e-08,8.421112696055388e-10,1.254745747303332e-07
1825,8.805443041381977e-10,8.805443041381977e-10,1.26798376687276e-07
1826,1.7615968683770689e-09,0.0,9.248383570081842e-08
1827,0.0,9.217273055917019e-10,1.106072756718035e-07
1828,0.0,0.0,1.3575006096999687e-07
1829,0.0,0.0,1.646049874182154e-07
1830,0.0,0.0,8.558205077946468e-08
1831,1.5591206103948707e-09,0.0,1.3252524944107336e-07
1832,8.117981842303834e-09,0.0,1.6100664268492437e-07
1833,1.0425265983826648e-08,0.0,8.803557527414796e-08
1834,7.467624740797874e-09,0.0,1.138812741885431e-07
1835,3.025235173481633e-09,1.5126175867408165e-09,9.756383434478266e-08
1836,4.032449929525228e-09,6.720750067579218e-10,7.123995082736201e-08
1837,1.3915781860163179e-09,6.957890930081589e-10,8.97567929980525e-08
1838,0.0,6.312161904276081e-10,1.1298769875267567e-07
1839,6.9914751765765e-10,6.9914751765765e-10,1.0277468320829541e-07
1840,1.2739377330817092e-09,6.369688665408546e-10,7.643626354081334e-08
1841,0.0,6.420548537278137e-10,8.410918539425438e-08
1842,2.0124795163667386e-09,0.0,1.0800306426972384e-07
1843,7.088293507706567e-09,1.7720733769266417e-09,1.0100818231828512e-07
1844,7.683985892015244e-09,0.0,7.793756934271201e-08
1845,5.580227946389016e-10,0.0,8.649353261391823e-08
1846,0.0,0.0,9.835562231330641e-08
1847,5.393223645455691e-10,1.0786447290911383e-09,1.1541498423639496e-07
1848,8.045221711050488e-10,0.0,8.125673822689805e-08
1849,0.0,0.0,4.7762666932626985e-08
1850,4.752297222410107e-09,0.0,6.721105982876452e-08
1851,1.9348316282474798e-09,1.2898877521649865e-09,1.0964045937811306e-07
1852,0.0,1.3021090872200602e-09,6.185018208704207e-08
1853,0.0,1.1943863675867306e-09,7.644072752555076e-08
1854,5.195664454227256e-10,0.0,7.637626797674102e-08
1855,5.306937111981824e-10,1.0613874223963649e-09,1.0136249883885284e-07
1856,0.0,2.0708756931497874e-09,9.681343671186227e-08
1857,1.9526036343364694e-09,1.9526036343364694e-09,9.323682093054231e-08
1858,5.872411001917044e-09,9.787352039936081e-10,1.360441879150187e-07
1859,0.0,0.0,8.962225228614784e-08
1860,2.746310290291376e-09,0.0,1.0710610459652159e-07
1861,4.715963730639317e-10,0.0,7.451222483467745e-08
1862,0.0,9.035972525772706e-10,5.602303010387999e-08
1863,0.0,4.994620828036034e-10,6.243276118311769e-08
1864,6.233146443435089e-09,0.0,6.760566684249625e-08
1865,1.882737743486018e-09,4.706844358715045e-10,7.154403519615826e-08
1866,2.919367858567057e-09,9.731225825149181e-10,6.909169991686781e-08
1867,1.455843445796745e-09,1.455843445796745e-09,7.08510476954416e-08
1868,1.4819622196071691e-09,0.0,6.767627525050557e-08
