year,quelques_DET antennes_NOUN,quelques_DET centaines_NOUN
1800,0.0,1.6129564102129734e-06
1801,0.0,1.3644175815841209e-06
1802,0.0,1.7835586163528205e-06
1803,0.0,1.5953774834542855e-06
1804,0.0,8.552604553457854e-07
1805,0.0,1.2309660171183623e-06
1806,0.0,1.285224470848334e-06
1807,0.0,1.861908657474487e-06
1808,4.5321479902327155e-09,8.70172423894644e-07
1809,0.0,1.707827102848114e-06
1810,0.0,1.0085945927329476e-06
1811,0.0,1.3362719029075265e-06
1812,0.0,1.1362307290596618e-06
1813,0.0,1.2221901428688398e-06
1814,0.0,2.3285410080120528e-06
1815,0.0,1.9258176564562746e-06
1816,0.0,1.5041249596947637e-06
1817,0.0,1.3638210525357408e-06
1818,0.0,1.6510831173377483e-06
1819,0.0,1.749327498856701e-06
1820,0.0,2.316337173624561e-06
1821,0.0,1.5778380912934153e-06
1822,0.0,1.7665135061406545e-06
1823,0.0,2.0595520098254383e-06
1824,0.0,1.67664354222552e-06
1825,0.0,1.987388507984633e-06
1826,0.0,1.737815281899202e-06
1827,0.0,1.8379241915056355e-06
1828,0.0,1.936272823854779e-06
1829,0.0,2.098713451914591e-06
1830,0.0,2.214696628755064e-06
1831,0.0,2.6879239882759975e-06
1832,0.0,2.3636857520159538e-06
1833,0.0,2.9155991825291494e-06
1834,0.0,2.093735332664437e-06
1835,0.0,2.399011549414354e-06
1836,0.0,2.0081601661559034e-06
1837,0.0,2.0574482917368186e-06
1838,0.0,2.1410852326653185e-06
1839,0.0,2.0764681814000596e-06
1840,0.0,2.6211268391307385e-06
1841,0.0,2.253612606750721e-06
1842,0.0,2.2190940995869823e-06
1843,0.0,2.097544040680077e-06
1844,0.0,2.2420772936015965e-06
1845,0.0,2.6227071145967784e-06
1846,0.0,2.2106596730964156e-06
1847,0.0,2.7273532339222584e-06
1848,0.0,2.9638596856784716e-06
1849,0.0,3.082786832919737e-06
1850,0.0,2.642277259212733e-06
1851,0.0,2.9931844522934625e-06
1852,0.0,2.00655013316009e-06
1853,5.971931837933653e-10,2.2466407898491525e-06
1854,0.0,2.5401603025443364e-06
1855,0.0,2.291004832954968e-06
1856,0.0,2.278481055384418e-06
1857,0.0,2.5198349007382603e-06
1858,0.0,2.208026643302219e-06
1859,0.0,2.557798715940862e-06
1860,0.0,2.6598016162893146e-06
1861,4.715963730639317e-10,2.6211327224245906e-06
1862,4.517986262886353e-10,2.4826333842042914e-06
1863,0.0,2.3224987799608243e-06
1864,0.0,2.2458505881672863e-06
1865,0.0,2.5412253776835314e-06
1866,0.0,2.456647855808569e-06
1867,4.367530337390235e-09,2.3507017914425887e-06
1868,0.0,2.4239962286287664e-06
1869,0.0,2.3528794272920095e-06
1870,0.0,2.5487846500027445e-06
1871,0.0,3.082265628506775e-06
1872,0.0,2.8482968659204744e-06
1873,0.0,2.559016927250468e-06
1874,3.5847653734322193e-09,2.7853627457830044e-06
1875,0.0,2.897953578440138e-06
1876,0.0,2.463146479669831e-06
1877,6.184815992682502e-10,2.4034195789113255e-06
1878,6.039088673581716e-10,2.8039487887099313e-06
1879,4.27652757650776e-09,2.620289556887201e-06
1880,0.0,2.4766467987547003e-06
1881,0.0,2.7576267029871815e-06
1882,0.0,2.738690980663705e-06
1883,6.319338941018771e-10,2.823480649283283e-06
1884,0.0,2.853253498358299e-06
1885,0.0,2.9533903500578162e-06
1886,6.453463874400711e-10,2.7323965099412817e-06
1887,4.570247291724172e-09,2.8635862534542866e-06
1888,0.0,2.743584019526679e-06
1889,0.0,3.027940636002313e-06
1890,0.0,2.733179080394166e-06
1891,0.0,2.8244167964430744e-06
1892,0.0,2.8816351402838336e-06
1893,6.158416554491453e-10,2.752196458288836e-06
1894,6.301539290376468e-10,2.9150920539677827e-06
1895,3.0093072478365457e-09,3.2097270832309732e-06
1896,0.0,2.8724427778570316e-06
1897,0.0,3.0077494841407315e-06
1898,0.0,2.9112236177297746e-06
1899,0.0,2.860521874481492e-06
1900,0.0,3.0336514953432925e-06
1901,0.0,2.8966432665811226e-06
1902,4.910283846193408e-10,2.5474552352022783e-06
1903,0.0,3.0073826735588227e-06
1904,0.0,2.948519309597941e-06
1905,0.0,2.9251182098732897e-06
1906,0.0,3.0072902958977465e-06
1907,0.0,2.8861636991450723e-06
1908,0.0,3.0818966934020864e-06
1909,0.0,2.8687628628176753e-06
1910,2.137660271017694e-09,3.0654048330802652e-06
1911,3.1922244847493175e-09,2.877790443278627e-06
1912,0.0,2.8156922269317874e-06
