year,trois_DET yeux_NOUN,trois_DET cieux_NOUN
1800,2.5782149615238836e-07,2.5153315874604232e-08
1801,2.762171789072454e-07,0.0
1802,4.72184268573983e-07,0.0
1803,3.0815360219094146e-07,0.0
1804,3.856087573694822e-07,0.0
1805,3.212451815670647e-07,0.0
1806,1.9595350408962986e-07,0.0
1807,1.2241907221266501e-07,2.8469551160981155e-09
1808,2.4246992325061e-07,0.0
1809,4.563241589039535e-07,4.518061036407062e-09
1810,1.2168659679900884e-07,3.042164919975221e-08
1811,1.554387605295915e-07,7.521229861140455e-09
1812,7.734903562095496e-08,8.00162425207418e-09
1813,7.189354045422647e-08,0.0
1814,1.258670891957081e-07,1.5733386149463513e-08
1815,7.821948599939788e-08,0.0
1816,3.036061002603674e-07,0.0
1817,3.191590565165825e-07,0.0
1818,1.40669895287715e-07,8.344824387052086e-09
1819,2.8775919302947983e-07,3.1053151161586356e-08
1820,9.611849804969097e-08,1.1866481131050932e-08
1821,1.3904698903388635e-07,5.9168927535324656e-09
1822,8.922798144794797e-08,6.015369535816717e-09
1823,1.7097048043979157e-07,9.882686669016039e-09
1824,1.1368501873221248e-07,5.052667617633233e-09
1825,2.791325584006188e-07,0.0
1826,1.9994124755839948e-07,1.8496766784892316e-08
1827,2.1752765011484598e-07,0.0
1828,1.5042573409118631e-07,0.0
1829,3.086343269842473e-07,1.0287811491593857e-08
1830,1.0228098834552668e-07,5.218417697960831e-09
1831,1.6058942886587602e-07,2.18276889896174e-08
1832,1.6506562872109498e-07,0.0
1833,1.01935931695607e-07,3.475088550253247e-09
1834,1.5308630452182115e-07,1.5868702796240086e-08
1835,1.1571524538567246e-07,3.025235173481633e-09
1836,2.3522625269833952e-07,8.736974699274924e-09
1837,1.1202204319715747e-07,9.74104708006962e-09
1838,1.098316162462254e-07,8.205810475558906e-09
1839,1.2934228710292928e-07,1.3982950353153e-09
1840,1.0573683084658114e-07,6.369688665408546e-10
1841,1.695024760550723e-07,1.3483151928284087e-08
1842,1.006239744860693e-07,2.3478927246856074e-08
1843,1.3408687715710244e-07,2.6581099321631996e-08
1844,9.714753379519436e-08,1.646568309476848e-08
1845,1.0769840291802169e-07,1.5066614622583074e-08
1846,1.3172628143820475e-07,1.2879903366069811e-08
1847,6.364003724002032e-08,7.550513103637968e-09
1848,1.0136979256003542e-07,4.263967617879061e-08
