year,aux_ADP ombres_NOUN,aux_ADP sombres_ADJ
1800,3.3956975542537293e-07,1.1004575384276905e-07
1801,2.071628817379434e-07,6.667311325259107e-08
1802,3.75957142750849e-07,3.1329761895904085e-08
1803,2.5939511694161865e-07,5.070882025393075e-08
1804,2.719036085174764e-07,1.9033251597022627e-07
1805,1.563582765484739e-07,9.950071699904584e-08
1806,5.734521737466025e-07,1.5849179924032342e-07
1807,2.733077053562738e-07,1.5658253449402082e-07
1808,2.1074488509853495e-07,1.2010191996481012e-07
1809,2.9819202396197397e-07,6.551188391767937e-08
1810,2.784750754436516e-07,6.084329484679074e-08
1811,3.083704367412565e-07,1.6546707115594472e-07
1812,1.9203898737885083e-07,1.520308643421231e-07
1813,2.8182267830523244e-07,1.3803560250380542e-07
1814,2.2026740165159708e-07,9.44003133440674e-08
1815,1.5104452044667482e-07,7.552225866902518e-08
1816,1.62232268507978e-07,3.9399266071882266e-08
1817,3.285002998509867e-07,5.4490568501819325e-08
1818,1.2517236314124602e-07,1.4066989617589343e-07
1819,2.2254758214046433e-07,7.03871378959775e-08
1820,2.2071654814936892e-07,5.221251608844568e-08
1821,2.3075882138456905e-07,8.185035227370463e-08
1822,2.4261990461127425e-07,9.925359734097583e-08
1823,1.3440454527113843e-07,6.621400316930703e-08
1824,2.7115983591841086e-07,9.094801800557661e-08
1825,2.2453879733319582e-07,8.012953278679902e-08
1826,2.695243153105764e-07,7.75102653172155e-08
1827,1.603805539485137e-07,4.7008091641487226e-08
1828,2.0270785094922417e-07,8.6219628769868e-08
1829,2.4262087805482224e-07,8.658907679759409e-08
1830,1.9308146059771047e-07,9.497520792045577e-08
1831,1.8865359452391317e-07,8.575163490398552e-08
1832,1.9077257062960484e-07,1.0147477214061951e-07
1833,1.9808004303456528e-07,1.239448306211699e-07
1834,2.2029492385833294e-07,1.708219219409557e-07
1835,1.9739659506967655e-07,1.315977371518784e-07
1836,2.506839715255005e-07,1.2567803331364757e-07
1837,1.6907674549315743e-07,9.184416160934461e-08
1838,2.0388283350492031e-07,1.3760512418414805e-07
1839,2.838538879501584e-07,1.0277468664998679e-07
1840,1.5223556193433296e-07,1.1019561263481137e-07
1841,1.3483151750648403e-07,1.271268557090366e-07
1842,1.757565382121129e-07,2.1399365346397303e-07
1843,2.0792326643759296e-07,1.9906289816518097e-07
1844,2.3271500471100381e-07,1.0208723777438422e-07
1845,2.142807487004461e-07,1.132786242585837e-07
1846,1.4870433107105896e-07,1.3348263738777177e-07
1847,1.8714486405002617e-07,8.251632177547208e-08
1848,2.260707328005651e-07,6.838438793010937e-08
1849,2.3043391195187723e-07,1.0055297750000136e-07
1850,2.382937571709931e-07,1.0387163662528565e-07
1851,1.7671462249069236e-07,1.2640899971216868e-07
1852,2.330775272785246e-07,6.966283438991638e-08
1853,2.0244848708550478e-07,1.3735442894180494e-07
1854,2.5406798753735416e-07,1.1222635354357635e-07
1855,2.3722009245830122e-07,1.5337047898356104e-07
1856,2.4695192823998013e-07,1.3616007255023987e-07
1857,2.5676736936652844e-07,1.5669644737315025e-07
1858,2.6425850219169433e-07,1.2332063370479318e-07
1859,2.2049110826038998e-07,1.435992915688189e-07
1860,2.1421221241268995e-07,1.3136517917899937e-07
1861,2.235366759473223e-07,1.4572327922124373e-07
1862,2.3222448808368767e-07,1.1520864978686873e-07
1863,1.7481173297806407e-07,1.1237896568871975e-07
1864,2.152832876411992e-07,1.438418344434922e-07
