year,ces_DET sentiers_NOUN
1800,1.7292904175292279e-07
1801,1.8335106233280385e-07
1802,1.1860552717735118e-07
1803,8.581492383363809e-08
1804,1.7055771261986763e-07
1805,1.279295029910088e-07
1806,2.276518555888174e-07
1807,9.39495183871486e-08
1808,1.0197333244477136e-07
1809,9.262025013612174e-08
1810,1.8252988454037222e-07
1811,1.4791753244480788e-07
1812,1.0135391192989118e-07
1813,1.3515985486378668e-07
1814,5.664018942752591e-08
1815,4.855002422310406e-08
1816,1.8772590770765873e-07
1817,7.628679554727569e-08
1818,1.1444330461074514e-07
1819,6.935203611391216e-08
1820,1.2697135076678023e-07
1821,7.790576084243384e-08
1822,1.4336630727029842e-07
1823,1.492285708337704e-07
1824,1.3473780313688621e-07
1825,1.1799293542225087e-07
1826,9.424543101488325e-08
1827,1.198245520583896e-07
1828,1.0181254594954225e-07
1829,1.2774032009943426e-07
1830,1.3150412936369094e-07
1831,6.704218780129167e-08
1832,9.065079442649449e-08
1833,1.969216860686629e-07
1834,1.4561867978102327e-07
1835,2.200858588707888e-07
1836,1.8952514757586414e-07
1837,1.4263676284542726e-07
1838,1.3571148116398035e-07
1839,1.1466019422812224e-07
1840,1.4905071044069018e-07
1841,1.7463892731939268e-07
1842,1.6837745775433177e-07
1843,1.5298899036508828e-07
1844,1.7563396426112377e-07
1845,2.5166828354628024e-07
1846,1.7036599153641419e-07
1847,1.1865091931184679e-07
1848,1.6170895777989358e-07
1849,2.0026801195172084e-07
1850,1.4528451686146582e-07
1851,1.7993933454363287e-07
1852,1.8164421611288617e-07
1853,1.4929829106336e-07
1854,1.8392652734178228e-07
1855,1.5177840140268017e-07
1856,2.2210142347489636e-07
1857,1.5279123211087153e-07
1858,1.6442751693546143e-07
1859,2.0725145422062496e-07
1860,2.000229333276593e-07
1861,1.7118948036909387e-07
1862,2.213813283802324e-07
1863,2.5522512814291076e-07
1864,2.114475083914158e-07
1865,2.0333567896102522e-07
1866,1.858664147036393e-07
1867,1.5140772013921833e-07
1868,1.72401612097417e-07
1869,1.938757048236539e-07
1870,1.6915444600584806e-07
1871,7.965882620197817e-08
1872,1.4332194453459124e-07
1873,1.466571126762517e-07
1874,1.481703071348761e-07
1875,1.2987866426783512e-07
1876,1.7654362949315328e-07
1877,1.6018673942852502e-07
1878,1.6365930655126704e-07
1879,1.6372992028834688e-07
1880,1.4440154494366197e-07
1881,1.7082642855825725e-07
1882,1.9367170267514666e-07
1883,1.7125408291462918e-07
1884,1.4787801916327226e-07
1885,1.766104151812442e-07
1886,1.3229600881459191e-07
1887,1.482065909996777e-07
1888,1.471022628152241e-07
1889,1.1903759578046902e-07
1890,1.4091931088699994e-07
1891,1.332212002935762e-07
1892,1.4605633502640103e-07
1893,1.5888714877121402e-07
1894,1.512369420808568e-07
1895,1.5407652398380378e-07
1896,1.615785958364313e-07
1897,1.5440791045762126e-07
1898,1.4315637564266126e-07
1899,1.3653118458023528e-07
1900,1.354864824776314e-07
1901,1.0953928430978976e-07
1902,1.2717635122783122e-07
1903,1.4634597178542208e-07
1904,1.0050548837625684e-07
1905,1.2282606398628104e-07
1906,1.219171732458335e-07
1907,1.1674254185578548e-07
1908,1.5077963944065687e-07
1909,1.3532420162221115e-07
1910,1.4001674664143593e-07
1911,1.0693951679741076e-07
1912,1.0314653930976192e-07
1913,1.2674145111191137e-07
1914,9.375441223369307e-08
1915,1.178076196595157e-07
1916,8.899844550214198e-08
1917,1.250172424471785e-07
1918,1.28647408281779e-07
1919,1.325930139017828e-07
1920,8.935233353213334e-08
1921,9.011569623851301e-08
1922,1.165713783279898e-07
1923,1.1359064089333515e-07
1924,1.3922954700262835e-07
1925,1.3527759001874529e-07
1926,1.0142985651384606e-07
1927,1.5943392206452245e-07
1928,1.313994726359624e-07
1929,7.575476335119902e-08
1930,8.507919035949385e-08
1931,9.124285327288817e-08
1932,8.548438223954236e-08
1933,9.291236580111217e-08
1934,8.02765853791243e-08
1935,7.659701850570855e-08
1936,1.2003467197985174e-07
1937,1.0198805977523762e-07
1938,1.0242519632441827e-07
1939,7.952906599939524e-08
1940,1.0143131667916805e-07
1941,1.0035108388706249e-07
1942,9.709477910568864e-08
1943,1.219358782833524e-07
1944,1.2531426385464783e-07
1945,1.132822085025964e-07
1946,1.5174003387130597e-07
1947,1.2636122947995432e-07
1948,1.228523327512221e-07
1949,8.835307330201658e-08
1950,8.189228317689867e-08
1951,8.955577346370092e-08
1952,9.490323193972472e-08
1953,7.433941018319956e-08
1954,8.208930246667023e-08
1955,8.540902740605816e-08
1956,9.15719837735196e-08
1957,1.0425344232345424e-07
1958,1.0257582250261521e-07
1959,6.588135725849043e-08
1960,8.997083611461676e-08
1961,7.504011811931832e-08
1962,8.688479979923613e-08
1963,9.763740305146484e-08
1964,7.848319061309894e-08
1965,8.372226378838832e-08
1966,8.253221395193577e-08
1967,8.480176871827894e-08
1968,8.398947315413352e-08
1969,7.584735683963117e-08
1970,7.771845478288242e-08
1971,7.347908148602755e-08
1972,6.874396962786022e-08
1973,7.883881103509793e-08
1974,5.6255718527964405e-08
1975,6.511087491389844e-08
1976,6.399150098701512e-08
1977,6.405692332123181e-08
1978,8.316828292720402e-08
1979,8.543881069300596e-08
1980,7.504399235358505e-08
1981,7.147871183832422e-08
1982,7.200702833998207e-08
1983,6.504775651450245e-08
1984,7.886651687272206e-08
1985,7.098358700829976e-08
1986,6.773768523871126e-08
1987,5.7441679857106465e-08
1988,5.4568640717178596e-08
1989,8.067539436495963e-08
1990,6.756327319834554e-08
1991,5.4511624991704366e-08
1992,8.375115179148906e-08
1993,8.641163873335245e-08
1994,8.387133298981553e-08
1995,7.482982145035066e-08
1996,5.925282309249269e-08
1997,7.863626905191268e-08
1998,7.390600043066797e-08
1999,7.129513601711324e-08
2000,6.67122757036509e-08
2001,1.0032975339413497e-07
2002,7.404264401600358e-08
2003,6.500399862829909e-08
2004,7.488145303824467e-08
2005,8.196824596851116e-08
2006,1.0377082393375758e-07
2007,9.18730247434496e-08
2008,7.578242566808058e-08
2009,1.0585387499872922e-07
2010,1.0061679400763524e-07
2011,1.3422142064456466e-07
2012,1.4297861383738564e-07
2013,1.5089166716109048e-07
2014,1.2689508999130794e-07
2015,1.6557817605900027e-07
2016,1.7627104398343363e-07
2017,1.343336482051427e-07
2018,1.5411356280026212e-07
2019,1.594367287083287e-07
