year,leurs_DET herbes_NOUN
1800,2.515331631869344e-08
1801,3.333655662629553e-08
1802,5.594600338554301e-08
1803,1.950339267864365e-08
1804,1.1123329102247226e-07
1805,7.675770063997334e-08
1806,2.881669125542885e-08
1807,0.0
1808,4.75875534533543e-08
1809,7.00299480627109e-08
1810,3.042164919975221e-08
1811,2.5070768572277302e-08
1812,2.6672083208723052e-08
1813,2.300593315851529e-08
1814,3.1466771410748606e-09
1815,2.966945933380316e-08
1816,4.4034472068688046e-08
1817,1.712560715461109e-08
1818,5.364529886975333e-08
1819,2.2772309593577233e-08
1820,3.441279616822612e-08
1821,8.875339130298698e-09
1822,2.0051231786055723e-09
1823,1.7788837070042973e-08
1824,2.105278174013847e-08
1825,2.201360693732113e-08
1826,4.0516726751427257e-08
1827,1.2904182056239222e-08
1828,1.6510142586412258e-08
1829,2.4862210068476998e-08
1830,4.905313000236333e-08
1831,3.274153215215847e-08
1832,8.117981509236927e-09
1833,2.4325620628928846e-08
1834,1.6802155666795215e-08
1835,1.285724948729694e-08
1836,4.637317374545091e-08
1837,2.2961040624380757e-08
1838,2.5879863807531933e-08
1839,2.7965899818127582e-08
1840,3.7581163736533085e-08
1841,5.778493683550323e-09
1842,2.0124794275488966e-08
1843,2.8353173364692452e-08
1844,1.701453911095996e-08
1845,3.682950477923441e-08
1846,1.1709002878390606e-08
1847,9.707802561820245e-09
1848,1.609044275596716e-08
1849,2.262441967104678e-08
1850,2.308258650884909e-08
1851,2.4507867735223954e-08
1852,1.4323199737376058e-08
1853,1.791579506971175e-08
1854,1.7145692421394187e-08
1855,1.2205955357558196e-08
1856,4.4523826403519706e-08
1857,1.8061584339257308e-08
1858,7.3405139189297586e-09
1859,1.782260738991681e-08
1860,9.612086238064421e-09
1861,3.678451676591976e-08
1862,3.7499287230957634e-08
1863,2.2475793670651e-08
1864,1.0548401707666244e-08
1865,1.3649848362717876e-08
1866,9.731225603104576e-09
1867,1.358787216076962e-08
1868,9.87974857480367e-09
1869,1.1720445725060813e-08
1870,1.204150201772336e-08
1871,1.911811864374613e-08
1872,1.1489944995446422e-08
1873,2.753562017288047e-08
1874,1.493652240780463e-08
1875,8.58229043387837e-09
1876,9.069022421925865e-09
1877,9.895705366247398e-09
1878,5.435179861734696e-09
1879,3.360128886242819e-08
1880,1.1552122813895949e-08
1881,6.2752567586699115e-09
1882,1.1979693681496428e-08
1883,1.1374810426900694e-08
1884,1.0562715146988921e-08
1885,6.445635580831777e-09
1886,1.2906927859823725e-08
1887,2.3504128421336645e-08
1888,4.4384300679212174e-09
1889,1.0650732740202784e-08
1890,9.176140736144589e-09
1891,7.0116419337296065e-09
1892,9.402768341715273e-09
1893,1.1085149687062312e-08
1894,1.6384001710889606e-08
1895,8.426059849853118e-09
1896,2.0049897742069334e-08
1897,2.330685333618021e-08
1898,2.0370077291609334e-08
1899,1.3818945987509323e-08
1900,1.764958135197503e-08
1901,1.2295225282343836e-08
1902,5.401312119790447e-09
1903,1.1340462791054051e-08
1904,1.5048950530172078e-08
1905,1.5998352531632065e-08
1906,4.166789580040131e-08
1907,1.7999951751335175e-08
1908,2.1118973236866623e-08
1909,1.650294984001377e-08
1910,2.0307773240801907e-08
1911,5.852411444351446e-09
1912,1.8232973686416187e-08
1913,1.5378670781274195e-08
1914,1.2723813114234872e-08
1915,1.5314990164938536e-08
1916,0.0
1917,1.7546279096336548e-08
1918,2.412139021856774e-08
1919,1.4732557007679503e-08
1920,1.590168707821249e-08
1921,1.8174593163777786e-08
1922,8.115729421831475e-09
1923,1.8047112249064412e-08
1924,1.5469948877466777e-08
1925,1.539744931555731e-08
1926,1.7833821530643945e-08
1927,2.2298449309232637e-08
1928,1.0283437212876834e-08
1929,1.7824649978237517e-08
1930,1.470504518152893e-08
1931,4.5621426636444085e-09
1932,1.205549005067752e-08
1933,1.0323596200123575e-08
1934,1.0783422155213884e-08
1935,5.98414207075848e-09
1936,8.487299751891442e-09
1937,7.554670666820584e-09
1938,2.463390824658518e-08
1939,1.6823456405745674e-08
1940,3.296517903095264e-08
1941,1.4757512545315876e-08
1942,3.3376329255929704e-08
1943,1.7419411690866582e-08
1944,3.8558232162699824e-08
1945,1.9606536838523425e-08
1946,1.3921104269343232e-08
1947,1.6689218895749036e-08
1948,2.0656587107481528e-08
1949,1.178041031391075e-08
1950,3.4033158291535415e-08
1951,9.595261474260042e-09
1952,1.2653764258629963e-08
1953,6.464296653518886e-09
1954,7.818028668893362e-09
1955,1.1262729415761896e-08
1956,1.1337484062678982e-08
1957,1.5903067862588216e-08
1958,1.4890038091408542e-08
1959,1.705164542897819e-08
1960,2.353083289330371e-08
1961,6.948159270159238e-09
1962,8.878739354845067e-09
1963,1.939815952312074e-08
1964,9.125952327160292e-09
1965,6.5664520487729305e-09
1966,8.308612464702492e-09
1967,1.4791006641701188e-08
1968,1.1228539764651657e-08
1969,1.3625273354023193e-08
1970,1.2876429700270364e-08
1971,1.130447413455471e-08
1972,3.078088173236182e-09
1973,1.3231689521830958e-08
1974,1.6314157136321228e-08
1975,5.711480177694739e-09
1976,8.570290255249802e-09
1977,9.402850775774851e-09
1978,7.72276909088987e-09
1979,7.607565244427406e-09
1980,1.0233271563464541e-08
1981,1.3916209129494206e-08
1982,1.6760256515979677e-08
1983,6.946847541655643e-09
1984,9.85831472011256e-09
1985,1.1429560298203967e-08
1986,1.0790073723399018e-08
1987,1.0388388482773792e-08
1988,5.396898483667201e-09
1989,6.585746725740194e-09
1990,7.628111475810329e-09
1991,9.96449056600568e-09
1992,1.4876849196987507e-08
1993,1.1632335372713243e-08
1994,8.967375286772494e-09
1995,1.0302656505700725e-08
1996,9.60856638698715e-09
1997,1.2466725873849782e-08
1998,1.3350761607355821e-08
1999,7.769341614505265e-09
2000,1.2812291005914744e-08
2001,8.76242356451229e-09
2002,7.886198694073698e-09
2003,1.1250691767106247e-08
2004,7.047665923076707e-09
2005,7.205999352777326e-09
2006,9.47114670024618e-09
2007,1.0785094956000663e-08
2008,1.2772319285536682e-08
2009,1.4781396329155427e-08
2010,1.8895171316479775e-08
2011,1.759027143388714e-08
2012,2.5191470465202315e-08
2013,1.9523874683624598e-08
2014,2.0571729208995748e-08
2015,2.2609069838530615e-08
2016,1.49136482330281e-08
2017,1.0314006537726073e-08
2018,1.161660012627408e-08
2019,1.2754938882864053e-08
