year,vouliez_VERB avoir_VERB,vouliez_VERB savoir_VERB
1800,3.772997558826319e-08,2.829747991484055e-08
1801,1.5239568540437176e-07,2.6193008650921e-08
1802,1.3427040812530322e-08,6.713520406265161e-09
1803,2.9255089017965474e-08,3.1205427575287104e-08
1804,4.943701892301533e-09,3.9549615138412264e-08
1805,3.980028751016107e-08,3.980028751016107e-08
1806,5.76333825108577e-09,4.610670600868616e-08
1807,2.562259560079383e-08,0.0
1808,9.064295980465431e-09,1.8128591960930862e-08
1809,2.710836710662079e-08,9.036122072814123e-09
1810,5.3822915901946544e-08,2.3401266702194334e-08
1811,1.7549536934780008e-08,2.5070767684098882e-09
1812,2.1337665856435706e-08,1.3336041604361526e-08
1813,4.3136125782439194e-08,5.751483289628823e-09
1814,5.034683425719777e-08,1.5733386149463513e-08
1815,1.6183340889597275e-08,1.0788894222457657e-08
1816,2.3176038865813098e-09,3.244645441213834e-08
1817,5.4490570278176165e-08,1.8682481339737933e-08
1818,3.2187177367859476e-08,2.5034472272977837e-08
1819,1.7596784473994376e-08,9.315945348475907e-09
1820,1.4239777357261119e-08,1.898636980968149e-08
1821,6.7058117281249e-08,4.141825016290568e-08
1822,2.8071724500478012e-08,2.8071724500478012e-08
1823,2.7671523739059012e-08,2.9648060007048116e-08
1824,5.894779064874456e-08,1.9368560089105813e-08
1825,3.610231757988913e-08,4.4027217427355936e-09
1826,2.1139161532346407e-08,1.6735169694470642e-08
1827,4.7929820112813104e-08,1.474763688946723e-08
1828,2.5682442839070063e-08,2.7516904310687096e-08
1829,3.1720752247110795e-08,1.457439946506156e-08
1830,3.861629238599562e-08,2.2961039292113128e-08
1831,2.494592976631793e-08,2.6505050598757407e-08
1832,2.3000948701223933e-08,3.111892965534935e-08
1833,4.054269808762001e-08,3.4750886612755494e-09
1834,4.760610750054184e-08,4.667265685043276e-09
1835,4.9160071569076536e-08,2.4201881387853064e-08
1836,2.352262562510532e-08,3.427582484505365e-08
1837,3.409366655660051e-08,2.7135774516295896e-08
1838,3.092959488526503e-08,1.3255539776935166e-08
1839,2.6567605004856887e-08,1.957613093850341e-08
1840,3.885510224677091e-08,3.567025785855549e-08
1841,2.8892468861840825e-08,1.2841097074556274e-08
1842,1.609983613093391e-08,2.2808102073668124e-08
1843,2.008349753168659e-08,2.7171790151214736e-08
1844,2.305195678786731e-08,1.920996517412732e-08
1845,3.57134588568897e-08,8.928364714222425e-09
1846,2.86870562860031e-08,2.517435504501009e-08
1847,1.833696039454935e-08,9.168480197274675e-09
1848,1.769948809737798e-08,1.367687652020777e-08
1849,1.6758828991214614e-08,3.4355601030711114e-08
1850,2.1045888587423178e-08,1.3577992064028876e-08
1851,4.127640806927957e-08,1.6768540334055615e-08
1852,2.9948509450150596e-08,2.408901877970493e-08
1853,2.448492075757258e-08,1.791579506971175e-08
1854,3.4810952342922974e-08,6.234797567117312e-09
1855,4.0332722051061864e-08,1.6982198758341838e-08
1856,2.6403665032148638e-08,8.801221973442352e-09
1857,3.417056504417815e-08,8.78671624349181e-09
1858,3.0830157982109085e-08,1.8595969208945462e-08
1859,1.323965115318515e-08,1.9859475841599306e-08
1860,2.1512764902809067e-08,2.4259074749011234e-08
1861,2.5937801240161207e-08,1.744906619194353e-08
1862,4.382446761042047e-08,2.801151488540654e-08
1863,3.646073309937492e-08,2.097740825490746e-08
1864,3.0206784629172034e-08,3.548098703731739e-08
1865,3.294790928975999e-08,1.553258677233771e-08
1866,3.16264845423575e-08,8.271541673821048e-09
1867,2.523461972714358e-08,1.747012134956094e-08
1868,2.766329387782207e-08,7.409810987013543e-09
1869,2.0510780629479086e-08,1.70923168951731e-08
1870,3.096386436141074e-08,1.834895613228582e-08
1871,1.805600113868877e-08,2.3366590440332402e-08
1872,2.4189358072135292e-08,1.3908880269752899e-08
1873,1.9155214303623325e-08,3.412022664406322e-08
1874,1.8521287614703397e-08,1.7326366119618797e-08
1875,1.3159512590732447e-08,2.460256709468922e-08
1876,2.2974855795609983e-08,2.5997863417615008e-08
1877,3.154256233983688e-08,1.6699003069220453e-08
1878,1.509772218355465e-08,1.1474268646338714e-08
1879,2.7491964260661916e-08,3.0546627449723474e-09
1880,5.0059199452334724e-08,2.3104245627791897e-08
1881,3.9046042843438045e-08,1.743126887276958e-08
1882,2.9283693692150337e-08,2.2628309892525067e-08
1883,2.7173157945981075e-08,1.579834751908038e-08
1884,1.3203393933736152e-08,1.5844072720483382e-08
1885,2.2559724754955823e-08,7.090199094506033e-09
1886,2.3877817056927597e-08,1.7424351739236954e-08
1887,1.8933882017790893e-08,1.5016526688782506e-08
1888,1.6485598663962264e-08,8.242799331981132e-09
1889,2.0674951528576457e-08,1.8795409673089125e-08
1890,1.3108772733971819e-08,2.0318598359381213e-08
1891,9.561330394092238e-09,1.3385862196457765e-08
1892,2.4447198043731078e-08,6.8953633913793055e-09
1893,1.23168328869383e-08,2.6481190573690583e-08
1894,1.3863386882917439e-08,1.071261657159539e-08
1895,2.046328972937772e-08,4.814891596538473e-09
1896,1.3563166589847242e-08,5.307326134129653e-09
1897,1.3401440845939305e-08,1.5732126712464378e-08
1898,1.5277558773618694e-08,7.355861253444118e-09
1899,1.0502398950507086e-08,1.326618814800895e-08
1900,1.038210584169974e-08,2.1283318218934255e-08
1901,1.5089595351014395e-08,1.1736351446245408e-08
1902,8.838511256215043e-09,7.365425602756659e-09
1903,1.3500550899436803e-08,3.7801539676252105e-09
1904,2.7948050984605288e-08,8.061937784020756e-09
1905,1.909480928929952e-08,1.1353670004154992e-08
1906,7.201858220895474e-09,8.745113966313056e-09
1907,1.9542804707839423e-08,8.228549397415463e-09
1908,2.0627833663411366e-08,1.4243028090277221e-08
1909,1.1001967337165297e-08,4.950885035270858e-09
1910,4.809735720812114e-09,3.740905363258662e-09
1911,1.8089272302290738e-08,3.7242617878519013e-09
1912,7.814131564032323e-09,1.2502610502451716e-08
1913,1.590896836489719e-08,1.0605979205990934e-08
1914,1.875088173619588e-08,1.4732836284281348e-08
1915,7.068456930880984e-09,3.534228465440492e-09
1916,6.592477230782379e-09,3.2962386153911893e-09
1917,1.2063066989753679e-08,2.1932848870420685e-09
1918,8.040463406189247e-09,3.44591288836682e-09
1919,1.1049418269237776e-08,1.1049418269237776e-08
1920,1.0601124422748853e-08,1.741613253614105e-08
1921,1.3630945261411398e-08,1.2873671018098776e-08
1922,2.6560567079059183e-08,4.426761179843197e-09
1923,9.554353752605493e-09,7.431163684401554e-09
1924,1.0313299547703991e-08,1.4180787211159895e-08
1925,1.0998178368026856e-08,1.4297631523163545e-08
1926,1.5604593173179637e-08,2.1177662290483568e-08
1927,1.5608915049369898e-08,1.0034302277972529e-08
1928,9.14083297942625e-09,9.14083297942625e-09
1929,1.0026365515614089e-08,1.3368487650211591e-08
1930,1.3654684494213143e-08,2.520864939015155e-08
1931,1.710803587684495e-08,6.843213995466613e-09
1932,1.2055489939655217e-08,1.0959536611565568e-09
1933,3.0970788600370724e-08,1.3764794637438627e-08
1934,1.3179738189705859e-08,2.3963160344919743e-08
1935,1.795242710045386e-08,5.98414207075848e-09
1936,1.33371855781661e-08,2.0612015205756506e-08
1937,6.295559185076627e-09,2.2664012888640173e-08
1938,5.186085783037697e-09,2.074434313215079e-08
1939,1.2235240376412548e-08,7.647025235257843e-09
1940,7.607348528892999e-09,7.607348528892999e-09
1941,5.9030051957620344e-09,1.1806010391524069e-08
1942,2.1239483061208375e-08,1.2136847082899749e-08
1943,1.1612940831184915e-08,2.9032352077962287e-09
1944,6.4263723231761105e-09,1.2852744646352221e-08
