year,elles_PRON auront_VERB,elles_PRON sauront_VERB
1800,1.3111166126122953e-06,6.288328791015374e-08
1801,1.2739326891164637e-06,1.0000966810252976e-07
1802,1.3628446140501183e-06,1.5217312920867698e-07
1803,1.2384654084485192e-06,8.971560472303963e-08
1804,1.0925581577225785e-06,9.393033373328308e-08
1805,9.665784475032524e-07,4.5486043376286034e-08
1806,1.864439980181487e-06,5.187004425977193e-08
1807,1.4690288949736896e-06,2.8469550716891945e-08
1808,1.7562073821864033e-06,3.6257184810040144e-08
1809,1.4661107528013417e-06,5.873479480555943e-08
1810,1.5421435151097285e-06,4.212228077449254e-08
1811,1.5970078521831965e-06,4.7634459932055506e-08
1812,1.4349580652606164e-06,4.267533171287141e-08
1813,1.383231705176513e-06,8.339650747757332e-08
1814,1.1422437466990232e-06,2.8320094269673746e-08
1815,1.0681005200297022e-06,2.1577788444915313e-08
1816,1.6408635872267041e-06,2.0858434979231788e-08
1817,1.5257359393672232e-06,6.383180917168829e-08
1818,1.3292113081320167e-06,7.152706205104664e-09
1819,1.324934459034921e-06,3.001804493862892e-08
1820,1.2068211532323403e-06,4.034603584557317e-08
1821,1.110403530901749e-06,5.1279740453935574e-08
1822,1.2431763849463096e-06,9.524335098376469e-08
1823,8.854887738607431e-07,2.865979209509817e-08
1824,1.1309553968885666e-06,3.2842339514616015e-08
1825,1.2600588661371148e-06,4.6668848341369085e-08
1826,1.3229592781272004e-06,4.139752518561579e-08
1827,1.757733947727047e-06,2.3964909612317342e-08
1828,1.3088873345168395e-06,2.5682443727248483e-08
1829,1.356276499109299e-06,4.200856196234781e-08
1830,1.3004297301222323e-06,4.696576194618274e-08
1831,1.5357337446175734e-06,2.8064170543018463e-08
1832,1.2772291029250482e-06,5.4119878578617886e-08
1833,1.356442908218014e-06,6.48683204929057e-08
1834,1.3591076495345078e-06,5.880754372356023e-08
1835,1.2917754759200761e-06,4.840376277570613e-08
1836,1.5672789572818147e-06,3.629205025390547e-08
1837,1.1021299144431396e-06,4.870523628852652e-08
1838,1.2157223352460278e-06,5.112851297894849e-08
1839,1.3227870709897616e-06,4.4046294167543465e-08
1840,1.3057862133791787e-06,7.134051305257572e-08
1841,1.2288930406612053e-06,9.11717918938848e-08
1842,1.1316842929431914e-06,5.500777433553594e-08
1843,1.1967402144819062e-06,5.906911093589429e-08
1844,1.1860781228278938e-06,6.366731142293247e-08
1845,1.1115813549622544e-06,4.910600637231255e-08
1846,1.1966600510504577e-06,5.093416088897129e-08
1847,1.300306252005612e-06,8.84488704500086e-08
1848,1.378951012043217e-06,8.206126089760346e-08
1849,1.209149559144862e-06,4.860060620615059e-08
1850,1.0855604699600008e-06,5.295416904971262e-08
1851,1.3834045802241235e-06,4.192135083513904e-08
1852,1.2155188642282155e-06,4.2318544224428933e-08
1853,9.465511965345286e-07,5.852493245583901e-08
1854,1.092648176381772e-06,7.845453176003048e-08
1855,1.1749558694873485e-06,5.7845614520601885e-08
1856,1.190235863646194e-06,3.882891963513657e-08
1857,9.294393166214832e-07,7.127003165408041e-08
1858,1.0678000847974545e-06,4.8447392764217057e-08
1859,1.0897250746211284e-06,4.430190791993027e-08
1860,1.1726744730822247e-06,5.446849016266242e-08
1861,1.0879728904455988e-06,4.95176202264247e-08
1862,1.2004289970946047e-06,7.093238529876089e-08
1863,1.1597509086413993e-06,4.9946207170137313e-08
1864,1.0706627477929942e-06,7.287986392157109e-08
1865,1.196950492499127e-06,4.706844425328427e-08
1866,1.08211230553934e-06,6.27664080710133e-08
1867,1.0729566071177032e-06,7.230689114123834e-08
1868,1.1430868482875667e-06,4.989272905930875e-08
1869,1.136883213348483e-06,1.0353060542200865e-07
