year,sans_ADP ôter_VERB,sans_ADP oter_VERB,sans_ADP sauter_VERB
1800,3.7101141892037504e-07,9.432493897065797e-09,2.5153315874604232e-08
1801,2.1430642682673806e-07,2.3811825844433088e-09,3.5717739876872656e-08
1802,3.0434625841735397e-07,0.0,1.1189200677108602e-08
1803,2.9255087241608635e-07,0.0,2.7304748684287006e-08
1804,2.2246658204494452e-07,2.4718509461507665e-09,5.9324420931261557e-08
1805,2.956592766167887e-07,0.0,3.1271653710973624e-08
1806,2.1036184705280903e-07,0.0,5.76333825108577e-09
1807,2.3345032218458073e-07,2.8469551160981155e-09,5.97860605466849e-08
1808,2.900574713748938e-07,0.0,3.3991110370834576e-08
1809,2.597885213617701e-07,0.0,1.3554183553310395e-08
1810,2.527336784297063e-07,4.680253518074551e-09,9.360507036149102e-09
1811,3.008492228673276e-07,2.5070767684098882e-09,2.5070768572277302e-08
1812,1.3869483250772419e-07,0.0,1.0668832928217853e-08
1813,2.9620139696540093e-07,1.1502966579257645e-08,1.4378708002027452e-08
1814,2.0453401994302567e-07,0.0,3.1466771410748606e-09
1815,2.2386954867670283e-07,0.0,4.8550022668791826e-08
1816,2.2944278832426335e-07,2.3176038865813098e-09,3.0128852301913867e-08
1817,3.1293154290068514e-07,1.556873407970727e-09,3.269434145636296e-08
1818,2.515368415778596e-07,1.1921177378582115e-09,9.536941902865692e-09
1819,2.3910924973336023e-07,0.0,1.8631890696951814e-08
1820,2.4207622040250953e-07,3.5599443393152796e-09,3.441279616822612e-08
1821,2.672463218500454e-07,0.0,1.2819934447350079e-08
1822,1.7845596289589594e-07,1.0025615893027862e-09,3.0076847679083585e-08
1823,1.927124007039538e-07,9.882686891060644e-10,9.882686669016039e-09
1824,2.0800148181621125e-07,0.0,2.4421225930382207e-08
1825,2.3070260191104808e-07,8.805443041381977e-10,1.8491430608946757e-08
1826,2.730475148204903e-07,2.642395191543301e-09,9.688783109140786e-09
1827,2.7283129477861934e-07,3.6869092223668076e-09,2.3043183361437514e-08
1828,2.980997870771773e-07,9.172301251858528e-10,2.384798314380987e-08
1829,2.1432939867338519e-07,1.714635211591542e-09,1.1145129263923081e-08
1830,2.765761366596564e-07,3.1310507520032616e-09,6.262101504006523e-09
1831,2.5881401821692407e-07,0.0,1.7150327380477393e-08
1832,2.043025332243431e-07,0.0,4.058990921151917e-09
1833,2.8264054563464924e-07,0.0,2.3167256557599103e-08
1834,2.034927808480802e-07,9.334530925997342e-10,9.334531370086552e-09
1835,2.631954671983294e-07,3.781543966852041e-09,2.0420337421001022e-08
1836,2.896643311878222e-07,5.3765999430410716e-09,1.747394939854985e-08
1837,2.275230350790025e-07,1.3915781860163179e-09,6.262101948095733e-09
1838,2.1650714998600051e-07,1.2624323808552163e-09,1.4517972601879592e-08
1839,2.2162976343054197e-07,2.7965900706306e-09,7.690622361167243e-09
1840,2.038300379592073e-07,5.095750932326837e-09,1.2739377552861697e-08
1841,1.900482384797897e-07,2.5682194149112547e-09,5.1364388298225094e-09
1842,2.133228296230527e-07,6.708265054555795e-10,1.609983613093391e-08
1843,2.1146741435718042e-07,1.1813822142769936e-09,1.2404512972352677e-08
1844,1.3940945420287676e-07,0.0,8.781698035420504e-09
1845,1.9809809792548094e-07,2.790113973194508e-09,9.48638767539478e-09
1846,1.8792949774137924e-07,5.854501328173001e-10,5.854501328173001e-09
1847,2.0440317527459229e-07,3.775256551818984e-09,1.5640348571821505e-08
1848,1.753858365205474e-07,6.436177313329239e-09,1.126331028444838e-08
1849,2.404892036622641e-07,1.6758829879393033e-09,9.217356655710773e-09
1850,1.8466069739986324e-07,6.788996032014438e-10,4.073397619208663e-09
1851,1.4898203026803003e-07,1.2898877521649865e-09,2.4507867735223954e-08
1852,1.7773789484643032e-07,4.557381805270211e-09,1.3672145193766028e-08
1853,1.9289339725503396e-07,4.777545470346922e-09,1.0152284346531815e-08
1854,1.8756348474369133e-07,3.117398617025202e-09,2.0782657372819813e-08
1855,1.3851105507001193e-07,5.306937111981824e-10,1.1675261646360013e-08
1856,1.9155600838871578e-07,3.1063135952358323e-09,1.1389816201301528e-08
1857,2.2601387783538485e-07,3.417056471111124e-09,1.2691923956253959e-08
1858,1.8400222323577964e-07,2.9362056119808244e-09,6.8511463169329545e-09
1859,1.6142189229739756e-07,1.5276520048956854e-09,7.638259802433822e-09
1860,1.5013163690014153e-07,9.154367819341758e-10,1.4189270203246451e-08
1861,1.8297939874400981e-07,4.715963730639317e-10,8.488735048217677e-09
1862,1.5767772520991485e-07,9.035972525772706e-10,2.2138133104476765e-08
1863,1.7081603798096978e-07,2.497310414018017e-09,1.548332484446746e-08
1864,1.0979927189680438e-07,1.9178911792039344e-09,1.5343129433631475e-08
1865,1.3085027106285452e-07,3.294791106611683e-09,1.1767110841276462e-08
1866,1.0607036315946061e-07,2.4328064562872953e-09,5.352174259343201e-09
1867,1.358787216076962e-07,9.7056229719783e-10,5.338092634588065e-09
1868,1.1608704042487261e-07,1.975949626142892e-09,9.385760613156435e-09
1869,1.5187745106004513e-07,0.0,1.1720445947105418e-08
1870,1.5653952978311736e-07,0.0,8.027668307875047e-09
1871,1.2532989845936982e-07,1.0621177271019633e-09,9.559059321873065e-09
1872,1.5904502115304808e-07,1.8142017887967654e-09,9.071008832961525e-09
1873,1.5623472293668783e-07,1.1972008939764578e-09,8.380406590902112e-09
1874,9.97759723730951e-08,2.3898436563030145e-09,4.182226565063729e-09
1875,1.4818755778023274e-07,1.1443054281912168e-09,1.7736734747586524e-08
1876,1.3422152278508293e-07,1.813804439976252e-09,1.753344314181504e-08
1877,1.354474665760108e-07,2.4739263970730008e-09,1.5462040536817767e-08
1878,1.382951375639152e-07,1.8117265465633636e-09,1.3889904337816006e-08
1879,1.1057878968045998e-07,1.832797580370027e-09,4.887460214320072e-09
1880,1.1487944728827415e-07,1.2835692508872398e-09,8.343199908722454e-09
1881,1.2759689127506135e-07,5.5780060570498335e-09,1.4642266066289267e-08
1882,1.2445570329866484e-07,3.9932310791357395e-09,1.4641846846075168e-08
1883,1.301783831841874e-07,5.055470986281563e-09,8.847074739470884e-09
1884,1.19490716876669e-07,1.9805090900604227e-09,1.5183903023796574e-08
1885,1.0248560777803561e-07,1.2891271383708158e-09,2.707166940618677e-08
1886,1.206797719532915e-07,2.5813855497602844e-09,2.19417763958063e-08
1887,1.0315700649243809e-07,2.6115698492645834e-09,1.1752064210668323e-08
1888,1.1286294032686328e-07,6.340614699951175e-10,1.5851536971922542e-08
1889,8.457934352890106e-08,0.0,1.4409814674820609e-08
1890,1.147017654190563e-07,1.3108772956016423e-09,2.031859863693697e-08
